Key,Remarks,parentId,enumId,emailTitle,sort,id,goToType,count,giftId,title,startTimeStr,endTimeStr,version
10001,,10001,10011,每日福利-钻石消费,1,10001,,500,807133,今天消费{0}钻,201701110500,7,1701051100
10002,,10001,10005,每日福利-英雄升星,2,10002,12,1,807134,今天升星{0}次,201701110500,7,1701051100
10003,,10001,10009,每日福利-钻石钓鱼,3,10003,5,1,807135,今天钻石钓鱼{0}次,201701110500,7,1701051100
10004,,10001,10002,每日福利-聚宝之地,4,10004,7,2,807136,今天挑战聚宝之地{0}次,201701110500,7,1701051100
10005,,10001,10008,每日福利-金币消费,5,10005,,100000,807137,今天消费{0}金币,201701110500,7,1701051100
10006,,10001,10006,每日福利-英雄进阶,6,10006,12,2,807138,今天进阶{0}次,201701110500,7,1701051100
10007,,10001,10007,每日福利-竞技场积分,7,10007,13,10,807139,今天论道场积分达到{0}点,201701110500,7,1701051100
10008,,10002,10001,每日福利-登陆奖励,1,10008,,1,807053,登陆游戏{0}次,201612140500,201612210500,1
10009,,10002,10005,每日福利-英雄升星,5,10009,12,1,807055,英雄升星{0}次,201612140500,201612210500,1
10010,,10002,10006,每日福利-英雄进阶,2,10010,12,1,807056,英雄进阶{0}次,201612140500,201612210500,1
10011,,10002,10007,每日福利-竞技场积分,4,10011,13,10,807057,竞技场达到{0}点积分,201612140500,201612210500,1
10012,,10002,10009,每日福利-钻石钓鱼,3,10012,5,1,807059,钻石钓鱼{0}次,201612140500,201612210500,1
10013,,10002,10011,每日福利-钻石消费,6,10013,,500,807061,消费{0}钻,201612140500,201612210500,1
