key,mark,id,itemIdAndNum,price,priceAfterDiscount,discountIcon,countLimit,vipLimit
1,,1,806351_2,500,150,3,1,
2,,2,806553_2,640,144,3,1,
3,,3,700176_2,280,82,3,2,
4,,4,700151_2,280,82,3,2,
5,,5,806352_2,250,75,3,1,
6,,6,806353_2,210,60,3,1,
7,,7,806552_2,50,15,3,5,
8,,8,806551_2,50,15,3,5,
9,,9,806510_2,50,15,3,4,
10,,10,806505_2,50,15,3,4,
11,,11,806355,10000,1000,1,1,1
12,,12,806356,10000,1000,1,1,2
13,,13,806360,10000,1000,1,1,3
14,,14,806361,10000,1000,1,1,4
15,,15,806361,10000,1000,1,1,5
16,,16,806363,10000,1000,1,1,6
17,,17,806364,10000,1000,1,1,7
18,,18,806362,10000,1000,1,1,8
19,,19,806359,10000,1000,1,1,9
20,,20,806358,10000,1000,1,1,11
