Key,remarks,parentCfg,id,emailTitle,subTitle,exchangeneed,time,isrefresh,awardGift
60001,,60003,60001,圣诞超值兑,,806201_200,1,true,806553_1
60002,,60003,60002,圣诞超值兑,,806201_20,5,true,806551_1
60003,,60003,60003,圣诞超值兑,,806201_20,5,true,806552_1
60004,,60003,60004,圣诞超值兑,,806201_25,5,true,806505_1
60005,,60003,60005,圣诞超值兑,,806201_25,5,true,806510_1
60006,,60003,60006,圣诞超值兑,,"806201_15,806202_2",5,true,806504_2
60007,,60003,60007,圣诞超值兑,,"806201_15,806202_2",5,true,806509_2
60008,,60003,60008,圣诞超值兑,,806202_8,5,true,806503_3
60009,,60003,60009,圣诞超值兑,,806202_8,5,true,806508_3
60010,,60003,60010,圣诞超值兑,,"806201_100,806202_10",999,true,806501_5
60011,,60003,60011,圣诞超值兑,,"806201_100,806202_10",999,true,806506_5
60012,,60004,60012,小熊喵兑换,,806354_80,1,true,90000407_1
60013,,60004,60013,小熊喵兑换,,806354_90,1,true,90000415_1
60014,,60004,60014,小熊喵兑换,,806354_100,1,true,90000430_1
