key,Remarks,id,itemGroup,itemID,weight,slotCount,f1
1,,1,6,704040,100,3,魂石
2,,2,6,704041,100,3,魂石
3,,3,6,704018,100,3,魂石
4,,4,6,704009,100,3,魂石
5,,5,6,704011,100,3,魂石
6,,6,6,704017,100,3,魂石
7,,7,6,704004,50,3,魂石
8,,8,6,704001,50,3,魂石
9,,9,6,704019,50,3,魂石
10,,10,6,704026,50,3,魂石
11,,11,6,704027,50,3,魂石
12,,12,6,704013,50,3,魂石
13,,13,6,704015,10,3,魂石
14,,14,6,704010,10,3,魂石
15,,15,6,704008,10,3,魂石
16,,16,6,704035,10,3,魂石
17,,17,6,704024,10,3,魂石
18,,18,6,704022,10,3,魂石
19,,19,6,704014,10,3,魂石
20,,20,7,201012_2,135,1,整卡
21,,21,7,200011_1,135,1,整卡
22,,22,7,200001_2,100,1,整卡
23,,23,7,201004_1,100,1,整卡
24,,24,7,204004_3,100,1,整卡
25,,25,7,204006_1,100,1,整卡
26,,26,7,204001_1,50,1,整卡
27,,27,7,202001_3,50,1,整卡
28,,28,7,200003_1,50,1,整卡
29,,29,7,203010_3,50,1,整卡
30,,30,7,204002_3,50,1,整卡
31,,31,7,204003_2,50,1,整卡
32,,32,7,203003_2,10,1,整卡
33,,33,7,202004_3,10,1,整卡
34,,34,7,201005_3,5,1,整卡
35,,35,7,204008_3,2,1,整卡
36,,36,7,204005_3,1,1,整卡
37,,37,7,200004_3,1,1,整卡
38,,38,7,203002_2,1,1,整卡
39,,39,201,DropMissing10108,10000,1,检索任意蓝装
