Key,Remarks,id,title,integral,parentid,rewards
120001,,120001,箱子一,10,120001,8071114
120002,,120002,箱子二,50,120001,8071115
120003,,120003,箱子三,200,120001,8071116
120004,,120004,箱子四,500,120001,8071117
120005,,120005,箱子五,1000,120001,8071118
120006,,120006,箱子六,2000,120001,8071119
120007,,120007,箱子七,3000,120001,8071120
120008,,120008,箱子一,10,120002,8071114
120009,,120009,箱子二,50,120002,8071115
120010,,120010,箱子三,200,120002,8071116
120011,,120011,箱子四,500,120002,8071117
120012,,120012,箱子五,1000,120002,8071118
120013,,120013,箱子六,2000,120002,8071119
120014,,120014,箱子七,3000,120002,8071120
