Key,Remarks,id,title,rankRange,parentid,rewards
120001,,120001,第1名,1,120001,8071121
120002,,120002,第2-3名,2_3,120001,8071122
120003,,120003,第4-6名,4_6,120001,8071123
120004,,120004,第7-10名,7_10,120001,8071124
120005,,120005,第11-20名,11_20,120001,8071125
120006,,120006,第21-30名,21_30,120001,8071126
120007,,120007,第1名,1,120002,8071121
120008,,120008,第2-3名,2_3,120002,8071122
120009,,120009,第4-6名,4_6,120002,8071123
120010,,120010,第7-10名,7_10,120002,8071124
120011,,120011,第11-20名,11_20,120002,8071125
120012,,120012,第21-30名,21_30,120002,8071126
