Key,Remarks,emailTitle,id,sort,giftId,day,activeCount,activeType
1,,活跃度礼包,1,1,807056,1,20,801
2,,活跃度礼包,2,2,807057,1,40,801
3,,活跃度礼包,3,3,807063,1,60,801
4,,活跃度礼包,4,4,807059,1,80,801
5,,活跃度礼包,5,5,807061,1,100,801
6,,活跃度礼包,6,1,807056,2,20,801
7,,活跃度礼包,7,2,807057,2,40,801
8,,活跃度礼包,8,3,807063,2,60,801
9,,活跃度礼包,9,4,807059,2,80,801
10,,活跃度礼包,10,5,807061,2,100,801
11,,活跃度礼包,11,1,807056,3,20,801
12,,活跃度礼包,12,2,807057,3,40,801
13,,活跃度礼包,13,3,807063,3,60,801
14,,活跃度礼包,14,4,807059,3,80,801
15,,活跃度礼包,15,5,807061,3,100,801
16,,活跃度礼包,16,1,807056,4,20,801
17,,活跃度礼包,17,2,807057,4,40,801
18,,活跃度礼包,18,3,807063,4,60,801
19,,活跃度礼包,19,4,807059,4,80,801
20,,活跃度礼包,20,5,807061,4,100,801
21,,活跃度礼包,21,1,807056,5,20,801
22,,活跃度礼包,22,2,807057,5,40,801
23,,活跃度礼包,23,3,807063,5,60,801
24,,活跃度礼包,24,4,807059,5,80,801
25,,活跃度礼包,25,5,807061,5,100,801
26,,活跃度礼包,26,1,807056,6,20,801
27,,活跃度礼包,27,2,807057,6,40,801
28,,活跃度礼包,28,3,807063,6,60,801
29,,活跃度礼包,29,4,807059,6,80,801
30,,活跃度礼包,30,5,807061,6,100,801
31,,活跃度礼包,31,1,807056,7,20,801
32,,活跃度礼包,32,2,807057,7,40,801
33,,活跃度礼包,33,3,807063,7,60,801
34,,活跃度礼包,34,4,807059,7,80,801
35,,活跃度礼包,35,5,807061,7,100,801
36,,活跃度礼包,36,1,807056,-1,20,810
37,,活跃度礼包,37,2,807057,-1,40,810
38,,活跃度礼包,38,3,807063,-1,60,810
39,,活跃度礼包,39,4,807059,-1,80,810
40,,活跃度礼包,40,5,807061,-1,100,810
