EventID,Remarks,priority,BtnIconName,Title,Content,OpenCondition,CloseCondition
Invaild,,,,,,,
Sign,,1,Helper/Helper_1001,签到,每天登陆游戏，签到可获得大量奖励！,,
GetItem,,2,Helper/Helper_1002,钓鱼台,钓鱼台现在可以免费垂钓啦，有几率获得装备和英雄哦！,,
HeroAdvance,,3,Helper/Helper_1003,升星,当前有英雄的魂石数量满足升星条件，升星后英雄属性将获得提升。,,
FixEquipUp,,4,Helper/Helper_1009,觉醒神器,觉醒神器，可以迅速提升英雄的实力。,,
TakeUpEquip,,5,Helper/Helper_1004,穿装备,当前有尚未穿戴的装备，穿戴装备后可以提升英雄属性。,,
FixEquipAdvance,,6,Helper/Helper_1009,神器升级,当前有神器可以进化、升级，升级后的神器属性会大幅提高。,,
GotoTaoist,,7,Helper/Helper_1010,道术修炼,修炼道术可以提升自身能力，快去升级道术试试吧！,,
UpdateSkill,,8,Helper/Helper_1006,升技能,当前有剩余的技能点，可以学习技能提升英雄实力。,,
HeroLevelUp,,9,Helper/Helper_1007,英雄升级,当前有可以提升等级的英雄，使用经验丹快速增加英雄经验吧。,,
DailyQuest,,10,Helper/Helper_1005,日常,完成日常可以获得大量经验值，快速提升等级。还有经验丹与金币奖励！,,
GotoCopy,,11,Helper/Helper_1008,打战役,当前还有剩余的体力，快去挑战战役，获得装备和经验丹吧。,,
