Key,Remarks,id,attrName,heroModelId,processType
1,,1,level,,1
2,,2,vipLevel,,2
3,,3,charge,,3
4,,4,teamPower,,4
5,,5,allPower,,5
6,,6,createTime,,6
7,,7,lastLoginTime,,7
8,,8,coin,,8
9,,9,power,,9
10,,10,"mainRoleQuality,heroOneQuality,heroTwoQuality,
heroThreeQuality,heroFourQuality",,10
11,,11,"mainRoleCarrer,heroOneCarrer,heroTwoCarrer,
heroThreeCarrer,heroFourCarrer",,11
12,,12,jiangziyaStar,202001,12
13,,13,nezhaStar,202002,12
14,,14,yangjianStar,201001,12
15,,15,longjigongzhuStar,204001,12
16,,16,moliqingStar,201005,12
17,,17,muzhaStar,201004,12
18,,18,leizhenziStar,202004,12
19,,19,lijingStar,204004,12
20,,20,randengdaorenStar,202006,12
21,,21,wujiStar,204003,12
22,,22,lixingbaStar,203002,12
23,,23,molishouStar,203003,12
24,,24,yashenStar,200002,12
25,,25,molihongStar,204006,12
26,,26,jizhaStar,200001,12
27,,27,weihuStar,200003,12
28,,28,yunzhongziStar,202005,12
29,,29,huanglongzhenrenStar,200009,12
30,,30,molihaiStar,200004,12
31,,31,daoxingtianzunStar,200010,12
32,,32,gaoyouquanStar,204005,12
33,,33,dongtianjunStar,201007,12
34,,34,guangchengziStar,203010,12
35,,35,ximeierStar,204002,12
36,,36,shengongbaoStar,203013,12
37,,37,dajiStar,203004,12
38,,38,wenzhongStar,200012,12
39,,39,chenqiStar,201012,12
40,,40,zhenglunStar,200011,12
41,,41,zhangtianjunStar,204008,12
42,,42,yuantianjunStar,203007,12
43,,43,jinguangshengmuStar,203008,12
44,,44,lingbaodafashiStar,202010,12
45,,45,qiongxiaoStar,203001,12
46,,46,wangmoStar,202003,12
