key,Remarks,id,energy,life,attack,physiqueDef,spiritDef,hit,dodge,critical,toughness,resist,attackHurt,cutHurt,criticalHurt,cutCritHurt,lifeReceive,energyReceive,attackVampire,attackSpeed,moveSpeed,addCure,cutCure,attackPercent,criticalHurtPercent,criticalPercent,attackVampirePercent,spiritDefPercent,dodgePercent,physiqueDefPercent,attackHurtPercent,lifePercent,attrData,precentAttrData
11000101,,11000101,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_50,
11000102,,11000102,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_100,
11000103,,11000103,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_200,
11000104,,11000104,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_300,
11000105,,11000105,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_400,
11000106,,11000106,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_500,
11000107,,11000107,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_600,
11000108,,11000108,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_700,
11000109,,11000109,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_800,
11000110,,11000110,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_900,
11000201,,11000201,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_100,
11000202,,11000202,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_200,
11000203,,11000203,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_400,
11000204,,11000204,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_600,
11000205,,11000205,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_800,
11000206,,11000206,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1000,
11000207,,11000207,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1200,
11000208,,11000208,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1400,
11000209,,11000209,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1600,
11000210,,11000210,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1800,
11000301,,11000301,,,150,,,19,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_150;命中_19,
11000302,,11000302,,,300,,,38,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_300;命中_38,
11000303,,11000303,,,600,,,77,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_600;命中_77,
11000304,,11000304,,,900,,,116,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_900;命中_116,
11000305,,11000305,,,1200,,,155,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1200;命中_155,
11000306,,11000306,,,1500,,,193,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1500;命中_193,
11000307,,11000307,,,1800,,,232,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_1800;命中_232,
11000308,,11000308,,,2100,,,271,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_2100;命中_271,
11000309,,11000309,,,2400,,,310,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_2400;命中_310,
11000310,,11000310,,,2700,,,348,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_2700;命中_348,
12000101,,12000101,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_40,
12000102,,12000102,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_80,
12000103,,12000103,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_160,
12000104,,12000104,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_240,
12000105,,12000105,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_320,
12000106,,12000106,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_400,
12000107,,12000107,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_480,
12000108,,12000108,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_560,
12000109,,12000109,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_640,
12000110,,12000110,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_720,
12000201,,12000201,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_80,
12000202,,12000202,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_160,
12000203,,12000203,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_320,
12000204,,12000204,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_480,
12000205,,12000205,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_640,
12000206,,12000206,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_800,
12000207,,12000207,,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_960,
12000208,,12000208,,,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_1120,
12000209,,12000209,,,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_1280,
12000210,,12000210,,,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,法术攻击_1440,
12000301,,12000301,,,120,,,,,19,,,,,,,,,,,,,,,,,,,,,,,法术攻击_120;暴击_19,
12000302,,12000302,,,240,,,,,38,,,,,,,,,,,,,,,,,,,,,,,法术攻击_240;暴击_38,
12000303,,12000303,,,480,,,,,77,,,,,,,,,,,,,,,,,,,,,,,法术攻击_480;暴击_77,
12000304,,12000304,,,720,,,,,116,,,,,,,,,,,,,,,,,,,,,,,法术攻击_720;暴击_116,
12000305,,12000305,,,960,,,,,155,,,,,,,,,,,,,,,,,,,,,,,法术攻击_960;暴击_155,
12000306,,12000306,,,1200,,,,,193,,,,,,,,,,,,,,,,,,,,,,,法术攻击_1200;暴击_193,
12000307,,12000307,,,1440,,,,,232,,,,,,,,,,,,,,,,,,,,,,,法术攻击_1440;暴击_232,
12000308,,12000308,,,1680,,,,,271,,,,,,,,,,,,,,,,,,,,,,,法术攻击_1680;暴击_271,
12000309,,12000309,,,1920,,,,,310,,,,,,,,,,,,,,,,,,,,,,,法术攻击_1920;暴击_310,
12000310,,12000310,,,2160,,,,,348,,,,,,,,,,,,,,,,,,,,,,,法术攻击_2160;暴击_348,
13000101,,13000101,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_25;法术攻击_20,
13000102,,13000102,,,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_50;法术攻击_40,
13000103,,13000103,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_100;法术攻击_80,
13000104,,13000104,,,150,120,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_150;法术攻击_120,
13000105,,13000105,,,200,160,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_200;法术攻击_160,
13000106,,13000106,,,250,200,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_250;法术攻击_200,
13000107,,13000107,,,300,240,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_300;法术攻击_240,
13000108,,13000108,,,350,280,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_350;法术攻击_280,
13000109,,13000109,,,400,320,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_400;法术攻击_320,
13000110,,13000110,,,450,360,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_450;法术攻击_360,
13000201,,13000201,,,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_50;法术攻击_40,
13000202,,13000202,,,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_100;法术攻击_80,
13000203,,13000203,,,200,160,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_200;法术攻击_160,
13000204,,13000204,,,300,240,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_300;法术攻击_240,
13000205,,13000205,,,400,320,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_400;法术攻击_320,
13000206,,13000206,,,500,400,,,,,,,,,,,,,,,,,,,,,,,,,,,物理攻击_500;法术攻击_400,
