key,Remarks,skillId,skillName,skillType,skillIcon,col,row
110001,,110001,初级攻击强化,1,SmallTex/Skill/1100003,1,1
110002,,110002,中级攻击强化,1,SmallTex/Skill/1100003,1,2
110003,,110003,高级攻击强化,1,SmallTex/Skill/1100003,1,3
110004,,110004,特级攻击强化,1,SmallTex/Skill/1100003,1,4
120001,,120001,初级暴击强化,1,SmallTex/Skill/1100007,2,1
120002,,120002,中级暴击强化,1,SmallTex/Skill/1100007,2,2
120003,,120003,高级暴击强化,1,SmallTex/Skill/1100007,2,3
120004,,120004,特级暴击强化,1,SmallTex/Skill/1100007,2,4
130001,,130001,初级爆伤强化,1,SmallTex/Skill/1100008,3,1
130002,,130002,中级爆伤强化,1,SmallTex/Skill/1100008,3,2
130003,,130003,高级爆伤强化,1,SmallTex/Skill/1100008,3,3
130004,,130004,特级爆伤强化,1,SmallTex/Skill/1100008,3,4
210001,,210001,初级物防强化,2,SmallTex/Skill/1100004,1,1
210002,,210002,中级物防强化,2,SmallTex/Skill/1100004,1,2
210003,,210003,高级物防强化,2,SmallTex/Skill/1100004,1,3
220001,,220001,初级法防强化,2,SmallTex/Skill/1100005,2,1
220002,,220002,中级法防强化,2,SmallTex/Skill/1100005,2,2
220003,,220003,高级法防强化,2,SmallTex/Skill/1100005,2,3
230001,,230001,初级生命强化,2,SmallTex/Skill/1100001,3,1
230002,,230002,中级生命强化,2,SmallTex/Skill/1100001,3,2
230003,,230003,高级生命强化,2,SmallTex/Skill/1100001,3,3
310001,,310001,初级闪避强化,3,SmallTex/Skill/1100017,1,1
310002,,310002,中级闪避强化,3,SmallTex/Skill/1100017,1,2
320001,,320001,初级韧性强化,3,SmallTex/Skill/1100009,2,1
320002,,320002,中级韧性强化,3,SmallTex/Skill/1100009,2,2
330001,,330001,初级抵抗强化,3,SmallTex/Skill/1100014,3,1
330002,,330002,中级抵抗强化,3,SmallTex/Skill/1100014,3,2
