key,remarks,rank,icon,matchType,emailCfgId,giftId
101,,1,font_1st,1,15001,1_165000;603301_1;801001_100;801011_10;801012_8;801013_5
102,,2,font_2nd,1,15001,1_150000;604913_18;801001_90;801011_9;801012_7;801013_4
103,,3,font_3rd,1,15001,1_130000;604913_16;801001_80;801011_8;801012_6;801013_4
104,,4-5,,1,15001,1_115000;604913_14;801001_70;801011_7;801012_5;801013_3
105,,6-10,,1,15001,1_100000;604913_12;801001_60;801011_6;801012_4;801013_3
106,,11-20,,1,15001,1_80000;604913_10;801001_50;801011_5;801012_4;801013_2
107,,21-50,,1,15001,1_66500;604913_8;801001_40;801011_4;801012_3;801013_2
108,,51-100,,1,15001,1_50000;604913_6;801001_30;801011_3;801012_2;801013_1
109,,101-200,,1,15001,1_33000;604913_4;801001_20;801011_2;801012_1;801013_1
110,,201-300,,1,15001,1_28000;604913_2;801001_17;801011_1;801012_1
111,,301-400,,1,15001,1_23000;801001_14;801011_1;801012_1
112,,401-500,,1,15001,1_18000;801001_11;801011_1
113,,501-1000,,1,15001,1_13000;801001_8
114,,1000-2000,,1,15001,1_8000;801001_5
115,,1,font_1st,2,15001,1_165000;603301_1;801001_100;801011_10;801012_8;801013_5
116,,2,font_2nd,2,15001,1_150000;604913_18;801001_90;801011_9;801012_7;801013_4
117,,3,font_3rd,2,15001,1_130000;604913_16;801001_80;801011_8;801012_6;801013_4
118,,4-5,,2,15001,1_115000;604913_14;801001_70;801011_7;801012_5;801013_3
119,,6-10,,2,15001,1_100000;604913_12;801001_60;801011_6;801012_4;801013_3
120,,11-20,,2,15001,1_80000;604913_10;801001_50;801011_5;801012_4;801013_2
121,,21-50,,2,15001,1_66500;604913_8;801001_40;801011_4;801012_3;801013_2
122,,51-100,,2,15001,1_50000;604913_6;801001_30;801011_3;801012_2;801013_1
123,,101-200,,2,15001,1_33000;604913_4;801001_20;801011_2;801012_1;801013_1
124,,201-300,,2,15001,1_28000;604913_2;801001_17;801011_1;801012_1
125,,301-400,,2,15001,1_23000;801001_14;801011_1;801012_1
126,,401-500,,2,15001,1_18000;801001_11;801011_1
127,,501-1000,,2,15001,1_13000;801001_8
128,,1000-2000,,2,15001,1_8000;801001_5
129,,1,font_1st,3,15001,1_165000;603301_1;801001_100;801011_10;801012_8;801013_5
130,,2,font_2nd,3,15001,1_150000;604913_18;801001_90;801011_9;801012_7;801013_4
131,,3,font_3rd,3,15001,1_130000;604913_16;801001_80;801011_8;801012_6;801013_4
132,,4-5,,3,15001,1_115000;604913_14;801001_70;801011_7;801012_5;801013_3
133,,6-10,,3,15001,1_100000;604913_12;801001_60;801011_6;801012_4;801013_3
134,,11-20,,3,15001,1_80000;604913_10;801001_50;801011_5;801012_4;801013_2
135,,21-50,,3,15001,1_66500;604913_8;801001_40;801011_4;801012_3;801013_2
136,,51-100,,3,15001,1_50000;604913_6;801001_30;801011_3;801012_2;801013_1
137,,101-200,,3,15001,1_33000;604913_4;801001_20;801011_2;801012_1;801013_1
138,,201-300,,3,15001,1_28000;604913_2;801001_17;801011_1;801012_1
139,,301-400,,3,15001,1_23000;801001_14;801011_1;801012_1
140,,401-500,,3,15001,1_18000;801001_11;801011_1
141,,501-1000,,3,15001,1_13000;801001_8
142,,1000-2000,,3,15001,1_8000;801001_5
143,,1,font_1st,4,15001,1_165000;603301_1;801001_100;801011_10;801012_8;801013_5
144,,2,font_2nd,4,15001,1_150000;604913_18;801001_90;801011_9;801012_7;801013_4
145,,3,font_3rd,4,15001,1_130000;604913_16;801001_80;801011_8;801012_6;801013_4
146,,4-5,,4,15001,1_115000;604913_14;801001_70;801011_7;801012_5;801013_3
147,,6-10,,4,15001,1_100000;604913_12;801001_60;801011_6;801012_4;801013_3
148,,11-20,,4,15001,1_80000;604913_10;801001_50;801011_5;801012_4;801013_2
149,,21-50,,4,15001,1_66500;604913_8;801001_40;801011_4;801012_3;801013_2
150,,51-100,,4,15001,1_50000;604913_6;801001_30;801011_3;801012_2;801013_1
151,,101-200,,4,15001,1_33000;604913_4;801001_20;801011_2;801012_1;801013_1
152,,201-300,,4,15001,1_28000;604913_2;801001_17;801011_1;801012_1
153,,301-400,,4,15001,1_23000;801001_14;801011_1;801012_1
154,,401-500,,4,15001,1_18000;801001_11;801011_1
155,,501-1000,,4,15001,1_13000;801001_8
156,,1000-2000,,4,15001,1_8000;801001_5
