key,mark,id,chaterID,nextLevelID,readyTime,drop,finalHitReward,groupExp,roleReward,monsters
195501,,195501,20001,195502,60,"5,36001;10,36043;15,36001;20,36043;25,36001;30,36043;35,36001;40,36043;45,36001;50,36043;55,36001;60,36043;65,36001;70,36043;75,36001;80,36043;85,36001;90,36043;95,36001;100,36043",100,60,36085,"m_195501_1_1,m_195501_1_2,m_195501_1_3,m_195501_1_4"
195502,,195502,20001,195503,60,"5,36002;10,36044;15,36002;20,36044;25,36002;30,36044;35,36002;40,36044;45,36002;50,36044;55,36002;60,36044;65,36002;70,36044;75,36002;80,36044;85,36002;90,36044;95,36002;100,36044",100,60,36085,"m_195502_1_1,m_195502_1_2,m_195502_1_3,m_195502_1_4"
195503,,195503,20001,195504,60,"5,36003;10,36045;15,36003;20,36045;25,36003;30,36045;35,36003;40,36045;45,36003;50,36045;55,36003;60,36045;65,36003;70,36045;75,36003;80,36045;85,36003;90,36045;95,36003;100,36045",100,60,36085,m_195503_1_1
195504,,195504,20001,195505,60,"5,36004;10,36046;15,36004;20,36046;25,36004;30,36046;35,36004;40,36046;45,36004;50,36046;55,36004;60,36046;65,36004;70,36046;75,36004;80,36046;85,36004;90,36046;95,36004;100,36046",100,60,36085,"m_195504_1_1,m_195504_1_2,m_195504_1_3,m_195504_1_4"
195505,,195505,20001,195506,60,"5,36005;10,36047;15,36005;20,36047;25,36005;30,36047;35,36005;40,36047;45,36005;50,36047;55,36005;60,36047;65,36005;70,36047;75,36005;80,36047;85,36005;90,36047;95,36005;100,36047",100,60,36085,"m_195505_1_1,m_195505_1_2,m_195505_1_3,m_195505_1_4"
195506,,195506,20001,195601,60,"5,36006;10,36048;15,36006;20,36048;25,36006;30,36048;35,36006;40,36048;45,36006;50,36048;55,36006;60,36048;65,36006;70,36048;75,36006;80,36048;85,36006;90,36048;95,36006;100,36048",100,60,36085,m_195506_1_1
195601,,195601,20002,195602,60,"5,36007;10,36049;15,36007;20,36049;25,36007;30,36049;35,36007;40,36049;45,36007;50,36049;55,36007;60,36049;65,36007;70,36049;75,36007;80,36049;85,36007;90,36049;95,36007;100,36049",100,60,36085,"m_195601_1_1,m_195601_1_2,m_195601_1_3,m_195601_1_4"
195602,,195602,20002,195603,60,"5,36008;10,36050;15,36008;20,36050;25,36008;30,36050;35,36008;40,36050;45,36008;50,36050;55,36008;60,36050;65,36008;70,36050;75,36008;80,36050;85,36008;90,36050;95,36008;100,36050",100,60,36085,"m_195602_1_1,m_195602_1_2,m_195602_1_3,m_195602_1_4"
195603,,195603,20002,195604,60,"5,36009;10,36051;15,36009;20,36051;25,36009;30,36051;35,36009;40,36051;45,36009;50,36051;55,36009;60,36051;65,36009;70,36051;75,36009;80,36051;85,36009;90,36051;95,36009;100,36051",100,60,36085,m_195603_1_1
195604,,195604,20002,195605,60,"5,36010;10,36052;15,36010;20,36052;25,36010;30,36052;35,36010;40,36052;45,36010;50,36052;55,36010;60,36052;65,36010;70,36052;75,36010;80,36052;85,36010;90,36052;95,36010;100,36052",100,60,36085,"m_195604_1_1,m_195604_1_2,m_195604_1_3,m_195604_1_4"
195605,,195605,20002,195606,60,"5,36011;10,36053;15,36011;20,36053;25,36011;30,36053;35,36011;40,36053;45,36011;50,36053;55,36011;60,36053;65,36011;70,36053;75,36011;80,36053;85,36011;90,36053;95,36011;100,36053",100,60,36085,"m_195605_1_1,m_195605_1_2,m_195605_1_3,m_195605_1_4"
195606,,195606,20002,195701,60,"5,36012;10,36054;15,36012;20,36054;25,36012;30,36054;35,36012;40,36054;45,36012;50,36054;55,36012;60,36054;65,36012;70,36054;75,36012;80,36054;85,36012;90,36054;95,36012;100,36054",100,60,36085,m_195606_1_1
195701,,195701,20003,195702,60,"5,36013;10,36055;15,36013;20,36055;25,36013;30,36055;35,36013;40,36055;45,36013;50,36055;55,36013;60,36055;65,36013;70,36055;75,36013;80,36055;85,36013;90,36055;95,36013;100,36055",100,60,36085,"m_195701_1_1,m_195701_1_2,m_195701_1_3,m_195701_1_4"
195702,,195702,20003,195703,60,"5,36014;10,36056;15,36014;20,36056;25,36014;30,36056;35,36014;40,36056;45,36014;50,36056;55,36014;60,36056;65,36014;70,36056;75,36014;80,36056;85,36014;90,36056;95,36014;100,36056",100,60,36085,"m_195702_1_1,m_195702_1_2,m_195702_1_3,m_195702_1_4"
195703,,195703,20003,195704,60,"5,36015;10,36057;15,36015;20,36057;25,36015;30,36057;35,36015;40,36057;45,36015;50,36057;55,36015;60,36057;65,36015;70,36057;75,36015;80,36057;85,36015;90,36057;95,36015;100,36057",100,60,36085,m_195703_1_1
195704,,195704,20003,195705,60,"5,36016;10,36058;15,36016;20,36058;25,36016;30,36058;35,36016;40,36058;45,36016;50,36058;55,36016;60,36058;65,36016;70,36058;75,36016;80,36058;85,36016;90,36058;95,36016;100,36058",100,60,36085,"m_195704_1_1,m_195704_1_2,m_195704_1_3,m_195704_1_4"
195705,,195705,20003,195706,60,"5,36017;10,36059;15,36017;20,36059;25,36017;30,36059;35,36017;40,36059;45,36017;50,36059;55,36017;60,36059;65,36017;70,36059;75,36017;80,36059;85,36017;90,36059;95,36017;100,36059",100,60,36085,"m_195705_1_1,m_195705_1_2,m_195705_1_3,m_195705_1_4"
195706,,195706,20003,195801,60,"5,36018;10,36060;15,36018;20,36060;25,36018;30,36060;35,36018;40,36060;45,36018;50,36060;55,36018;60,36060;65,36018;70,36060;75,36018;80,36060;85,36018;90,36060;95,36018;100,36060",100,60,36085,m_195706_1_1
195801,,195801,20004,195802,60,"5,36019;10,36061;15,36019;20,36061;25,36019;30,36061;35,36019;40,36061;45,36019;50,36061;55,36019;60,36061;65,36019;70,36061;75,36019;80,36061;85,36019;90,36061;95,36019;100,36061",100,60,36085,"m_195801_1_1,m_195801_1_2,m_195801_1_3,m_195801_1_4"
195802,,195802,20004,195803,60,"5,36020;10,36062;15,36020;20,36062;25,36020;30,36062;35,36020;40,36062;45,36020;50,36062;55,36020;60,36062;65,36020;70,36062;75,36020;80,36062;85,36020;90,36062;95,36020;100,36062",100,60,36085,"m_195802_1_1,m_195802_1_2,m_195802_1_3,m_195802_1_4"
195803,,195803,20004,195804,60,"5,36021;10,36063;15,36021;20,36063;25,36021;30,36063;35,36021;40,36063;45,36021;50,36063;55,36021;60,36063;65,36021;70,36063;75,36021;80,36063;85,36021;90,36063;95,36021;100,36063",100,60,36085,m_195803_1_1
195804,,195804,20004,195805,60,"5,36022;10,36064;15,36022;20,36064;25,36022;30,36064;35,36022;40,36064;45,36022;50,36064;55,36022;60,36064;65,36022;70,36064;75,36022;80,36064;85,36022;90,36064;95,36022;100,36064",100,60,36085,"m_195804_1_1,m_195804_1_2,m_195804_1_3,m_195804_1_4"
195805,,195805,20004,195806,60,"5,36023;10,36065;15,36023;20,36065;25,36023;30,36065;35,36023;40,36065;45,36023;50,36065;55,36023;60,36065;65,36023;70,36065;75,36023;80,36065;85,36023;90,36065;95,36023;100,36065",100,60,36085,"m_195805_1_1,m_195805_1_2,m_195805_1_3,m_195805_1_4"
195806,,195806,20004,195901,60,"5,36024;10,36066;15,36024;20,36066;25,36024;30,36066;35,36024;40,36066;45,36024;50,36066;55,36024;60,36066;65,36024;70,36066;75,36024;80,36066;85,36024;90,36066;95,36024;100,36066",100,60,36085,m_195806_1_1
195901,,195901,20005,195902,60,"5,36025;10,36067;15,36025;20,36067;25,36025;30,36067;35,36025;40,36067;45,36025;50,36067;55,36025;60,36067;65,36025;70,36067;75,36025;80,36067;85,36025;90,36067;95,36025;100,36067",100,60,36085,"m_195901_1_1,m_195901_1_2,m_195901_1_3,m_195901_1_4"
195902,,195902,20005,195903,60,"5,36026;10,36068;15,36026;20,36068;25,36026;30,36068;35,36026;40,36068;45,36026;50,36068;55,36026;60,36068;65,36026;70,36068;75,36026;80,36068;85,36026;90,36068;95,36026;100,36068",100,60,36085,"m_195902_1_1,m_195902_1_2,m_195902_1_3,m_195902_1_4"
195903,,195903,20005,195904,60,"5,36027;10,36069;15,36027;20,36069;25,36027;30,36069;35,36027;40,36069;45,36027;50,36069;55,36027;60,36069;65,36027;70,36069;75,36027;80,36069;85,36027;90,36069;95,36027;100,36069",100,60,36085,m_195903_1_1
195904,,195904,20005,195905,60,"5,36028;10,36070;15,36028;20,36070;25,36028;30,36070;35,36028;40,36070;45,36028;50,36070;55,36028;60,36070;65,36028;70,36070;75,36028;80,36070;85,36028;90,36070;95,36028;100,36070",100,60,36085,"m_195904_1_1,m_195904_1_2,m_195904_1_3,m_195904_1_4"
195905,,195905,20005,195906,60,"5,36029;10,36071;15,36029;20,36071;25,36029;30,36071;35,36029;40,36071;45,36029;50,36071;55,36029;60,36071;65,36029;70,36071;75,36029;80,36071;85,36029;90,36071;95,36029;100,36071",100,60,36085,"m_195905_1_1,m_195905_1_2,m_195905_1_3,m_195905_1_4"
195906,,195906,20005,196001,60,"5,36030;10,36072;15,36030;20,36072;25,36030;30,36072;35,36030;40,36072;45,36030;50,36072;55,36030;60,36072;65,36030;70,36072;75,36030;80,36072;85,36030;90,36072;95,36030;100,36072",100,60,36085,m_195906_1_1
196001,,196001,20006,196002,60,"5,36031;10,36073;15,36031;20,36073;25,36031;30,36073;35,36031;40,36073;45,36031;50,36073;55,36031;60,36073;65,36031;70,36073;75,36031;80,36073;85,36031;90,36073;95,36031;100,36073",100,60,36085,"m_196001_1_1,m_196001_1_2,m_196001_1_3,m_196001_1_4"
196002,,196002,20006,196003,60,"5,36032;10,36074;15,36032;20,36074;25,36032;30,36074;35,36032;40,36074;45,36032;50,36074;55,36032;60,36074;65,36032;70,36074;75,36032;80,36074;85,36032;90,36074;95,36032;100,36074",100,60,36085,"m_196002_1_1,m_196002_1_2,m_196002_1_3,m_196002_1_4"
196003,,196003,20006,196004,60,"5,36033;10,36075;15,36033;20,36075;25,36033;30,36075;35,36033;40,36075;45,36033;50,36075;55,36033;60,36075;65,36033;70,36075;75,36033;80,36075;85,36033;90,36075;95,36033;100,36075",100,60,36085,m_196003_1_1
196004,,196004,20006,196005,60,"5,36034;10,36076;15,36034;20,36076;25,36034;30,36076;35,36034;40,36076;45,36034;50,36076;55,36034;60,36076;65,36034;70,36076;75,36034;80,36076;85,36034;90,36076;95,36034;100,36076",100,60,36085,"m_196004_1_1,m_196004_1_2,m_196004_1_3,m_196004_1_4"
196005,,196005,20006,196006,60,"5,36035;10,36077;15,36035;20,36077;25,36035;30,36077;35,36035;40,36077;45,36035;50,36077;55,36035;60,36077;65,36035;70,36077;75,36035;80,36077;85,36035;90,36077;95,36035;100,36077",100,60,36085,"m_196005_1_1,m_196005_1_2,m_196005_1_3,m_196005_1_4"
196006,,196006,20006,196101,60,"5,36036;10,36078;15,36036;20,36078;25,36036;30,36078;35,36036;40,36078;45,36036;50,36078;55,36036;60,36078;65,36036;70,36078;75,36036;80,36078;85,36036;90,36078;95,36036;100,36078",100,60,36085,m_196006_1_1
196101,,196101,20007,196102,60,"5,36037;10,36079;15,36037;20,36079;25,36037;30,36079;35,36037;40,36079;45,36037;50,36079;55,36037;60,36079;65,36037;70,36079;75,36037;80,36079;85,36037;90,36079;95,36037;100,36079",100,60,36085,"m_196101_1_1,m_196101_1_2,m_196101_1_3,m_196101_1_4"
196102,,196102,20007,196103,60,"5,36038;10,36080;15,36038;20,36080;25,36038;30,36080;35,36038;40,36080;45,36038;50,36080;55,36038;60,36080;65,36038;70,36080;75,36038;80,36080;85,36038;90,36080;95,36038;100,36080",100,60,36085,"m_196202_1_1,m_196202_1_2,m_196202_1_3,m_196202_1_4"
