key,remark,dropId,dropNum,dropRate
1,,1,1,80
2,,1,2,79
3,,1,3,78
4,,1,4,77
5,,1,5,76
6,,1,6,75
7,,1,7,74
8,,2,1,80
9,,2,2,79
10,,2,3,78
11,,2,4,77
12,,2,5,76
13,,2,6,75
14,,2,7,74
15,,2,8,73
16,,2,9,72
17,,2,10,71
18,,2,11,70
19,,2,12,69
20,,2,13,68
21,,2,14,67
22,,2,15,66
23,,2,16,65
24,,2,17,64
25,,2,18,63
26,,2,19,62
27,,2,20,61
28,,3,1,80
29,,3,2,79
30,,3,3,78
31,,3,4,77
32,,3,5,76
33,,3,6,75
34,,3,7,74
35,,3,8,73
36,,3,9,72
37,,3,10,71
38,,3,11,70
39,,3,12,69
40,,3,13,68
41,,3,14,67
42,,3,15,66
43,,3,16,65
44,,3,17,64
45,,3,18,63
46,,3,19,62
47,,3,20,61
48,,3,21,60
49,,3,22,59
50,,3,23,58
51,,3,24,57
52,,3,25,56
53,,3,26,55
54,,3,27,54
55,,3,28,53
56,,3,29,52
57,,3,30,51
58,,3,31,50
59,,3,32,49
60,,3,33,48
61,,3,34,47
62,,3,35,46
63,,3,36,45
64,,3,37,44
65,,3,38,43
66,,3,39,42
67,,3,40,41
68,,3,41,40
69,,3,42,39
70,,3,43,38
71,,3,44,37
72,,3,45,36
73,,3,46,35
74,,3,47,34
75,,3,48,33
76,,3,49,32
77,,3,50,31
78,,3,51,30
79,,3,52,29
80,,3,53,28
81,,3,54,27
82,,3,55,26
83,,3,56,25
84,,3,57,24
85,,3,58,23
86,,3,59,22
87,,3,60,21
88,,3,61,20
89,,3,62,19
90,,3,63,18
91,,3,64,17
92,,3,65,16
93,,3,66,15
94,,3,67,14
95,,3,68,13
96,,3,69,12
97,,3,70,11
98,,3,71,10
99,,3,72,9
100,,3,73,8
101,,3,74,7
102,,3,75,6
103,,3,76,5
104,,3,77,4
105,,3,78,3
106,,3,79,2
107,,3,80,1
