key,Remarks,predDef,predName,desc
1000001,,"player.level >=1 & isPlotTrigger(""110000"",""5"")",,
1000002,,"player.level >=1 & isPlotTrigger(""110050"",""5"")",,
1000003,,"player.level >=1 & isPlotTrigger(""110010"",""5"")",,
1000004,,"player.level >=1 & isPlotTrigger(""110030"",""5"")",,
1000005,,"player.level >=1 & isPlotTrigger(""110040"",""5"")",,
1000006,,player.level >=2,,
1000007,,isBattling() & isBossDie(),,
9000101,,player.level >=1,,
9000102,,player.level >=11,,
9000103,,"player.level >=1 & isPlotTrigger(""110101_9"",""6"")",,
9000104,,"player.level >=1 & isPlotTrigger(""110105_0"",""4"")",,
9000105,,"hasHero(""202001"",""Embattle_Copy"")",,
9000106,,"isCurrentCheckpoint(""110102"",""0"")",,
9000107,,"isCurrentCheckpoint(""110103"",""0"")",,
9000108,,player.quality >0 & player.level =3,,
9000109,,"isCurrentCheckpoint(""110104"",""0"")",,
9000110,,"isCurrentCheckpoint(""110105"",""0"")",,
9000111,,"isCurrentCheckpoint(""110106"",""0"")",,
9000112,,"isCurrentCheckpoint(""110201"",""0"")",,
9000113,,"hasItem(""708001"") & isCurrentCheckpoint(""110201"",""0"")",,
9000114,,isNormalAutoBattle(),,
9000115,,"!IsVisible(""MainCopyView"")",,
9000116,,"isPlotTrigger(""201001"",""2"") & player.level >=1",,
9000117,,"isPlotTrigger(""201002"",""6"") & hasHero(""202001"",""Embattle_Copy"")",,
9000118,,"isPlotTrigger(""202001"",""2"") & hasHero(""202001"",""Embattle_Copy"")",,
9000119,,"isPlotTrigger(""202002"",""4"") & isCurrentCheckpoint(""110102"",""0"")",,
9000120,,"isPlotTrigger(""202003"",""5"")",,
9000121,,"isPlotTrigger(""202004"",""7"") & isCurrentCheckpoint(""110104"",""0"")",,
9000122,,"isPlotTrigger(""202005"",""5"") & hasHero(""200003"",""Embattle_Copy"")",,
9000123,,"isPlotTrigger(""202006"",""7"") & isCurrentCheckpoint(""110106"",""0"")",,
9000124,,player.quality =1,,
9000125,,"isCurrentCheckpoint(""110202"",""0"") & !hasItem(""708001"") & player.level =8",,
9000126,,"isCurrentCheckpoint(""110202"",""0"") & hasItem(""708001"") & player.level =8",,
9000127,,"isCurrentCheckpoint(""110203"",""0"") & player.level =9",,
9000128,,"(isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getSkillLevel(""100001"",""10000101"") =1) | (isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getSkillLevel(""101001"",""10100101"") =1)",,
9000129,,"(isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getSkillLevel(""100001"",""10000101"") >1) | (isCurrentCheckpoint(""110204"",""0"") & player.level =10 & getSkillLevel(""101001"",""10100101"") >1)",,
1000101,,"player.level =1 & !hasHero(""202001"",""Embattle_Copy"")",,
1000102,,player.level >8,,
1000103,,"player.level =1 & hasHero(""202001"",""Embattle_Copy"")",,
1000104,,"player.level =2 & isCurrentCheckpoint(""110102"",""0"")",,
1000105,,"player.level =2 & isCurrentCheckpoint(""110102"",""0"") & !hasItem(""700124"") & !hasItem(""700013"") & !hasItem(""700073"") & !hasItem(""700157"") & !hasItem(""700174"")",,
1000106,,"player.level =3 & isCurrentCheckpoint(""110201"",""0"") & hasItem(""700091"")",,
1000107,,"(player.level =3 & isCurrentCheckpoint(""110201"",""0"") & isAllWear(""100001_1"")) |(player.level =3 & isCurrentCheckpoint(""110201"",""0"") & isAllWear(""101001_1""))",,
1000108,,"player.level =3 & isCurrentCheckpoint(""110201"",""0"") & player.quality =1",,
1000109,,"(player.level =3 & isCurrentCheckpoint(""110201"",""0"") & getSoulCount(""100001"") >1) | (player.level =3 & isCurrentCheckpoint(""110201"",""0"") & getSoulCount(""101001"") >1)",,
1000110,,"player.level =4 & isCurrentCheckpoint(""110202"",""0"") & !hasHero(""200003"",""Embattle_Copy"")",,
1000111,,"player.level =4 & isCurrentCheckpoint(""110202"",""0"") & hasHero(""200003"",""Embattle_Copy"")",,
1000112,,"player.level =5 & isCurrentCheckpoint(""110203"",""0"")",,
1000113,,"(isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""100001"",""10000101"") =1) | (isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""101001"",""10100101"") =1)",,
1000114,,"(isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""100001"",""10000101"") >1) | (isCurrentCheckpoint(""110301"",""0"") & player.level =6 & getSkillLevel(""101001"",""10100101"") >1)",,
1000115,,"player.level =7 & isCurrentCheckpoint(""110302"",""0"")",,
1000116,,"(player.level =8 & isCurrentCheckpoint(""110303"",""0"") &  !(getSoulCount(""100001"") >19)) | (player.level =8 & isCurrentCheckpoint(""110303"",""0"") &  !(getSoulCount(""101001"") >19))",,
1000117,,"(player.level =8 & isCurrentCheckpoint(""110303"",""0"") & getSoulCount(""100001"") >19) | (player.level =8 & isCurrentCheckpoint(""110303"",""0"") & getSoulCount(""101001"") >19)",,
1000118,,"player.level =8 & isCurrentCheckpoint(""110303"",""0"") & player.starLevel >1",,
1000119,,"player.level =8 & isCurrentCheckpoint(""110303"",""0"") & player.starLevel >1 & player.coinCount >70000",,
1000124,,player.quality =1,,
1000130,,"isPlotTrigger(""201001"",""2"")",,
1000131,,"isPlotTrigger(""201002"",""3"")",,
1000132,,"isPlotTrigger(""202001"",""2"")",,
1000133,,"isPlotTrigger(""202007"",""2"")",,
1000134,,"isPlotTrigger(""110101_10"",""5"")",,
1000135,,"isPlotTrigger(""110101_20"",""7"")",,
1000136,,"isPlotTrigger(""110101_30"",""5"")",,
1000137,,"isPlotTrigger(""110102_10"",""2"")",,
1000200,,isBattling() & player.level = 16,,
1000201,,player.level =16,,
1000202,,player.level >=17,,
1000300,,isEliteOpen() & isEliteMap(),,
1000301,,isEliteOpen() & player.level = 13,,
1000302,,player.level >=14,,
1000303,,"player.level >=12 & getBattleState(""120101"") !=0",,
1000304,,player.level >=14,,
1000401,,player.level =21,,
1000402,,player.level >=22,,
1000501,,player.level =17,,
1000502,,player.level >=18,,
1000601,,player.level =20,,
1000602,,player.level >=21,,
1000701,,player.level =26,,
1000702,,player.level >=27,,
1000801,,player.level =23,,
1000802,,player.level >=24,,
1000803,,"getBattleState(""150041"") !=0 | getBattleState(""150042"") !=0 | getBattleState(""150043"") !=0 | getBattleState(""150044"") !=0 | getBattleState(""150045"") !=0",,
1000901,,player.level =98,,
1000902,,player.level >=99,,
1001001,,player.level =19,,
1001002,,player.level >=20,,
1001101,,player.level =22,,
1001102,,player.level >=23,,
1001201,,player.level =29,,
1001202,,player.level >=30,,
1001301,,player.level =98,,
1001302,,player.level >=99,,
1001401,,player.level =31,,
1001402,,player.level >=32,,
