key,Remarks,actionList,priority,guideType,savingMode,breakable
10000,,"100000010,100000020,100000030,100000040,100000050",,Force,ForceComplete,true
10001,,"100010000,100010010,100010020,100010030,100010040,100010050,100010060,100010070,100010080,100010090,100010100,100010110,100010120,100010130,100010140,100010141,100010142,100010143,100010144,100010145,100010150,100010160,100010170,100010200,100010210,100010220,100010230,100010240,100010250,100010260,100010270,100010280,100010290,100010300,100010310,100010320,100010330,100010340,100010350,100010360,100010370,100010380,100010390,100010400,100010410,100010420,100010430,100010440,100010450,100010460,100010470,100010480,100010490,100010500,100010510,100010520,100010530,100010540,100010550,100010560,100010570,100010580,100010590,100010600,100010610,100010620,100010630,100010640,100010650,100010660,100010670,100010680,100010690,100010700,100010710,100010720,100010730,100010740,100010750",2,Force,ForceComplete,
10002,,"100020000,100020010,100020020,100020030,100020031",3,Force,ForceComplete,true
10003,,"100030000,100030010,100030020,100030030,100030040",6,Force,ForceComplete,true
10004,,"100040000,100040010,100040020",5,Force,ForceComplete,true
10005,,"100050000,100050010,100050020,100050030",4,Force,ForceComplete,true
10006,,"100060000,100060010",5,Force,ForceComplete,true
10007,,"100070000,100070010,100070020",7,Force,ForceComplete,true
10008,,"100080000,100080010,100080020,100080030,100080040",8,Force,ForceComplete,true
10010,,"100100000,100100010,100100020",10,Force,ForceComplete,true
10011,,"100110000,100110010,100110020",11,Force,ForceComplete,true
10012,,"100120000,100120010,100120020",12,Force,ForceComplete,true
10013,,"100130000,100130010,100130020,100130030,100130040",14,Force,ForceComplete,true
10014,,"100140000,100140010,100140020",13,Force,ForceComplete,true
10015,,"100150000,100150010,100150020",15,Force,ForceComplete,true
10016,,"100160000,100160010,100160020,100160030,100160040,100160050",16,Force,ForceComplete,true
10017,,"100170000,100170010,100170020",17,Force,ForceComplete,true
10018,,"100180000,100180010,100180020,100180030",18,Force,ForceComplete,true
10019,,"100190000,100190010,100190020,100190030,100190040,100190050",,Force,ForceComplete,true
10020,,"100200000,100200010,100200020,100200030,100090010,100090020",18,Force,ForceComplete,true
10021,,"100210010,100210020,100210030,100210040,100210050,100210060",96,Force,ForceComplete,true
10022,,"100220000,100220010,100220020,100220030,100220040,100220050,100220060",99,Force,DoNotSave,
10023,,"100230010,100230020,100230030,100230040,100230050,100230060,100230070",97,Force,ForceComplete,true
10024,,100240010,,Force,ForceComplete,true
10025,,"100250010,100250020,100250030,100250040,100250050,100250060,100250070",1,Force,ForceComplete,true
10026,,"100260010,100260020",19,Force,ForceComplete,true
10027,,"100270000,100270010,100270020,100270030,100270040,100270050,100270060,100270070,100270080,100270090",2,Force,ForceComplete,true
10028,,"100280000,100280010",1,Force,ForceComplete,true
10029,,"100290010,100290020,100290030",9,Force,ForceComplete,true
20000,,"200010010,200010020,200010030",1,Force,DoNotSave,
20001,,200010050,1,Force,DoNotSave,
20002,,200010120,1,Force,DoNotSave,
20003,,"200010150,200010160,200010170,200010180,200010190",3,Force,DoNotSave,
20004,,200010230,1,Force,DoNotSave,
20005,,200010270,1,Force,DoNotSave,
20006,,"200010300,200010310,200010320",3,Force,DoNotSave,
20007,,200010350,1,Force,DoNotSave,
20008,,200010410,1,Force,DoNotSave,
20009,,"200010450,200010460",1,Force,DoNotSave,
20010,,"200010470,200010480,200010490",3,Force,DoNotSave,
20011,,200010550,1,Force,ForceComplete,
20012,,"200010141,200010142,200010143,200010144",1,Force,DoNotSave,
20013,,200010590,1,Force,DoNotSave,
20014,,200010610,1,Force,DoNotSave,
20015,,200010640,1,Force,DoNotSave,
20016,,200010670,1,Force,DoNotSave,
20017,,200010720,1,Force,DoNotSave,
