key,Remarks,uniqueId,conditionId,conditionLevel,subConditionId,nextID,fettersAttrDesc,fettersAttrData,fettersPrecentAttrData,subConditionRestrict,subConditionValue
2020010101,,2020010101,20200101,1,20200101,2020010102,Lv.1 同时拥有2个1星羁绊英雄：物理攻击+120,物理攻击_120,,3_2,2_1
2020010102,,2020010102,20200101,2,20200101,2020010103,Lv.2 同时拥有2个2星羁绊英雄：物理攻击+360,物理攻击_360,,3_2,2_2
2020010103,,2020010103,20200101,3,20200101,2020010104,Lv.3 同时拥有2个3星羁绊英雄：物理攻击+600,物理攻击_600,,3_2,2_3
2020010104,,2020010104,20200101,4,20200101,2020010105,Lv.4 同时拥有2个4星羁绊英雄：物理攻击+840,物理攻击_840,,3_2,2_4
2020010105,,2020010105,20200101,5,20200101,,Lv.5 同时拥有2个5星羁绊英雄：物理攻击+1080,物理攻击_1080,,3_2,2_5
2020010201,,2020010201,20200102,1,20200102,2020010202,Lv.1 同时拥有2个1星羁绊英雄：物理攻击+120,物理攻击_120,,3_2,2_1
2020010202,,2020010202,20200102,2,20200102,2020010203,Lv.2 同时拥有2个2星羁绊英雄：物理攻击+360,物理攻击_360,,3_2,2_2
2020010203,,2020010203,20200102,3,20200102,2020010204,Lv.3 同时拥有2个3星羁绊英雄：物理攻击+600,物理攻击_600,,3_2,2_3
2020010204,,2020010204,20200102,4,20200102,2020010205,Lv.4 同时拥有2个4星羁绊英雄：物理攻击+840,物理攻击_840,,3_2,2_4
2020010205,,2020010205,20200102,5,20200102,,Lv.5 同时拥有2个5星羁绊英雄：物理攻击+1080,物理攻击_1080,,3_2,2_5
2020010301,,2020010301,20200103,1,20200103,2020010302,Lv.1 同时拥有2个1星羁绊英雄：物理攻击+120,物理攻击_120,,3_2,2_1
2020010302,,2020010302,20200103,2,20200103,2020010303,Lv.2 同时拥有2个2星羁绊英雄：物理攻击+360,物理攻击_360,,3_2,2_2
2020010303,,2020010303,20200103,3,20200103,2020010304,Lv.3 同时拥有2个3星羁绊英雄：物理攻击+600,物理攻击_600,,3_2,2_3
2020010304,,2020010304,20200103,4,20200103,2020010305,Lv.4 同时拥有2个4星羁绊英雄：物理攻击+840,物理攻击_840,,3_2,2_4
2020010305,,2020010305,20200103,5,20200103,,Lv.5 同时拥有2个5星羁绊英雄：物理攻击+1080,物理攻击_1080,,3_2,2_5
