Key,Remarks,id,aptitude,growUp
60300101_1,,60300101,1,物理攻击_1|
60300101_2,,60300101,2,物理攻击_2|
60300101_3,,60300101,3,物理攻击_3|
60300101_4,,60300101,4,物理攻击_4|
60300101_5,,60300101,5,物理攻击_5|
60300101_6,,60300101,6,物理攻击_6|
60300101_7,,60300101,7,物理攻击_7|
60300101_8,,60300101,8,物理攻击_8|
60300101_9,,60300101,9,物理攻击_9|
60300101_10,,60300101,10,物理攻击_10|
60300101_11,,60300101,11,物理攻击_11|
60300101_12,,60300101,12,物理攻击_12|
60300101_13,,60300101,13,物理攻击_13|
60300101_14,,60300101,14,物理攻击_14|
60300101_15,,60300101,15,物理攻击_15|
60300101_16,,60300101,16,物理攻击_16|
60300101_17,,60300101,17,物理攻击_17|
60300101_18,,60300101,18,物理攻击_18|
60300101_19,,60300101,19,物理攻击_19|
60300101_20,,60300101,20,物理攻击_20|
60300101_21,,60300101,21,物理攻击_21|
60300101_22,,60300101,22,物理攻击_22|
60300101_23,,60300101,23,物理攻击_23|
60300101_24,,60300101,24,物理攻击_24|
60300101_25,,60300101,25,物理攻击_25|
60300101_26,,60300101,26,物理攻击_26|
60300101_27,,60300101,27,物理攻击_27|
60300101_28,,60300101,28,物理攻击_28|
60300101_29,,60300101,29,物理攻击_29|
60300101_30,,60300101,30,物理攻击_30|
60300201_1,,60300201,1,物理攻击_1|
60300201_2,,60300201,2,物理攻击_2|
60300201_3,,60300201,3,物理攻击_3|
60300201_4,,60300201,4,物理攻击_4|
60300201_5,,60300201,5,物理攻击_5|
60300201_6,,60300201,6,物理攻击_6|
60300201_7,,60300201,7,物理攻击_7|
60300201_8,,60300201,8,物理攻击_8|
60300201_9,,60300201,9,物理攻击_9|
60300201_10,,60300201,10,物理攻击_10|
60300201_11,,60300201,11,物理攻击_11|
60300201_12,,60300201,12,物理攻击_12|
60300201_13,,60300201,13,物理攻击_13|
60300201_14,,60300201,14,物理攻击_14|
60300201_15,,60300201,15,物理攻击_15|
60300201_16,,60300201,16,物理攻击_16|
60300201_17,,60300201,17,物理攻击_17|
60300201_18,,60300201,18,物理攻击_18|
60300201_19,,60300201,19,物理攻击_19|
60300201_20,,60300201,20,物理攻击_20|
60300201_21,,60300201,21,物理攻击_21|
60300201_22,,60300201,22,物理攻击_22|
60300201_23,,60300201,23,物理攻击_23|
60300201_24,,60300201,24,物理攻击_24|
60300201_25,,60300201,25,物理攻击_25|
60300201_26,,60300201,26,物理攻击_26|
60300201_27,,60300201,27,物理攻击_27|
60300201_28,,60300201,28,物理攻击_28|
60300201_29,,60300201,29,物理攻击_29|
60300201_30,,60300201,30,物理攻击_30|
60301101_1,,60301101,1,物理攻击_1|
60301101_2,,60301101,2,物理攻击_2|
60301101_3,,60301101,3,物理攻击_3|
60301101_4,,60301101,4,物理攻击_4|
60301101_5,,60301101,5,物理攻击_5|
60301101_6,,60301101,6,物理攻击_6|
60301101_7,,60301101,7,物理攻击_7|
60301101_8,,60301101,8,物理攻击_8|
60301101_9,,60301101,9,物理攻击_9|
60301101_10,,60301101,10,物理攻击_10|
60301101_11,,60301101,11,物理攻击_11|
60301101_12,,60301101,12,物理攻击_12|
60301101_13,,60301101,13,物理攻击_13|
60301101_14,,60301101,14,物理攻击_14|
60301101_15,,60301101,15,物理攻击_15|
60301101_16,,60301101,16,物理攻击_16|
60301101_17,,60301101,17,物理攻击_17|
60301101_18,,60301101,18,物理攻击_18|
60301101_19,,60301101,19,物理攻击_19|
60301101_20,,60301101,20,物理攻击_20|
60301101_21,,60301101,21,物理攻击_21|
60301101_22,,60301101,22,物理攻击_22|
60301101_23,,60301101,23,物理攻击_23|
60301101_24,,60301101,24,物理攻击_24|
60301101_25,,60301101,25,物理攻击_25|
60301101_26,,60301101,26,物理攻击_26|
60301101_27,,60301101,27,物理攻击_27|
60301101_28,,60301101,28,物理攻击_28|
60301101_29,,60301101,29,物理攻击_29|
60301101_30,,60301101,30,物理攻击_30|
60301201_1,,60301201,1,物理攻击_1|
60301201_2,,60301201,2,物理攻击_2|
60301201_3,,60301201,3,物理攻击_3|
60301201_4,,60301201,4,物理攻击_4|
60301201_5,,60301201,5,物理攻击_5|
60301201_6,,60301201,6,物理攻击_6|
60301201_7,,60301201,7,物理攻击_7|
60301201_8,,60301201,8,物理攻击_8|
60301201_9,,60301201,9,物理攻击_9|
60301201_10,,60301201,10,物理攻击_10|
60301201_11,,60301201,11,物理攻击_11|
60301201_12,,60301201,12,物理攻击_12|
60301201_13,,60301201,13,物理攻击_13|
60301201_14,,60301201,14,物理攻击_14|
60301201_15,,60301201,15,物理攻击_15|
60301201_16,,60301201,16,物理攻击_16|
60301201_17,,60301201,17,物理攻击_17|
60301201_18,,60301201,18,物理攻击_18|
60301201_19,,60301201,19,物理攻击_19|
60301201_20,,60301201,20,物理攻击_20|
60301201_21,,60301201,21,物理攻击_21|
60301201_22,,60301201,22,物理攻击_22|
60301201_23,,60301201,23,物理攻击_23|
60301201_24,,60301201,24,物理攻击_24|
60301201_25,,60301201,25,物理攻击_25|
60301201_26,,60301201,26,物理攻击_26|
60301201_27,,60301201,27,物理攻击_27|
60301201_28,,60301201,28,物理攻击_28|
60301201_29,,60301201,29,物理攻击_29|
60301201_30,,60301201,30,物理攻击_30|
60301102_1,,60301102,1,暴击_1|
60301102_2,,60301102,2,暴击_1|
60301102_3,,60301102,3,暴击_1|
60301102_4,,60301102,4,暴击_1|
60301102_5,,60301102,5,暴击_1|
60301102_6,,60301102,6,暴击_1|
60301102_7,,60301102,7,暴击_1|
60301102_8,,60301102,8,暴击_1|
60301102_9,,60301102,9,暴击_1|
60301102_10,,60301102,10,暴击_1|
60301102_11,,60301102,11,暴击_1|
60301102_12,,60301102,12,暴击_1|
60301102_13,,60301102,13,暴击_1|
60301102_14,,60301102,14,暴击_1|
60301102_15,,60301102,15,暴击_1|
60301102_16,,60301102,16,暴击_1|
60301102_17,,60301102,17,暴击_2|
60301102_18,,60301102,18,暴击_2|
60301102_19,,60301102,19,暴击_2|
60301102_20,,60301102,20,暴击_2|
