key,remarks,level,goodsId,exp,moneyType,cost
1,,1,801001_3;806005_3,1,2,200
2,,2,801001_3;806005_3,2,2,200
3,,3,801001_3;806005_3,3,2,200
4,,4,801001_3;806005_3,4,2,200
5,,5,801001_3;806005_3,5,2,200
6,,6,801001_3;806005_3,6,2,200
7,,7,801001_3;806005_3,7,2,200
8,,8,801001_3;806005_3,8,2,200
9,,9,801001_3;806005_3,9,2,200
10,,10,801001_3;806005_3,10,2,200
11,,11,801001_3;806005_3,11,2,200
12,,12,801001_3;806005_3,12,2,200
13,,13,801001_3;806005_3,13,2,200
14,,14,801001_3;806005_3,14,2,200
15,,15,801001_3;806005_3,15,2,200
16,,16,801001_3;806005_3,16,2,200
17,,17,801001_4;806005_4,17,2,200
18,,18,801001_5;806005_5,18,2,200
19,,19,801001_6;806005_6,19,2,200
20,,20,801001_7;806005_7,20,2,200
21,,21,801001_8;806005_8,21,2,200
22,,22,801001_9;806005_9,22,2,200
23,,23,801001_10;806005_10,23,2,200
24,,24,801001_12;806005_12,24,2,200
25,,25,801001_14;806005_14,25,2,200
26,,26,801001_15;806005_15,26,2,200
27,,27,801001_19;806005_19,27,2,200
28,,28,801001_26;806005_26,28,2,200
29,,29,801001_34;806005_34,29,2,200
30,,30,801001_70;806005_70,30,2,199
31,,31,801002_11;806006_11,31,2,210
32,,32,801002_15;806006_15,32,2,230
33,,33,801002_21;806006_21,33,2,250
34,,34,801002_24;806006_24,34,2,270
35,,35,801002_29;806006_29,35,2,290
36,,36,801002_37;806006_37,36,2,310
37,,37,801002_45;806006_45,37,2,340
38,,38,801002_59;806006_59,38,2,360
39,,39,801002_70;806006_70,39,2,390
40,,40,801002_85;806006_85,40,2,430
41,,41,801002_98;806006_98,41,2,460
42,,42,801002_111;806006_111,42,2,500
43,,43,801002_138;806006_138,43,2,540
44,,44,801002_187;806006_187,44,2,580
45,,45,801002_251;806006_251,45,2,630
46,,46,801002_359;806006_359,46,2,680
47,,47,801002_437;806006_437,47,2,730
48,,48,801002_534;806006_534,48,2,790
49,,49,801002_671;806006_671,49,2,850
50,,50,801002_938;806006_938,50,2,920
51,,51,801003_121;806007_121,51,2,1000
52,,52,801003_171;806007_171,52,2,1080
53,,53,801003_234;806007_234,53,2,1160
54,,54,801003_312;806007_312,54,2,1260
55,,55,801003_345;806007_345,55,2,1360
56,,56,801003_381;806007_381,56,2,1470
57,,57,801003_450;806007_450,57,2,1580
58,,58,801003_535;806007_535,58,2,1710
59,,59,801003_636;806007_636,59,2,1850
60,,60,801003_683;806007_683,60,2,1999
61,,61,801003_748;806007_748,61,2,2060
62,,62,801003_856;806007_856,62,2,2120
63,,63,801003_985;806007_985,63,2,2190
64,,64,801003_1137;806007_1137,64,2,2250
65,,65,801003_1222;806007_1222,65,2,2320
66,,66,801003_1320;806007_1320,66,2,2400
67,,67,801003_1473;806007_1473,67,2,2470
68,,68,801003_1653;806007_1653,68,2,2550
69,,69,801003_1861;806007_1861,69,2,2630
70,,70,801003_2338;806007_2338,70,2,2710
71,,71,801004_285;806008_285,71,2,2790
72,,72,801004_404;806008_404,72,2,2880
73,,73,801004_553;806008_553,73,2,2970
74,,74,801004_735;806008_735,74,2,3060
75,,75,801004_809;806008_809,75,2,3160
76,,76,801004_887;806008_887,76,2,3260
77,,77,801004_1044;806008_1044,77,2,3360
78,,78,801004_1237;806008_1237,78,2,3460
79,,79,801004_1466;806008_1466,79,2,3570
80,,80,801004_1567;806008_1567,80,2,3680
81,,81,801004_1672;806008_1672,81,2,3790
82,,82,801004_1869;806008_1869,82,2,3910
83,,83,801004_2104;806008_2104,83,2,4030
84,,84,801004_2381;806008_2381,84,2,4160
85,,85,801004_2509;806008_2509,85,2,4290
86,,86,801004_2640;806008_2640,86,2,4420
87,,87,801004_2876;806008_2876,87,2,4560
88,,88,801004_3155;806008_3155,88,2,4700
89,,89,801004_3480;806008_3480,89,2,4840
90,,90,801004_3480;806008_3480,90,2,5000
