Key,Remarks,id,aptitudeGroup,aptitudeChange,weight
1,,1,1~6,-3,
2,,2,1~6,-2,1
3,,3,1~6,-1,11
4,,4,1~6,1,100
5,,5,1~6,2,10
6,,6,1~6,3,1
7,,7,7~12,-3,1
8,,8,7~12,-2,10
9,,9,7~12,-1,100
10,,10,7~12,1,76
11,,11,7~12,2,10
12,,12,7~12,3,1
13,,13,13~18,-3,19
14,,14,13~18,-2,100
15,,15,13~18,-1,50
16,,16,13~18,1,41
17,,17,13~18,2,5
18,,18,13~18,3,1
19,,19,19~24,-3,100
20,,20,19~24,-2,50
21,,21,19~24,-1,18
22,,22,19~24,1,10
23,,23,19~24,2,5
24,,24,19~24,3,1
25,,25,25~30,-3,130
26,,26,25~30,-2,60
27,,27,25~30,-1,42
28,,28,25~30,1,5
29,,29,25~30,2,2
30,,30,25~30,3,1
