key,remarks,range,prizeCountPerHour
1,,1,229
2,,2,224
3,,3,218
4,,4,212
5,,5,207
6,,6,201
7,,7,195
8,,8,189
9,,9,184
10,,10,178
11,,11~17,172
12,,18~24,167
13,,25~31,161
14,,32~38,155
15,,39~45,149
16,,46~52,144
17,,53~59,138
18,,60~66,132
19,,67~73,126
20,,74~80,121
21,,81~88,115
22,,89~96,109
23,,97~104,104
24,,105~112,103
25,,113~120,102
26,,121~128,101
27,,129~136,100
28,,137~144,99
29,,145~152,98
30,,153~160,97
31,,161~179,96
32,,180~198,95
33,,199~217,94
34,,218~236,93
35,,237~255,92
36,,256~274,91
37,,275~293,90
38,,294~312,89
39,,313~331,88
40,,332~350,87
41,,351~355,86
42,,356~360,85
43,,361~365,84
44,,366~370,83
45,,371~375,82
46,,376~380,81
47,,381~385,80
48,,386~390,79
49,,391~395,78
50,,396~400,77
51,,401~450,76
52,,451~500,73
53,,501~550,71
54,,551~600,68
55,,601~650,66
56,,651~700,64
57,,701~750,61
58,,751~800,59
59,,801~850,57
60,,851~900,54
61,,901~950,52
62,,951~1000,49
