key,remarks,typeId,minLevel,maxLevel,score,reward
1,,1,1,43,2,"2_30,804002_2"
2,,2,1,43,4,"2_30,804002_2"
3,,3,1,43,6,"2_30,804002_2"
4,,4,1,43,8,"2_30,804002_3"
5,,5,1,43,10,"2_30,804002_3"
6,,6,1,43,12,"2_30,804002_3"
7,,7,1,43,14,"2_30,804002_3"
8,,8,1,43,16,"2_30,804002_3"
9,,9,1,43,18,"2_30,804002_3"
10,,10,1,43,20,"2_30,804002_3"
11,,1,44,45,2,"2_30,804002_2"
12,,2,44,45,4,"2_30,804002_2"
13,,3,44,45,6,"2_30,804002_2"
14,,4,44,45,8,"2_30,804002_3"
15,,5,44,45,10,"2_30,804002_3"
16,,6,44,45,12,"2_30,804002_3"
17,,7,44,45,14,"2_30,804002_3"
18,,8,44,45,16,"2_30,804002_3"
19,,9,44,45,18,"2_30,804002_3"
20,,10,44,45,20,"2_30,804002_3"
21,,1,46,47,2,"2_30,804002_2"
22,,2,46,47,4,"2_30,804002_2"
23,,3,46,47,6,"2_30,804002_2"
24,,4,46,47,8,"2_30,804002_3"
25,,5,46,47,10,"2_30,804002_3"
26,,6,46,47,12,"2_30,804002_3"
27,,7,46,47,14,"2_30,804002_3"
28,,8,46,47,16,"2_30,804002_3"
29,,9,46,47,18,"2_30,804002_3"
30,,10,46,47,20,"2_30,804002_3"
31,,1,48,49,2,"2_30,804002_2"
32,,2,48,49,4,"2_30,804002_2"
33,,3,48,49,6,"2_30,804002_2"
34,,4,48,49,8,"2_30,804002_3"
35,,5,48,49,10,"2_30,804002_3"
36,,6,48,49,12,"2_30,804002_3"
37,,7,48,49,14,"2_30,804002_3"
38,,8,48,49,16,"2_30,804002_3"
39,,9,48,49,18,"2_30,804002_3"
40,,10,48,49,20,"2_30,804002_3"
41,,1,50,51,2,"2_30,804002_2"
42,,2,50,51,4,"2_30,804002_2"
43,,3,50,51,6,"2_30,804002_2"
44,,4,50,51,8,"2_30,804002_4"
45,,5,50,51,10,"2_30,804002_4"
46,,6,50,51,12,"2_30,804002_4"
47,,7,50,51,14,"2_30,804002_4"
48,,8,50,51,16,"2_30,804002_4"
49,,9,50,51,18,"2_30,804002_4"
50,,10,50,51,20,"2_30,804002_4"
51,,1,52,53,2,"2_30,804002_2"
52,,2,52,53,4,"2_30,804002_2"
53,,3,52,53,6,"2_30,804002_2"
54,,4,52,53,8,"2_30,804002_4"
55,,5,52,53,10,"2_30,804002_4"
56,,6,52,53,12,"2_30,804002_4"
57,,7,52,53,14,"2_30,804002_4"
58,,8,52,53,16,"2_30,804002_4"
59,,9,52,53,18,"2_30,804002_4"
60,,10,52,53,20,"2_30,804002_4"
61,,1,54,55,2,"2_30,804002_3"
62,,2,54,55,4,"2_30,804002_3"
63,,3,54,55,6,"2_30,804002_3"
64,,4,54,55,8,"2_30,804002_4"
65,,5,54,55,10,"2_30,804002_4"
66,,6,54,55,12,"2_30,804002_4"
67,,7,54,55,14,"2_30,804002_4"
68,,8,54,55,16,"2_30,804002_4"
69,,9,54,55,18,"2_30,804002_4"
70,,10,54,55,20,"2_30,804002_4"
71,,1,56,57,2,"2_30,804002_3"
72,,2,56,57,4,"2_30,804002_3"
73,,3,56,57,6,"2_30,804002_3"
74,,4,56,57,8,"2_30,804002_4"
75,,5,56,57,10,"2_30,804002_4"
76,,6,56,57,12,"2_30,804002_4"
77,,7,56,57,14,"2_30,804002_4"
78,,8,56,57,16,"2_30,804002_4"
79,,9,56,57,18,"2_30,804002_4"
80,,10,56,57,20,"2_30,804002_4"
81,,1,58,59,2,"2_30,804002_3"
82,,2,58,59,4,"2_30,804002_3"
83,,3,58,59,6,"2_30,804002_3"
84,,4,58,59,8,"2_30,804002_5"
85,,5,58,59,10,"2_30,804002_5"
86,,6,58,59,12,"2_30,804002_5"
87,,7,58,59,14,"2_30,804002_5"
88,,8,58,59,16,"2_30,804002_5"
89,,9,58,59,18,"2_30,804002_5"
90,,10,58,59,20,"2_30,804002_5"
91,,1,60,61,2,"2_30,804002_3"
92,,2,60,61,4,"2_30,804002_3"
93,,3,60,61,6,"2_30,804002_3"
94,,4,60,61,8,"2_30,804002_5"
95,,5,60,61,10,"2_30,804002_5"
96,,6,60,61,12,"2_30,804002_5"
97,,7,60,61,14,"2_30,804002_5"
98,,8,60,61,16,"2_30,804002_5"
99,,9,60,61,18,"2_30,804002_5"
100,,10,60,61,20,"2_30,804002_5"
101,,1,62,63,2,"2_30,804002_3"
102,,2,62,63,4,"2_30,804002_3"
103,,3,62,63,6,"2_30,804002_3"
104,,4,62,63,8,"2_30,804002_5"
105,,5,62,63,10,"2_30,804002_5"
106,,6,62,63,12,"2_30,804002_5"
107,,7,62,63,14,"2_30,804002_5"
108,,8,62,63,16,"2_30,804002_5"
109,,9,62,63,18,"2_30,804002_5"
110,,10,62,63,20,"2_30,804002_5"
111,,1,64,65,2,"2_30,804002_3"
112,,2,64,65,4,"2_30,804002_3"
113,,3,64,65,6,"2_30,804002_3"
114,,4,64,65,8,"2_30,804002_5"
115,,5,64,65,10,"2_30,804002_5"
116,,6,64,65,12,"2_30,804002_5"
117,,7,64,65,14,"2_30,804002_5"
118,,8,64,65,16,"2_30,804002_5"
119,,9,64,65,18,"2_30,804002_5"
120,,10,64,65,20,"2_30,804002_5"
121,,1,66,67,2,"2_30,804002_4"
122,,2,66,67,4,"2_30,804002_4"
123,,3,66,67,6,"2_30,804002_4"
124,,4,66,67,8,"2_30,804002_6"
125,,5,66,67,10,"2_30,804002_6"
126,,6,66,67,12,"2_30,804002_6"
127,,7,66,67,14,"2_30,804002_6"
128,,8,66,67,16,"2_30,804002_6"
129,,9,66,67,18,"2_30,804002_6"
