source,Remarks,isAllowVipHeadIcon,battleSpeed,isAllowBuyFashion,isAllowSoulBox,isAllowReplenish
vip0,,false,,false,false,false
vip1,,true,,false,false,false
vip2,,true,,false,false,true
vip3,,true,,false,false,true
vip4,,true,3,false,false,true
vip5,,true,3,false,false,true
vip6,,true,3,true,false,true
vip7,,true,3,true,false,true
vip8,,true,3,true,false,true
vip9,,true,3,true,false,true
vip10,,true,3,true,false,true
vip11,,true,3,true,true,true
vip12,,true,3,true,true,true
vip13,,true,3,true,true,true
vip14,,true,3,true,true,true
vip15,,true,3,true,true,true
monthNormal,,,,,,
monthVip,,,,,,
