source,Remarks,isOpenBlackmarketStore,isOpenMysteryStore,storeFreeRefreshCnt,mysteryStoreFreeRefreshCnt,bmstoreFreeRefreshCnt
vip0,,false,false,,,
vip1,,false,false,1,1,1
vip2,,false,false,,,
vip3,,false,false,,,
vip4,,false,false,,,
vip5,,false,false,2,2,2
vip6,,false,false,,,
vip7,,false,false,,,
vip8,,false,false,,,
vip9,,false,false,,,
vip10,,false,false,,,
vip11,,false,false,5,5,5
vip12,,false,false,,,
vip13,,true,true,,,
vip14,,true,true,,,
vip15,,true,true,,,
monthNormal,,false,false,1,1,1
monthVip,,true,true,3,3,3
