Remarks,key,RedPointType,RedPointId,relativeChain
"主界面主城",,HOME_TOP_WINDOW_MAINCITY,1,
"主界面帮派",,HOME_TOP_WINDOW_GROUP,2,
"主界面竞技",,HOME_TOP_WINDOW_AREA,3,
"主页界面英雄按钮",,HOME_WINDOW_HERO,4,
"英雄列表界面角色面板",,HERO_LIST_WINDOW_ROLE,5,
"英雄列表界面可召唤",,HERO_LIST_WINDOW_ROLE_SUMMON,6,6-4
"角色界面升星",,ROLE_WINDOW_UPGRADE_STAR,7,7-5-4
"角色界面可装备",,ROLE_WINDOW_DRESS_EQUIP,8,8-5-4
"角色界面一键穿装",,ROLE_WINDOW_ADVANCED,9,9-5-4
"主页钓鱼台",,HOME_WINDOW_FISHING_STAGE,10,
"钓鱼台界面低级经验丹",,FISHING_WINDOW_LOW_LEVEL,11,11-10-1
"钓鱼台界面中级经验丹",,FISHING_WINDOW_MIDDLE_LEVEL,12,12-10-1
"主页界面任务面板",,HOME_WINDOW_TASK,13,13
"主页界面日常面板",,HOME_WINDOW_DAILY,14,14
"主页界面签到",,HOME_WINDOW_SIGN_IN,15,15
"主页界面邮箱",,HOME_WINWOW_MAIL,16,16
"主界面七日礼",,HOME_WINDOW_SEVER_GIFT,17,17
"主界面开服礼包",,HOME_WINDOW_OPEN_GIGT,18,18
"主界面好友",,HOME_WINDOW_FRIEND,19,
"好友界面领取体力",,FRIEND_WINDOW_RECEIVE_POWER,20,20-19
"好友界面好友添加",,FRIEND_WINDOW_ADD_FRIEND,21,21-19
"主页商店",,HOME_WINDOW_STORE,22,22-1
"主页聊天",,HOME_WINDOW_CHAT,23,
"聊天界面私聊",,CHAT_WINDOW_PRIVATE_CHAT,24,24-23
"主页竞技场",,HOME_WINDOW_ARENA,25,
PVP进入入口,,PVP_ENTRY_WINDOW_ARENA,26,
"职业竞技场战斗日记",,ARENA_WINDOW_BATTLE_LOG,27,27-26-25-3
"职业竞技场积分",,ARENA_WINDOW_SUM_POINT,28,28-26-25-3
"职业竞技场奖励",,ARENA_WINDOW_RANK_REWARD_POINT,29,29-26-25-3
"主页帮派",,HOME_WINDOW_GROUP,30,
"帮派技能学习",,GROUP_WINDOW_SKILL_LEARN,31,31-30-2
"帮派管理",,GROUP_WINDOW_MANAGER,32,
"帮派管理入帮申请",,GROUP_WINDOW_MANAGER_ENTER_GROUP,33,33-32-30-2
"主页界面试炼",,HOME_WINDOW_PVE,34,
"试炼界面封神台",,PVE_WINDOW_BATTLE_TOWER,35,
"封神台开宝匣",,BATTLE_TOWER_WINDOW_OPEN_CHEST,36,36-35-34-1
"主页界面通用活动",,HOME_WINDOW_ACTIVITY,37,37
GM反馈,,GM_FEEDBACK,38,38
"主界面神器",,HOME_WINDOW_FIX_EQUIP,39,
"神器英雄列表",,FIX_EQUIP_HERO_LIST,40,40-39
"神器装备列表",,FIX_EQUIP_LIST,41,
"神器装备进阶",,HERO_FIX_EQUIP_QUALITY_UP,42,42-41-39
"神器装备觉醒",,HERO_FIX_EQUIP_START_UP,43,43-41-39
"秘境主城入口",,SECRET_ENTRY,44,
"秘境资源奖励",,SECRET_RES_REWARD,45,45-44
"秘境记录钥匙奖励",,SECRET_RECORD_KEY,46,46-44
"法宝秘境积分奖励按钮红点",,MAGIC_SECRET_SCORE_REWARD,47,47
"封神台扫荡",,BATTLE_TOWER_SWEEP_END,48,48-35-34-1
