key,Remarks,id,planId,level,costType,costCount,exp
1,,1,10001,1,1,0.68,60
2,,2,10001,2,1,0.68,66
3,,3,10001,3,1,0.68,73
4,,4,10001,4,1,0.68,80
5,,5,10001,5,1,0.68,87
6,,6,10001,6,1,0.68,94
7,,7,10001,7,1,0.68,101
8,,8,10001,8,1,0.68,108
9,,9,10001,9,1,0.68,114
10,,10,10001,10,1,0.68,119
11,,11,10001,11,1,0.68,123
12,,12,10001,12,1,0.68,127
13,,13,10001,13,1,0.68,131
14,,14,10001,14,1,0.68,134
15,,15,10001,15,1,0.68,137
16,,16,10001,16,1,0.68,140
17,,17,10001,17,1,0.68,308
18,,18,10001,18,1,0.68,371
19,,19,10001,19,1,0.68,434
20,,20,10001,20,1,0.68,496
21,,21,10001,21,1,0.68,558
22,,22,10001,22,1,0.68,619
23,,23,10001,23,1,0.68,740
24,,24,10001,24,1,0.68,859
25,,25,10001,25,1,0.68,976
26,,26,10001,26,1,0.68,1212
27,,27,10001,27,1,0.68,1321
28,,28,10001,28,1,0.68,1427
29,,29,10001,29,1,0.68,1528
30,,30,10001,30,1,0.68,1623
31,,31,10001,31,1,0.68,1657
32,,32,10001,32,1,0.68,1686
33,,33,10001,33,1,0.68,1710
34,,34,10001,34,1,0.68,1730
35,,35,10001,35,1,0.68,1798
36,,36,10001,36,1,0.68,1807
37,,37,10001,37,1,0.68,1910
38,,38,10001,38,1,0.68,2052
39,,39,10001,39,1,0.68,2225
40,,40,10001,40,1,0.68,2379
41,,41,10001,41,1,0.68,2512
42,,42,10001,42,1,0.68,2751
43,,43,10001,43,1,0.68,3441
44,,44,10001,44,1,0.68,4242
45,,45,10001,45,1,0.68,5302
46,,46,10001,46,1,0.68,5863
47,,47,10001,47,1,0.68,6465
48,,48,10001,48,1,0.68,6918
49,,49,10001,49,1,0.68,7493
50,,50,10001,50,1,0.68,8448
51,,51,10001,51,1,0.68,9000
52,,52,10001,52,1,0.68,9563
53,,53,10001,53,1,0.68,10138
54,,54,10001,54,1,0.68,10726
55,,55,10001,55,1,0.68,11326
56,,56,10001,56,1,0.68,11938
57,,57,10001,57,1,0.68,12563
58,,58,10001,58,1,0.68,13200
59,,59,10001,59,1,0.68,13848
60,,60,10001,60,1,0.68,14832
61,,61,10001,61,1,0.68,15836
62,,62,10001,62,1,0.68,16861
63,,63,10001,63,1,0.68,17906
64,,64,10001,64,1,0.68,18971
65,,65,10001,65,1,0.68,20228
66,,66,10001,66,1,0.68,21510
67,,67,10001,67,1,0.68,22816
68,,68,10001,68,1,0.68,24146
69,,69,10001,69,1,0.68,25502
70,,70,10001,70,1,0.68,26881
71,,71,10001,71,1,0.68,28285
72,,72,10001,72,1,0.68,29714
73,,73,10001,73,1,0.68,31167
74,,74,10001,74,1,0.68,32644
75,,75,10001,75,1,0.68,34146
76,,76,10001,76,1,0.68,35673
77,,77,10001,77,1,0.68,37224
78,,78,10001,78,1,0.68,38799
79,,79,10001,79,1,0.68,40399
80,,80,10001,80,1,0.68,42024
81,,81,10001,81,1,0.68,43673
82,,82,10001,82,1,0.68,45346
83,,83,10001,83,1,0.68,47044
84,,84,10001,84,1,0.68,48767
85,,85,10001,85,1,0.68,50514
86,,86,10001,86,1,0.68,52285
