key,remarks,level,fightingOfSuit,fightingOfWing,fightingOfPet
1,,1,91,91,91
2,,2,181,181,181
3,,3,272,272,272
4,,4,363,363,363
5,,5,453,453,453
6,,6,544,544,544
7,,7,635,635,635
8,,8,725,725,725
9,,9,816,816,816
10,,10,907,907,907
11,,11,997,997,997
12,,12,1088,1088,1088
13,,13,1179,1179,1179
14,,14,1269,1269,1269
15,,15,1360,1360,1360
16,,16,1451,1451,1451
17,,17,1541,1541,1541
18,,18,1632,1632,1632
19,,19,1723,1723,1723
20,,20,1813,1813,1813
21,,21,1904,1904,1904
22,,22,1995,1995,1995
23,,23,2085,2085,2085
24,,24,2176,2176,2176
25,,25,2267,2267,2267
26,,26,2357,2357,2357
27,,27,2448,2448,2448
28,,28,2539,2539,2539
29,,29,2629,2629,2629
30,,30,2720,2720,2720
31,,31,2811,2811,2811
32,,32,2901,2901,2901
33,,33,2992,2992,2992
34,,34,3083,3083,3083
35,,35,3173,3173,3173
36,,36,3264,3264,3264
37,,37,3355,3355,3355
38,,38,3445,3445,3445
39,,39,3536,3536,3536
40,,40,3627,3627,3627
41,,41,3717,3717,3717
42,,42,3808,3808,3808
43,,43,3899,3899,3899
44,,44,3989,3989,3989
45,,45,4080,4080,4080
46,,46,4171,4171,4171
47,,47,4261,4261,4261
48,,48,4352,4352,4352
49,,49,4443,4443,4443
50,,50,4533,4533,4533
51,,51,4624,4624,4624
52,,52,4715,4715,4715
53,,53,4805,4805,4805
54,,54,4896,4896,4896
55,,55,4987,4987,4987
56,,56,5077,5077,5077
57,,57,5168,5168,5168
58,,58,5259,5259,5259
59,,59,5349,5349,5349
60,,60,5440,5440,5440
61,,61,5531,5531,5531
62,,62,5621,5621,5621
63,,63,5712,5712,5712
64,,64,5803,5803,5803
65,,65,5893,5893,5893
66,,66,5984,5984,5984
67,,67,6075,6075,6075
68,,68,6165,6165,6165
69,,69,6256,6256,6256
70,,70,6347,6347,6347
71,,71,6437,6437,6437
72,,72,6528,6528,6528
73,,73,6619,6619,6619
74,,74,6709,6709,6709
75,,75,6800,6800,6800
76,,76,6891,6891,6891
77,,77,6981,6981,6981
78,,78,7072,7072,7072
79,,79,7163,7163,7163
80,,80,7253,7253,7253
81,,81,7344,7344,7344
82,,82,7435,7435,7435
83,,83,7525,7525,7525
84,,84,7616,7616,7616
85,,85,7707,7707,7707
86,,86,7797,7797,7797
87,,87,7888,7888,7888
88,,88,7979,7979,7979
89,,89,8069,8069,8069
90,,90,8160,8160,8160
