key,remarks,level,fightingOfFixExpEquip1,fightingOfFixExpEquip2,fightingOfFixExpEquip3,fightingOfFixExpEquip4,fightingOfFixExpEquip5,fightingOfFixExpEquip6
1,,1,16,16,16,16,33,33
2,,2,33,33,33,33,66,66
3,,3,49,49,49,49,99,99
4,,4,66,66,66,66,132,132
5,,5,82,82,82,82,165,165
6,,6,99,99,99,99,199,199
7,,7,116,116,116,116,232,232
8,,8,132,132,132,132,265,265
9,,9,149,149,149,149,298,298
10,,10,165,165,165,165,331,331
11,,11,182,182,182,182,365,365
12,,12,199,199,199,199,398,398
13,,13,215,215,215,215,431,431
14,,14,232,232,232,232,464,464
15,,15,248,248,248,248,497,497
16,,16,265,265,265,265,530,530
17,,17,282,282,282,282,564,564
18,,18,298,298,298,298,597,597
19,,19,315,315,315,315,630,630
20,,20,331,331,331,331,663,663
21,,21,348,348,348,348,696,696
22,,22,365,365,365,365,730,730
23,,23,381,381,381,381,763,763
24,,24,398,398,398,398,796,796
25,,25,414,414,414,414,829,829
26,,26,431,431,431,431,862,862
27,,27,448,448,448,448,896,896
28,,28,464,464,464,464,929,929
29,,29,481,481,481,481,962,962
30,,30,497,497,497,497,995,995
31,,31,514,514,514,514,1028,1028
32,,32,530,530,530,530,1061,1061
33,,33,547,547,547,547,1095,1095
34,,34,564,564,564,564,1128,1128
35,,35,580,580,580,580,1161,1161
36,,36,597,597,597,597,1194,1194
37,,37,613,613,613,613,1227,1227
38,,38,630,630,630,630,1261,1261
39,,39,647,647,647,647,1294,1294
40,,40,663,663,663,663,1327,1327
41,,41,680,680,680,680,1360,1360
42,,42,696,696,696,696,1393,1393
43,,43,713,713,713,713,1426,1426
44,,44,730,730,730,730,1460,1460
45,,45,746,746,746,746,1493,1493
46,,46,763,763,763,763,1526,1526
47,,47,779,779,779,779,1559,1559
48,,48,796,796,796,796,1592,1592
49,,49,813,813,813,813,1626,1626
50,,50,829,829,829,829,1659,1659
51,,51,846,846,846,846,1692,1692
52,,52,862,862,862,862,1725,1725
53,,53,879,879,879,879,1758,1758
54,,54,896,896,896,896,1792,1792
55,,55,912,912,912,912,1825,1825
56,,56,929,929,929,929,1858,1858
57,,57,945,945,945,945,1891,1891
58,,58,962,962,962,962,1924,1924
59,,59,978,978,978,978,1957,1957
60,,60,995,995,995,995,1991,1991
61,,61,1012,1012,1012,1012,2024,2024
62,,62,1028,1028,1028,1028,2057,2057
63,,63,1045,1045,1045,1045,2090,2090
64,,64,1061,1061,1061,1061,2123,2123
65,,65,1078,1078,1078,1078,2157,2157
66,,66,1095,1095,1095,1095,2190,2190
67,,67,1111,1111,1111,1111,2223,2223
68,,68,1128,1128,1128,1128,2256,2256
69,,69,1144,1144,1144,1144,2289,2289
70,,70,1161,1161,1161,1161,2322,2322
71,,71,1178,1178,1178,1178,2356,2356
72,,72,1194,1194,1194,1194,2389,2389
73,,73,1211,1211,1211,1211,2422,2422
74,,74,1227,1227,1227,1227,2455,2455
75,,75,1244,1244,1244,1244,2488,2488
76,,76,1261,1261,1261,1261,2522,2522
77,,77,1277,1277,1277,1277,2555,2555
78,,78,1294,1294,1294,1294,2588,2588
79,,79,1310,1310,1310,1310,2621,2621
80,,80,1327,1327,1327,1327,2654,2654
81,,81,1344,1344,1344,1344,2688,2688
82,,82,1360,1360,1360,1360,2721,2721
83,,83,1377,1377,1377,1377,2754,2754
84,,84,1393,1393,1393,1393,2787,2787
85,,85,1410,1410,1410,1410,2820,2820
86,,86,1426,1426,1426,1426,2853,2853
87,,87,1443,1443,1443,1443,2887,2887
88,,88,1460,1460,1460,1460,2920,2920
89,,89,1476,1476,1476,1476,2953,2953
90,,90,1493,1493,1493,1493,2986,2986
