key,remarks,quality,requiredLv,fightingOfFixExpEquip1,fightingOfFixExpEquip2,fightingOfFixExpEquip3,fightingOfFixExpEquip4,fightingOfFixExpEquip5,fightingOfFixExpEquip6
0,,,1,,,,,,
1,,1,5,82,82,82,82,165,165
2,,2,10,165,165,165,165,331,331
3,,3,15,248,248,248,248,497,497
4,,4,20,331,331,331,331,663,663
5,,5,25,414,414,414,414,829,829
6,,6,30,497,497,497,497,995,995
7,,7,35,580,580,580,580,1161,1161
8,,8,40,663,663,663,663,1327,1327
9,,9,45,746,746,746,746,1493,1493
10,,10,50,829,829,829,829,1659,1659
11,,11,55,912,912,912,912,1825,1825
12,,12,60,995,995,995,995,1991,1991
13,,13,65,1078,1078,1078,1078,2157,2157
14,,14,70,1161,1161,1161,1161,2322,2322
15,,15,75,1244,1244,1244,1244,2488,2488
16,,16,80,1327,1327,1327,1327,2654,2654
17,,17,85,1410,1410,1410,1410,2820,2820
18,,18,90,1493,1493,1493,1493,2986,2986
