key,remarks,level,requiredLv,fightingOfFetter1,fightingOfFetter2,fightingOfFetter3,fightingOfFetter4,fightingOfFetter5
1,,1,6,816,816,816,544,544
2,,2,12,1632,1632,1632,1088,1088
3,,3,18,2448,2448,2448,1632,1632
4,,4,24,3264,3264,3264,2176,2176
5,,5,30,4080,4080,4080,2720,2720
6,,6,36,4896,4896,4896,3264,3264
7,,7,42,5712,5712,5712,3808,3808
8,,8,48,6528,6528,6528,4352,4352
9,,9,54,7344,7344,7344,4896,4896
10,,10,60,8160,8160,8160,5440,5440
11,,11,66,8976,8976,8976,5984,5984
12,,12,72,9792,9792,9792,6528,6528
13,,13,78,10608,10608,10608,7072,7072
14,,14,84,11424,11424,11424,7616,7616
15,,15,90,12240,12240,12240,8160,8160
