key,remarks,level,requiredLv,fightingOfFetter1,fightingOfFetter2,fightingOfFetter3,fightingOfFetter4,fightingOfFetter5,fightingOfFetter6
1,,1,6,816,816,816,816,816,816
2,,2,12,1632,1632,1632,1632,1632,1632
3,,3,18,2448,2448,2448,2448,2448,2448
4,,4,24,3264,3264,3264,3264,3264,3264
5,,5,30,4080,4080,4080,4080,4080,4080
6,,6,36,4896,4896,4896,4896,4896,4896
7,,7,42,5712,5712,5712,5712,5712,5712
8,,8,48,6528,6528,6528,6528,6528,6528
9,,9,54,7344,7344,7344,7344,7344,7344
10,,10,60,8160,8160,8160,8160,8160,8160
11,,11,66,8976,8976,8976,8976,8976,8976
12,,12,72,9792,9792,9792,9792,9792,9792
13,,13,78,10608,10608,10608,10608,10608,10608
14,,14,84,11424,11424,11424,11424,11424,11424
15,,15,90,12240,12240,12240,12240,12240,12240
