key,remarks,level,activeSkillFighting,passiveSkillFighting
1,,1,16,67
2,,2,33,134
3,,3,50,201
4,,4,67,268
5,,5,84,336
6,,6,100,403
7,,7,117,470
8,,8,134,537
9,,9,151,604
10,,10,168,672
11,,11,184,739
12,,12,201,806
13,,13,218,873
14,,14,235,940
15,,15,252,1008
16,,16,268,1075
17,,17,285,1142
18,,18,302,1209
19,,19,319,1276
20,,20,336,1344
21,,21,352,1411
22,,22,369,1478
23,,23,386,1545
24,,24,403,1612
25,,25,420,1680
26,,26,436,1747
27,,27,453,1814
28,,28,470,1881
29,,29,487,1948
30,,30,504,2016
31,,31,521,2084
32,,32,537,2151
33,,33,554,2218
34,,34,571,2285
35,,35,588,2352
36,,36,605,2420
37,,37,621,2487
38,,38,638,2554
39,,39,655,2621
40,,40,672,2688
41,,41,689,2756
42,,42,705,2823
43,,43,722,2890
44,,44,739,2957
45,,45,756,3024
46,,46,773,3092
47,,47,789,3159
48,,48,806,3226
49,,49,823,3293
50,,50,840,3360
51,,51,857,3428
52,,52,873,3495
53,,53,890,3562
54,,54,907,3629
55,,55,924,3696
56,,56,941,3764
57,,57,957,3831
58,,58,974,3898
59,,59,991,3965
60,,60,1008,4033
61,,61,1025,4100
62,,62,1042,4168
63,,63,1058,4235
64,,64,1075,4302
65,,65,1092,4369
66,,66,1109,4436
67,,67,1126,4504
68,,68,1142,4571
69,,69,1159,4638
70,,70,1176,4705
71,,71,1193,4772
72,,72,1210,4840
73,,73,1226,4907
74,,74,1243,4974
75,,75,1260,5041
76,,76,1277,5108
77,,77,1294,5176
78,,78,1310,5243
79,,79,1327,5310
80,,80,1344,5377
81,,81,1361,5444
82,,82,1378,5512
83,,83,1394,5579
84,,84,1411,5646
85,,85,1428,5713
86,,86,1445,5780
87,,87,1462,5848
88,,88,1478,5915
89,,89,1495,5982
90,,90,1512,6050
