key,remarks,level,requiredLv,spriteItem1,spriteItem2,spriteItem3,spriteItem4,spriteItem5
1,,1,1,100,100,100,100,100
2,,2,2,201,201,201,201,201
3,,3,3,301,301,301,301,301
4,,4,4,402,402,402,402,402
5,,5,5,503,503,503,503,503
6,,6,6,603,603,603,603,603
7,,7,7,704,704,704,704,704
8,,8,8,805,805,805,805,805
9,,9,9,905,905,905,905,905
10,,10,10,1006,1006,1006,1006,1006
11,,11,11,1107,1107,1107,1107,1107
12,,12,12,1207,1207,1207,1207,1207
13,,13,13,1308,1308,1308,1308,1308
14,,14,14,1409,1409,1409,1409,1409
15,,15,15,1509,1509,1509,1509,1509
16,,16,16,1610,1610,1610,1610,1610
17,,17,17,1711,1711,1711,1711,1711
18,,18,18,1811,1811,1811,1811,1811
19,,19,19,1912,1912,1912,1912,1912
20,,20,20,2013,2013,2013,2013,2013
21,,21,21,2113,2113,2113,2113,2113
22,,22,22,2214,2214,2214,2214,2214
23,,23,23,2315,2315,2315,2315,2315
24,,24,24,2415,2415,2415,2415,2415
25,,25,25,2516,2516,2516,2516,2516
26,,26,26,2617,2617,2617,2617,2617
27,,27,27,2717,2717,2717,2717,2717
28,,28,28,2818,2818,2818,2818,2818
29,,29,29,2919,2919,2919,2919,2919
30,,30,30,3019,3019,3019,3019,3019
31,,31,31,3120,3120,3120,3120,3120
32,,32,32,3221,3221,3221,3221,3221
33,,33,33,3321,3321,3321,3321,3321
34,,34,34,3422,3422,3422,3422,3422
35,,35,35,3523,3523,3523,3523,3523
36,,36,36,3623,3623,3623,3623,3623
37,,37,37,3724,3724,3724,3724,3724
38,,38,38,3825,3825,3825,3825,3825
39,,39,39,3925,3925,3925,3925,3925
40,,40,40,4026,4026,4026,4026,4026
41,,41,41,4127,4127,4127,4127,4127
42,,42,42,4227,4227,4227,4227,4227
43,,43,43,4328,4328,4328,4328,4328
44,,44,44,4429,4429,4429,4429,4429
45,,45,45,4529,4529,4529,4529,4529
46,,46,46,4630,4630,4630,4630,4630
47,,47,47,4731,4731,4731,4731,4731
48,,48,48,4831,4831,4831,4831,4831
49,,49,49,4932,4932,4932,4932,4932
50,,50,50,5033,5033,5033,5033,5033
51,,51,51,5133,5133,5133,5133,5133
52,,52,52,5234,5234,5234,5234,5234
53,,53,53,5335,5335,5335,5335,5335
54,,54,54,5435,5435,5435,5435,5435
55,,55,55,5536,5536,5536,5536,5536
56,,56,56,5637,5637,5637,5637,5637
57,,57,57,5737,5737,5737,5737,5737
58,,58,58,5838,5838,5838,5838,5838
59,,59,59,5939,5939,5939,5939,5939
60,,60,60,6039,6039,6039,6039,6039
61,,61,61,6140,6140,6140,6140,6140
62,,62,62,6241,6241,6241,6241,6241
63,,63,63,6341,6341,6341,6341,6341
64,,64,64,6442,6442,6442,6442,6442
65,,65,65,6543,6543,6543,6543,6543
66,,66,66,6643,6643,6643,6643,6643
67,,67,67,6744,6744,6744,6744,6744
68,,68,68,6844,6844,6844,6844,6844
69,,69,69,6945,6945,6945,6945,6945
70,,70,70,7046,7046,7046,7046,7046
71,,71,71,7146,7146,7146,7146,7146
72,,72,72,7247,7247,7247,7247,7247
73,,73,73,7348,7348,7348,7348,7348
74,,74,74,7448,7448,7448,7448,7448
75,,75,75,7549,7549,7549,7549,7549
76,,76,76,7650,7650,7650,7650,7650
77,,77,77,7750,7750,7750,7750,7750
78,,78,78,7851,7851,7851,7851,7851
79,,79,79,7952,7952,7952,7952,7952
80,,80,80,8052,8052,8052,8052,8052
81,,81,81,8153,8153,8153,8153,8153
82,,82,82,8254,8254,8254,8254,8254
83,,83,83,8354,8354,8354,8354,8354
84,,84,84,8455,8455,8455,8455,8455
85,,85,85,8556,8556,8556,8556,8556
86,,86,86,8656,8656,8656,8656,8656
87,,87,87,8757,8757,8757,8757,8757
88,,88,88,8858,8858,8858,8858,8858
89,,89,89,8958,8958,8958,8958,8958
90,,90,90,9059,9059,9059,9059,9059
