key,remarks,level,fightingOfTaoist1,fightingOfTaoist2,fightingOfTaoist3
1,,1,45,91,136
2,,2,91,181,272
3,,3,136,272,408
4,,4,181,363,544
5,,5,227,453,680
6,,6,272,544,816
7,,7,317,635,952
8,,8,363,725,1088
9,,9,408,816,1224
10,,10,453,907,1360
11,,11,499,997,1496
12,,12,544,1088,1632
13,,13,589,1179,1768
14,,14,635,1269,1904
15,,15,680,1360,2040
16,,16,725,1451,2176
17,,17,771,1541,2312
18,,18,816,1632,2448
19,,19,861,1723,2584
20,,20,907,1813,2720
21,,21,952,1904,2856
22,,22,997,1995,2992
23,,23,1043,2085,3128
24,,24,1088,2176,3264
25,,25,1133,2267,3400
26,,26,1179,2357,3536
27,,27,1224,2448,3672
28,,28,1269,2539,3808
29,,29,1315,2629,3944
30,,30,1360,2720,4080
31,,31,1405,2811,4216
32,,32,1451,2901,4352
33,,33,1496,2992,4488
34,,34,1541,3083,4624
35,,35,1587,3173,4760
36,,36,1632,3264,4896
37,,37,1677,3355,5032
38,,38,1723,3445,5168
39,,39,1768,3536,5304
40,,40,1813,3627,5440
41,,41,1859,3717,5576
42,,42,1904,3808,5712
43,,43,1949,3899,5848
44,,44,1995,3989,5984
45,,45,2040,4080,6120
46,,46,2085,4171,6256
47,,47,2131,4261,6392
48,,48,2176,4352,6528
49,,49,2221,4443,6664
50,,50,2267,4533,6800
51,,51,2312,4624,6936
52,,52,2357,4715,7072
53,,53,2403,4805,7208
54,,54,2448,4896,7344
55,,55,2493,4987,7480
56,,56,2539,5077,7616
57,,57,2584,5168,7752
58,,58,2629,5259,7888
59,,59,2675,5349,8024
60,,60,2720,5440,8160
61,,61,2765,5531,8296
62,,62,2811,5621,8432
63,,63,2856,5712,8568
64,,64,2901,5803,8704
65,,65,2947,5893,8840
66,,66,2992,5984,8976
67,,67,3037,6075,9112
68,,68,3083,6165,9248
69,,69,3128,6256,9384
70,,70,3173,6347,9520
71,,71,3219,6437,9656
72,,72,3264,6528,9792
73,,73,3309,6619,9928
74,,74,3355,6709,10064
75,,75,3400,6800,10200
76,,76,3445,6891,10336
77,,77,3491,6981,10472
78,,78,3536,7072,10608
79,,79,3581,7163,10744
80,,80,3627,7253,10880
81,,81,3672,7344,11016
82,,82,3717,7435,11152
83,,83,3763,7525,11288
84,,84,3808,7616,11424
85,,85,3853,7707,11560
86,,86,3899,7797,11696
87,,87,3944,7888,11832
88,,88,3989,7979,11968
89,,89,4035,8069,12104
90,,90,4080,8160,12240
