key,Remarks,consumeId,skillLevel,coinCount,criticalPlans
1,,101,1,200,101|102
2,,101,2,210,101|102
3,,101,3,220,101|102
4,,101,4,230,101|102
5,,101,5,250,101|102
6,,101,6,270,101|102
7,,101,7,290,101|102
8,,101,8,310,101|102
9,,101,9,330,101|102
10,,101,10,350,101|102
11,,101,11,440,101|102
12,,101,12,530,101|102
13,,101,13,620,101|102
14,,101,14,710,101|102
15,,101,15,800,101|102
16,,101,16,980,101|102
17,,101,17,1160,101|102
18,,101,18,1340,101|102
19,,101,19,1520,101|102
20,,101,20,1700,101|102
21,,101,21,2260,101|102
22,,101,22,2820,101|102
23,,101,23,3380,101|102
24,,101,24,3940,101|102
25,,101,25,4500,101|102
26,,101,26,5260,101|102
27,,101,27,6020,101|102
28,,101,28,6780,101|102
29,,101,29,7540,101|102
30,,101,30,8300,101|102
31,,101,31,11340,101|102
32,,101,32,14380,101|102
33,,101,33,17420,101|102
34,,101,34,20460,101|102
35,,101,35,23500,101|102
36,,101,36,29770,101|102
37,,101,37,36040,101|102
38,,101,38,42310,101|102
39,,101,39,48580,101|102
40,,101,40,54850,101|102
41,,101,41,70120,101|102
42,,101,42,85390,101|102
43,,101,43,100660,101|102
44,,101,44,115930,101|102
45,,101,45,131200,101|102
46,,101,46,159970,101|102
47,,101,47,188740,101|102
48,,101,48,217510,101|102
49,,101,49,246280,101|102
50,,101,50,275050,101|102
51,,101,51,308320,101|102
52,,101,52,341590,101|102
53,,101,53,374860,101|102
54,,101,54,408130,101|102
55,,101,55,441400,101|102
56,,101,56,474670,101|102
57,,101,57,507940,101|102
58,,101,58,541210,101|102
59,,101,59,574480,101|102
60,,101,60,607750,101|102
61,,101,61,645520,101|102
62,,101,62,683290,101|102
63,,101,63,721060,101|102
64,,101,64,758830,101|102
65,,101,65,796600,101|102
66,,101,66,838870,101|102
67,,101,67,881140,101|102
68,,101,68,923410,101|102
69,,101,69,965680,101|102
70,,101,70,1007950,101|102
71,,101,71,1059220,101|102
72,,101,72,1110490,101|102
73,,101,73,1161760,101|102
74,,101,74,1213030,101|102
75,,101,75,1264300,101|102
76,,101,76,1315570,101|102
77,,101,77,1366840,101|102
78,,101,78,1418110,101|102
79,,101,79,1469380,101|102
80,,101,80,1520650,101|102
81,,101,81,1571920,101|102
82,,101,82,1623190,101|102
83,,101,83,1674460,101|102
84,,101,84,1725730,101|102
85,,101,85,1777000,101|102
86,,101,86,1828270,101|102
87,,101,87,1879540,101|102
88,,101,88,1930810,101|102
89,,101,89,1982080,101|102
90,,101,90,2033350,101|102
91,,102,1,400,101|102
92,,102,2,410,101|102
93,,102,3,420,101|102
94,,102,4,430,101|102
95,,102,5,450,101|102
96,,102,6,470,101|102
97,,102,7,490,101|102
98,,102,8,510,101|102
99,,102,9,530,101|102
100,,102,10,550,101|102
101,,102,11,730,101|102
102,,102,12,910,101|102
103,,102,13,1090,101|102
104,,102,14,1270,101|102
105,,102,15,1450,101|102
106,,102,16,1810,101|102
107,,102,17,2170,101|102
108,,102,18,2530,101|102
109,,102,19,2890,101|102
110,,102,20,3250,101|102
111,,102,21,4390,101|102
112,,102,22,5530,101|102
113,,102,23,6670,101|102
114,,102,24,7810,101|102
115,,102,25,8950,101|102
116,,102,26,10480,101|102
117,,102,27,12010,101|102
118,,102,28,13540,101|102
119,,102,29,15070,101|102
120,,102,30,16600,101|102
121,,102,31,22720,101|102
122,,102,32,28840,101|102
123,,102,33,34960,101|102
124,,102,34,41080,101|102
125,,102,35,47200,101|102
126,,102,36,58100,101|102
127,,102,37,69000,101|102
128,,102,38,79900,101|102
129,,102,39,90800,101|102
130,,102,40,101700,101|102
131,,102,41,121600,101|102
132,,102,42,141500,101|102
133,,102,43,161400,101|102
134,,102,44,181300,101|102
135,,102,45,201200,101|102
136,,102,46,239100,101|102
137,,102,47,277000,101|102
138,,102,48,314900,101|102
139,,102,49,352800,101|102
140,,102,50,390700,101|102
141,,102,51,433100,101|102
142,,102,52,475500,101|102
143,,102,53,517900,101|102
144,,102,54,560300,101|102
145,,102,55,602700,101|102
146,,102,56,649030,101|102
147,,102,57,695360,101|102
148,,102,58,741690,101|102
149,,102,59,788020,101|102
150,,102,60,834350,101|102
151,,102,61,889800,101|102
152,,102,62,945250,101|102
153,,102,63,1000700,101|102
154,,102,64,1056150,101|102
155,,102,65,1111600,101|102
156,,102,66,1171550,101|102
157,,102,67,1231500,101|102
158,,102,68,1291450,101|102
159,,102,69,1351400,101|102
160,,102,70,1411350,101|102
161,,102,71,1480300,101|102
162,,102,72,1549250,101|102
163,,102,73,1618200,101|102
164,,102,74,1687150,101|102
165,,102,75,1756100,101|102
166,,102,76,1825050,101|102
167,,102,77,1894000,101|102
168,,102,78,1962950,101|102
169,,102,79,2031900,101|102
170,,102,80,2100850,101|102
171,,102,81,2169800,101|102
172,,102,82,2238750,101|102
173,,102,83,2307700,101|102
174,,102,84,2376650,101|102
175,,102,85,2445600,101|102
176,,102,86,2514550,101|102
177,,102,87,2583500,101|102
178,,102,88,2652450,101|102
179,,102,89,2721400,101|102
180,,102,90,2790350,101|102
181,,103,1,600,101|102
182,,103,2,610,101|102
183,,103,3,620,101|102
184,,103,4,640,101|102
185,,103,5,680,101|102
186,,103,6,720,101|102
187,,103,7,760,101|102
