viewID,Remarks,viewName,path,isShowTopBar,isShowSliderMenu,isShowChatView,levelPriority,luaPath,isEnable
"",,Invaild,,1,2,1,,,
1,,StartUp,Assets/UIPrefab/Login/UI_LoginBackGound.prefab,,2,2,,,
2,,MainMenu,Assets/UIPrefab/MainCity/Main/PART_SlideMenu.prefab,1,2,1,,,
3,,BattleNormalView,Assets/UIPrefab/battle/UI_Battle.prefab,2,2,2,,,
4,,BattleBossView,Assets/UIPrefab/battle/UI_Battle_Boss.prefab,2,2,2,,,
5,,BattlePause,Assets/UIPrefab/battle/PART_Battle_Pause.prefab,2,2,2,,,
6,,MainCopyView,Assets/UIPrefab/MainCity/Copy/UI_Map(NEW).prefab,2,2,2,,,
7,,EmbattleView,Assets/UIPrefab/MainCity/Copy/UI_Team(NEW).prefab,2,2,2,,,
8,,CopyLevelDetailsView,Assets/UIPrefab/MainCity/Copy/UI_LevelIntro.prefab,1,2,2,,,
9,,CopySweepView,Assets/UIPrefab/MainCity/Copy/UI_Sweep.prefab,,2,2,12,,
10,,BattleResultView,Assets/UIPrefab/MainCity/Copy/UI_Win.prefab,2,2,2,,,
11,,HurtInfoView,Assets/UIPrefab/MainCity/Copy/UI_HurtValue.prefab,,2,2,,,
12,,BattleTowerMainView,Assets/UIPrefab/MainCity/BattleTower/UI_BT_Main.prefab,2,2,2,,,
13,,UIPVEEntry,Assets/UIPrefab/MainCity/Pve/UI_PVEEntry.prefab,1,2,2,,,
14,,CareerArena,Assets/UIPrefab/MainCity/Arena/UI_Arena.prefab,1,2,2,,,
15,,UIPVPEntry,Assets/UIPrefab/MainCity/Pve/UI_PVPEntry.prefab,1,2,2,,,
16,,BattleTowerEnemyDetailView,,,2,2,,,
17,,UI_DailyActivityGet,Assets/UIPrefab/MainCity/Daily/UI_DailyActivityGet.prefab,,2,2,,,
18,,UIDailyView,Assets/UIPrefab/MainCity/Daily/UI_DailyActivity.prefab,1,2,2,,,
19,,UIPVETrial,Assets/UIPrefab/MainCity/Pve/UI_PVEHj.prefab,2,2,2,,,
20,,UIPVETrial2,Assets/UIPrefab/MainCity/Pve/UI_PVETrial2.prefab,2,2,2,,,
21,,UIPVETrialTipView,Assets/UIPrefab/MainCity/Pve/UI_PVEHjTip.prefab,,2,,,,
22,,UIPVECelesTialIntro,Assets/UIPrefab/MainCity/Pve/UI_PVECelesTialIntro.prefab,1,2,2,,,
23,,UIPVETrialIntro,Assets/UIPrefab/MainCity/Pve/UI_PVETrialIntro.prefab,1,2,2,,,
24,,UiWuJinZhanHuoBattleResult,Assets/UIPrefab/MainCity/UnendingWar/UI_Win_WuJinZhanHuo.prefab,2,2,2,,,
25,,UIUnendingWar,Assets/UIPrefab/MainCity/MagicFam/UI_MagicFam.prefab,1,2,2,,,
26,,UIUnendingWarTips,Assets/UIPrefab/MainCity/MagicFam/UI_MagicRule.prefab,,2,2,,,
27,,UIGulid,Assets/UIPrefab/MainCity/Gulid/UIGulid.prefab,2,2,2,,,
28,,UIMemberMgr,Assets/UIPrefab/MainCity/Gulid/UIMemberMgr.prefab,2,2,2,,,
29,,UIOtherGulid,Assets/UIPrefab/MainCity/Gulid/UIOtherGulid.prefab,,2,2,,,
30,,UIGulidActivity,Assets/UIPrefab/MainCity/Gulid/UIGulidActivity.prefab,,2,2,,,
31,,UIGulidContribute,Assets/UIPrefab/MainCity/Gulid/UIGulidContribute.prefab,,2,2,,,
32,,UIGulidEmail,Assets/UIPrefab/MainCity/Gulid/UIGulidEmail.prefab,,2,2,,,
33,,UIGulidIconList,Assets/UIPrefab/MainCity/Gulid/UIGulidIconList.prefab,,2,2,,,
34,,UIGulidLog,Assets/UIPrefab/MainCity/Gulid/UIGulidLog.prefab,,2,2,,,
35,,UIGulidUpdataDes,Assets/UIPrefab/MainCity/Gulid/UIUpdataDes.prefab,,2,2,,,
36,,UIGulidUpdataSet,Assets/UIPrefab/MainCity/Gulid/UIUpdataSet.prefab,,2,2,,,
37,,UIApplyList,Assets/UIPrefab/MainCity/Gulid/UIApplyList.prefab,,2,2,,,
38,,UIButtonShow,Assets/UIPrefab/MainCity/Gulid/UIMemberButton2.prefab,,2,2,,,
39,,"UIMemberButton2 ",Assets/UIPrefab/MainCity/Gulid/UIButtonShow.prefab,,2,2,,,
40,,UIMemberButtonShow,Assets/UIPrefab/MainCity/Gulid/UIMemberButtonShow.prefab,,2,2,,,
41,,UIStoreView,Assets/UIPrefab/MainCity/Store/UI_NewStore.prefab,1,2,2,,,
42,,UIStoreDetailView,Assets/UIPrefab/MainCity/Store/UI_StoreDetial.prefab,,2,2,,,
43,,"UIStoreTipsView ",Assets/UIPrefab/MainCity/Store/UI_SecretTip.prefab,,2,2,10,,
44,,UICommodityCell,Assets/UIPrefab/MainCity/Store/Part_CommodityCell.prefab,,2,2,,,
45,,UIAutoSellView,Assets/UIPrefab/MainCity/Store/UI_AutoSell.prefab,1,2,2,,,
46,,UIAutoSellCommodity,Assets/UIPrefab/MainCity/Store/Rart_AutoSellCommodityCell.prefab,,2,2,,,
47,,UIOtherRoleInfo,Assets/UIPrefab/MainCity/Ranking/UI_OtherInfo.prefab,2,2,2,,,
48,,Email,Assets/UIPrefab/MainCity/Email/UI_EmailList.prefab,,2,2,,,
49,,EmailContent,Assets/UIPrefab/MainCity/Email/UI_EmailContent.prefab,,2,2,,,
50,,Friend,Assets/UIPrefab/MainCity/Friend/UI_Friend.prefab,1,2,2,,,
51,,FriendPopUp,Assets/UIPrefab/MainCity/Friend/UI_FriendPopup.prefab,,2,2,,,
52,,Ranking,Assets/UIPrefab/MainCity/Ranking/UI_RankingMain.prefab,1,2,2,,,
53,,RankingDetailInfo,Assets/UIPrefab/MainCity/Ranking/UI_RankingInfo.prefab,2,2,2,,,
54,,UILoginBackGound,Assets/UIPrefab/Login/UI_LoginBackGound.prefab,,2,2,,,
55,,UILoginAndRegist,Assets/UIPrefab/Login/UI_LoginAndRegist.prefab,,2,2,,,
56,,UILoadGame,Assets/UIPrefab/Login/UI_LoadGamePanel.prefab,,2,2,,,
57,,Worship,Assets/UIPrefab/MainCity/Worship/UI_Worship.prefab,,2,2,,,
58,,WorshipIntro,Assets/UIPrefab/MainCity/Worship/UI_WorshipIntro.prefab,,2,2,,,
59,,MonsterTipsView,Assets/UIPrefab/MainCity/Copy/PART/PART_SmallTips_02.prefab,,2,2,,,
60,,UIGainHeroScene,Assets/UIPrefab/MainCity/RoleInfo/Hero/UI_GainHero.prefab,2,2,2,,,
61,,MapGiftView,Assets/UIPrefab/MainCity/Copy/UI_MapGift.prefab,,2,2,,,
62,,GuidanceView,Assets/UIPrefab/MainCity/Guidance/UI_GuideView.prefab,,2,2,,,
63,,MainView,Assets/UIPrefab/MainCity/Main/MainView.prefab,1,2,1,,,
64,,UIRoleSkillIconTip,Assets/UIPrefab/MainCity/RoleInfo/Role/Base/UI_SkillIconTip.prefab,,2,2,,,
65,,UIHeroExpConsume,Assets/UIPrefab/MainCity/RoleInfo/Hero/UI_ExpConsume.prefab,,2,2,,,
66,,Fashion,Assets/UIPrefab/MainCity/RoleInfo/Player/Fashion/UI_Fashion.prefab,1,2,2,,,
67,,FashionItemTip,Assets/UIPrefab/MainCity/RoleInfo/Player/Fashion/UI_FashionItemTip.prefab,,2,2,,,
68,,UIMagicTips,Assets/UIPrefab/MainCity/RoleInfo/Player/Magic/PART_MagicTips.prefab,,2,2,,,
69,,UIMagicWeapon,Assets/UIPrefab/MainCity/RoleInfo/Player/Magic/UI_MagicWeapon.prefab,1,2,2,,,
70,,UIMagicWeaponAdvance,Assets/UIPrefab/MainCity/RoleInfo/Player/Magic/UI_MagicWeaponAdvance.prefab,,2,2,,,
71,,UIMagicWeaponForge,Assets/UIPrefab/MainCity/RoleInfo/Player/Magic/UI_MagicWeaponForge.prefab,2,2,2,,,
72,,UIMagicWeaponSmelt,Assets/UIPrefab/MainCity/RoleInfo/Player/Magic/UI_MagicWeaponSmelt.prefab,2,2,2,,,
73,,RoleLevelUpgrade,Assets/UIPrefab/MainCity/RoleInfo/Player/Upgrade/UI_RoleUgrade.prefab,,2,2,11,,
74,,UIHeroCampTips,Assets/UIPrefab/MainCity/RoleInfo/Hero/UI_campTips.prefab,,2,2,,,
75,,RoleAdvanceMateBack,Assets/UIPrefab/MainCity/RoleInfo/Role/Equip/UI_HeroQualityBack.prefab,,2,2,,,
76,,RoleAdvance,Assets/UIPrefab/MainCity/RoleInfo/Role/Equip/UI_UpgradeQuality.prefab,,2,2,4,,
77,,EquipCompose,Assets/UIPrefab/MainCity/RoleInfo/Role/Equip/UI_EquipCompose.prefab,,2,2,,,
78,,EquipInfo,Assets/UIPrefab/MainCity/RoleInfo/Role/Equip/UI_EquipInfo.prefab,,2,2,,,
79,,Career,Assets/UIPrefab/MainCity/RoleInfo/Player/Career/UI_Career.prefab,1,2,2,,,
80,,Role,Assets/UIPrefab/MainCity/RoleInfo/Role/Base/UI_Role.prefab,1,2,2,,,
