key,Remarks,id,num,uNum,item1,jl1
1,,1,1,,150041,"89001,89002,89007,89089"
2,,2,2,,150041,"89001,89002,89007,89090"
3,,3,3,,150041,"89001,89002,89007,89091"
4,,4,4,,150041,"89001,89002,89007,89092"
5,,5,5,,150041,"89001,89002,89007,89093"
6,,6,6,,150041,"89001,89002,89007,89094"
7,,7,7,,150041,"89001,89002,89007,89095"
8,,8,8,,150041,"89001,89002,89007,89096"
9,,9,9,,150041,"89001,89002,89007,89097"
10,,10,10,,150041,"89001,89002,89007,89098"
11,,11,11,,150041,"89001,89002,89007,89099"
12,,12,12,,150041,"89001,89002,89007,89100"
13,,13,13,,150041,"89001,89002,89007,89101"
14,,14,14,,150041,"89001,89002,89007,89102"
15,,15,15,,150041,"89001,89002,89007,89103"
16,,16,1,,150042,"89003,89008,89104"
17,,17,2,,150042,"89003,89008,89105"
18,,18,3,,150042,"89003,89008,89106"
19,,19,4,,150042,"89003,89008,89107"
20,,20,5,,150042,"89003,89008,89108"
21,,21,6,,150042,"89003,89008,89109"
22,,22,7,,150042,"89003,89008,89110"
23,,23,8,,150042,"89003,89008,89111"
24,,24,9,,150042,"89003,89008,89112"
25,,25,10,,150042,"89003,89008,89113"
26,,26,11,,150042,"89003,89008,89114"
27,,27,12,,150042,"89003,89008,89115"
28,,28,13,,150042,"89003,89008,89116"
29,,29,14,,150042,"89003,89008,89117"
30,,30,15,,150042,"89003,89008,89118"
31,,31,1,,150043,"89004,89009,89119"
32,,32,2,,150043,"89004,89009,89120"
33,,33,3,,150043,"89004,89009,89121"
34,,34,4,,150043,"89004,89009,89122"
35,,35,5,,150043,"89004,89009,89123"
36,,36,6,,150043,"89004,89009,89124"
37,,37,7,,150043,"89004,89009,89125"
38,,38,8,,150043,"89004,89009,89126"
39,,39,9,,150043,"89004,89009,89127"
40,,40,10,,150043,"89004,89009,89128"
41,,41,11,,150043,"89004,89009,89129"
42,,42,12,,150043,"89004,89009,89130"
43,,43,13,,150043,"89004,89009,89131"
44,,44,14,,150043,"89004,89009,89132"
45,,45,15,,150043,"89004,89009,89133"
46,,46,1,,150044,"89005,89010,89134"
47,,47,2,,150044,"89005,89010,89135"
48,,48,3,,150044,"89005,89010,89136"
49,,49,4,,150044,"89005,89010,89137"
50,,50,5,,150044,"89005,89010,89138"
51,,51,6,,150044,"89005,89010,89139"
52,,52,7,,150044,"89005,89010,89140"
53,,53,8,,150044,"89005,89010,89141"
54,,54,9,,150044,"89005,89010,89142"
55,,55,10,,150044,"89005,89010,89143"
56,,56,11,,150044,"89005,89010,89144"
57,,57,12,,150044,"89005,89010,89145"
58,,58,13,,150044,"89005,89010,89146"
59,,59,14,,150044,"89005,89010,89147"
60,,60,15,,150044,"89005,89010,89148"
61,,61,1,,150045,"89006,89011,89149"
62,,62,2,,150045,"89006,89011,89150"
63,,63,3,,150045,"89006,89011,89151"
64,,64,4,,150045,"89006,89011,89152"
65,,65,5,,150045,"89006,89011,89153"
66,,66,6,,150045,"89006,89011,89154"
67,,67,7,,150045,"89006,89011,89155"
68,,68,8,,150045,"89006,89011,89156"
69,,69,9,,150045,"89006,89011,89157"
70,,70,10,,150045,"89006,89011,89158"
71,,71,11,,150045,"89006,89011,89159"
72,,72,12,,150045,"89006,89011,89160"
73,,73,13,,150045,"89006,89011,89161"
74,,74,14,,150045,"89006,89011,89162"
75,,75,15,,150045,"89006,89011,89163"
