key,remarks,range,prize
1,,1,"1~1000000,5~750"
2,,2,"1~900000,5~740"
3,,3,"1~850000,5~735"
4,,4,"1~845000,5~725"
5,,5,"1~840000,5~720"
6,,6,"1~830000,5~710"
7,,7,"1~825000,5~705"
8,,8,"1~820000,5~695"
9,,9,"1~815000,5~690"
10,,10,"1~805000,5~680"
11,,"11,17","1~800000,5~675"
12,,"18,24","1~790000,5~665"
13,,"25,31","1~780000,5~660"
14,,"32,38","1~770000,5~650"
15,,"39,45","1~760000,5~645"
16,,"46,52","1~750000,5~635"
17,,"53,59","1~740000,5~630"
18,,"60,66","1~730000,5~620"
19,,"67,73","1~720000,5~615"
20,,"74,80","1~710000,5~605"
21,,"81,88","1~700000,5~600"
22,,"89,96","1~690000,5~590"
23,,"97,104","1~680000,5~585"
24,,"105,112","1~670000,5~575"
25,,"113,120","1~660000,5~570"
26,,"121,128","1~650000,5~560"
27,,"129,136","1~640000,5~555"
28,,"137,144","1~630000,5~545"
29,,"145,152","1~620000,5~540"
30,,"153,160","1~610000,5~530"
31,,"161,179","1~600000,5~525"
32,,"180,198","1~595000,5~515"
33,,"199,217","1~590000,5~510"
34,,"218,236","1~585000,5~500"
35,,"237,255","1~580000,5~495"
36,,"256,274","1~575000,5~485"
37,,"275,293","1~570000,5~480"
38,,"294,312","1~565000,5~470"
39,,"313,331","1~560000,5~465"
40,,"332,350","1~555000,5~455"
41,,"351,355","1~550000,5~450"
42,,"356,360","1~545000,5~440"
43,,"361,365","1~540000,5~435"
44,,"366,370","1~535000,5~425"
45,,"371,375","1~530000,5~420"
46,,"376,380","1~525000,5~410"
47,,"381,385","1~520000,5~405"
48,,"386,390","1~515000,5~395"
49,,"391,395","1~510000,5~390"
50,,"396,400","1~505000,5~380"
51,,"401,450","1~500000,5~375"
52,,"451,500","1~430000,5~330"
53,,"501,550","1~370000,5~290"
54,,"551,600","1~320000,5~260"
55,,"601,650","1~275000,5~230"
56,,"651,700","1~240000,5~205"
57,,"701,750","1~205000,5~180"
58,,"751,800","1~175000,5~160"
59,,"801,850","1~155000,5~140"
60,,"851,900","1~130000,5~125"
61,,"901,950","1~115000,5~110"
62,,"951,1000","1~100000,5~100"
63,,"1001,1500","1~98000,5~98"
64,,"1501,2000","1~96000,5~96"
65,,"2001,2500","1~94500,5~94"
66,,"2501,3000","1~92500,5~92"
67,,"3001,3500","1~91000,5~91"
68,,"3501,4000","1~89500,5~89"
69,,"4001,4500","1~88000,5~88"
70,,"4501,5000","1~86000,5~86"
71,,"5001,5500","1~84500,5~84"
72,,"5501,6000","1~83000,5~83"
73,,"6001,6500","1~81500,5~81"
74,,"6501,7000","1~80000,5~80"
75,,"7001,7500","1~78500,5~78"
76,,"7501,8000","1~77000,5~77"
77,,"8001,8500","1~76000,5~76"
78,,"8501,9000","1~74500,5~74"
79,,"9001,9500","1~73000,5~73"
80,,"9501,10000","1~72000,5~72"
81,,"10001,14500","1~70500,5~70"
82,,"14501,19000","1~69000,5~69"
83,,"19001,23500","1~68000,5~68"
84,,"23501,28000","1~66500,5~66"
85,,"28001,32500","1~65500,5~65"
86,,"32501,37000","1~64500,5~64"
87,,"37001,41500","1~63000,5~63"
88,,"41501,46000","1~62000,5~62"
89,,"46001,50500","1~61000,5~61"
90,,"50501,55000","1~60000,5~60"
91,,"55001,59500","1~58500,5~58"
92,,"59501,64000","1~57500,5~57"
93,,"64001,68500","1~56500,5~56"
94,,"68501,73000","1~55500,5~55"
95,,"73001,77500","1~54500,5~54"
96,,"77501,82000","1~53500,5~53"
97,,"82001,86500","1~52500,5~52"
98,,"86501,91000","1~51500,5~51"
99,,"91001,95500","1~50500,5~50"
100,,"95501,100000","1~50000,5~50"
