key,remarks,id,rule
1,,1,1.每天晚9点整与巅峰竞技场排名相比，取较高的排名获得奖励，通过邮件发放。
2,,2,2.竞技场中战斗自动进行，玩家不能手动释放技能。
3,,3,3.在竞技场战斗中，所有英雄血量及治疗效果经过相同幅度上调。
4,,4,4.若战斗胜利，且防守方的排名高于攻击方，则将双方的排名对调。
5,,5,5.若战斗失败，进攻玩家将获得一个5分钟的挑战冷却时间。
6,,6,6.若战斗超时则算作进攻方失败。
7,,7,7.每天每个玩家可以免费发起战斗5次。
8,,8,8.正在进行战斗的敌人无法被选为对手。
101,,101,1.每天晚9点整与巅峰竞技场排名相比，取较高的排名获得奖励，通过邮件发放。
102,,102,2.竞技场中战斗自动进行，玩家不能手动释放技能。
103,,103,3.在竞技场战斗中，所有英雄血量及治疗效果经过相同幅度上调。
104,,104,4.若战斗胜利，且防守方的排名高于攻击方，则将双方的排名对调。
105,,105,5.若战斗超时则算作进攻方失败。
106,,106,6.每天每个玩家可以免费发起战斗5次。
107,,107,7.每次战斗后，进攻方玩家将获得一个5分钟的冷却时间。
108,,108,8.正在进行战斗的敌人无法被选为对手。
