key,remarks,startRanking,endRanking,prize
1,,1,2,2~120
2,,2,3,2~60
3,,3,4,2~40
4,,4,5,2~32
5,,5,6,2~27
6,,6,7,2~23
8,,7,8,2~20
9,,8,9,2~18
10,,9,10,2~16
11,,10,11,2~15
12,,11,12,2~14
13,,12,13,2~13
14,,13,14,2~12
15,,14,15,2~11
16,,15,16,2~11
17,,16,17,2~10
18,,17,18,2~10
19,,18,19,2~9
20,,19,20,2~9
21,,20,21,2~8
22,,21,22,2~8
23,,22,23,2~8
24,,23,24,2~7
25,,24,25,2~7
26,,25,26,2~7
27,,26,27,2~7
28,,27,28,2~6
29,,28,29,2~6
30,,29,30,2~6
31,,30,31,2~6
32,,31,32,2~6
33,,32,33,2~6
34,,33,34,2~5
35,,34,35,2~5
36,,35,36,2~5
37,,36,37,2~5
38,,37,38,2~5
39,,38,39,2~5
40,,39,40,2~5
41,,40,41,2~5
42,,41,42,2~4
43,,42,43,2~4
44,,43,44,2~4
45,,44,45,2~4
46,,45,46,2~4
47,,46,47,2~4
48,,47,48,2~4
49,,48,49,2~4
50,,49,50,2~4
51,,50,51,2~4
52,,51,52,2~4
53,,52,53,2~4
54,,53,54,2~3
55,,54,55,2~3
56,,55,56,2~3
57,,56,57,2~3
58,,57,58,2~3
59,,58,59,2~3
60,,59,60,2~3
61,,60,61,2~3
62,,61,62,2~3
63,,62,63,2~3
64,,63,64,2~3
65,,64,65,2~3
66,,65,66,2~3
67,,66,67,2~3
68,,67,68,2~3
69,,68,69,2~3
70,,69,70,2~3
71,,70,71,2~3
72,,71,72,2~3
73,,72,73,2~3
74,,73,74,2~3
75,,74,75,2~2
76,,75,76,2~2
77,,76,77,2~2
78,,77,78,2~2
79,,78,79,2~2
80,,79,80,2~2
81,,80,81,2~2
82,,81,82,2~2
83,,82,83,2~2
84,,83,84,2~2
85,,84,85,2~2
86,,85,86,2~2
87,,86,87,2~2
88,,87,88,2~2
89,,88,89,2~2
90,,89,90,2~2
91,,90,91,2~2
92,,91,92,2~2
93,,92,93,2~2
94,,93,94,2~2
95,,94,95,2~2
96,,95,96,2~2
97,,96,97,2~2
98,,97,98,2~2
99,,98,99,2~2
100,,99,100,2~2
101,,100,200,2~2
102,,200,300,2~0.39
103,,300,400,2~0.28
104,,400,500,2~0.22
105,,500,600,2~0.18
106,,600,700,2~0.15
107,,700,800,2~0.13
108,,800,900,2~0.12
109,,900,1000,2~0.1
110,,1000,1500,2~0.08
111,,1500,2000,2~0.06
112,,2000,3000,2~0.04
113,,3000,4000,2~0.03
114,,4000,5000,2~0.02
115,,5000,10000,2~0.01
116,,10000,15000,2~0.01
117,,15000,20000,2~0.01
