key,remarks,ranking,robotType,level,quality,star,equipments,enchant,gemCount,gemType,gemLevel,firstSkillLevel,secondSkillLevel,thirdSkillLevel,fourthSkillLevel,fifthSkillLevel,fashions,vipLevel,magicId,magicLevel,heroGroupId,heroLevel,heroQuality,heroStar,heroEquipments,heroEnchant,heroGemCount,heroGemType,heroGemLevel,heroFirstSkillLevel,heroSecondSkillLevel,heroThirdSkillLevel,heroFourthSkillLevel,heroFifthSkillLevel,fixEquipLevel,fixEquipQuality,fixEquipStar,taoistLevel,heroFetters,extraAttrId,limitValue
1,,1,1,27,5,"2,3",0,0,0,0,0,27,27,27,0,0,"900006,900007,900004",7~9,603601,22,10016,27,5,"2,3",0,0,0,0,0,27,27,27,0,0,15,1,0,,,,
2,,2,1,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,"900003,900010,900004",6~8,603101,21,10016,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,14,1,0,,,,
3,,3,1,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,"900005,900001,900004",6~8,603001,21,10016,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,14,1,0,,,,
4,,4,1,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,"900002,900008,900004",6~8,603101,21,10016,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,14,1,0,,,,
5,,5,1,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,"900005,900001,0",6~7,603001,21,10016,26,5,"2,3",0,0,0,0,0,26,26,26,0,0,14,1,0,,,,
6,,6,1,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,"900003,900010,0",5~7,603101,20,10016,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,13,1,0,,,,
7,,7,1,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,"900006,900007,0",5~7,603001,20,10016,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,13,1,0,,,,
8,,8,1,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,"900002,900008,0",5~6,603101,20,10016,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,13,1,0,,,,
9,,9,1,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,"900005,0,0",5~6,603001,20,10016,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,13,1,0,,,,
10,,10,1,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,"900003,0,0",4~6,603101,20,10016,25,5,"2,3",0,0,0,0,0,25,25,25,0,0,13,1,0,,,,
11,,11,1,25,5,2,0,0,0,0,0,25,25,25,0,0,"900006,0,0",4~6,603001,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
12,,12,1,25,5,2,0,0,0,0,0,25,25,25,0,0,"900002,0,0",4~5,603101,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
13,,13,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,4~5,603001,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
14,,14,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,3~5,603101,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
15,,15,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,3~4,603001,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
16,,16,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,3~4,603101,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
17,,17,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,3~4,603001,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
18,,18~20,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,3,603101,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
19,,21~25,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,2~3,603001,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
20,,26~38,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,2~3,603101,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
21,,39~51,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,2~3,603001,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
22,,52~64,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,2,603101,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
23,,65~96,1,25,5,2,0,0,0,0,0,25,25,25,0,0,,1~2,603001,20,10017,25,5,2,0,0,0,0,0,25,25,25,0,0,0,0,0,,,,
24,,97~128,1,24,5,2,0,0,0,0,0,24,24,24,0,0,,1~2,603101,20,10017,24,5,2,0,0,0,0,0,24,24,24,0,0,0,0,0,,,,
25,,129~160,1,23,4,2,0,0,0,0,0,23,23,0,0,0,,1,603001,19,10017,23,4,2,0,0,0,0,0,23,23,0,0,0,0,0,0,,,,
26,,161~240,1,22,4,2,0,0,0,0,0,22,22,0,0,0,,1,603101,18,10017,22,4,2,0,0,0,0,0,22,22,0,0,0,0,0,0,,,,
27,,241~320,1,21,3,2,0,0,0,0,0,21,21,0,0,0,,0,603001,17,10017,21,3,2,0,0,0,0,0,21,21,0,0,0,0,0,0,,,,
28,,321~400,1,20,3,2,0,0,0,0,0,20,20,0,0,0,,0,603101,16,10017,20,3,2,0,0,0,0,0,20,20,0,0,0,0,0,0,,,,
29,,401~600,1,18,3,2,0,0,0,0,0,18,18,0,0,0,,0,603001,5,10017,18,3,2,0,0,0,0,0,18,18,0,0,0,0,0,0,,,,
30,,601~800,1,16,2,2,0,0,0,0,0,16,16,0,0,0,,0,603101,1,10017,16,2,2,0,0,0,0,0,16,16,0,0,0,0,0,0,,,,
31,,801~1000,1,14,1,1,0,0,0,0,0,1,0,0,0,0,,0,603001,1,10010,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
32,,1,2,22,4,2,3,0,0,0,0,22,22,0,0,0,0,0,603101,8,10017,22,4,2,3,0,0,0,0,22,22,0,0,0,2,0,0,,,,1~10
33,,2,2,22,4,2,3,0,0,0,0,22,22,0,0,0,0,0,603001,8,10017,22,4,2,3,0,0,0,0,22,22,0,0,0,2,0,0,,,,1~10
34,,3,2,23,4,2,6,0,0,0,0,23,23,0,0,0,0,0,603101,9,10017,23,4,2,6,0,0,0,0,23,23,0,0,0,2,0,0,,,,1~10
35,,4,2,23,4,2,6,0,0,0,0,23,23,0,0,0,0,0,603001,9,10017,23,4,2,6,0,0,0,0,23,23,0,0,0,2,0,0,,,,1~10
36,,5,2,24,5,2,1,0,0,0,0,24,24,24,0,0,0,0,603101,10,10017,24,5,2,1,0,0,0,0,24,24,24,0,0,3,0,0,,,,1~10
37,,6,2,24,5,2,1,0,0,0,0,24,24,24,0,0,0,0,603001,20,10016,24,5,2,1,0,0,0,0,24,24,24,0,0,8,0,0,,01:1;02:1;03:1;04:1;05:1,,1~10
38,,7,2,25,5,2,3,0,0,0,0,25,25,25,0,0,0,0,603101,20,10016,25,5,2,3,0,0,0,0,25,25,25,0,0,8,0,0,,01:1;02:1;03:1;04:1;05:1,,1~10
39,,8,2,25,5,2,3,0,0,0,0,25,25,25,0,0,0,0,603701,20,10016,25,5,2,3,0,0,0,0,25,25,25,0,0,8,0,0,,01:1;02:1;03:1;04:1;05:1,,1~10
40,,9,2,26,5,2,4,0,0,0,0,26,26,26,0,0,0,0,603701,21,10016,26,5,2,4,0,0,0,0,26,26,26,0,0,9,0,0,,01:1;02:1;03:1;04:1;05:1,,1~10
