key,remarks,extraAttrId,attrData,precentAttrData
1,,1,生命_1805,
2,,2,生命_2203,
3,,3,生命_2605,
4,,4,生命_3012,
5,,5,生命_3422,
6,,6,生命_3838,
7,,7,生命_4257,
8,,8,生命_4681,
9,,9,生命_5109,
10,,10,生命_5541,
11,,11,生命_5978,
12,,12,生命_6419,
13,,13,生命_6865,
14,,14,生命_7315,
15,,15,生命_7769,
16,,16,生命_8227,
17,,17,生命_8690,
18,,18,生命_9157,
19,,19,生命_9629,
20,,20,生命_10104,
21,,21,生命_10584,
22,,22,生命_11069,
23,,23,生命_11558,
24,,24,生命_12051,
25,,25,生命_12548,
26,,26,生命_13050,
27,,27,生命_13556,
28,,28,生命_14066,
29,,29,生命_14581,
30,,30,生命_15100,
31,,31,生命_15624,
32,,32,生命_16151,
33,,33,生命_16684,
34,,34,生命_17220,
35,,35,生命_17761,
36,,36,生命_18306,
37,,37,生命_18855,
38,,38,生命_19409,
39,,39,生命_19967,
40,,40,生命_20529,
41,,41,生命_21096,
42,,42,生命_21667,
43,,43,生命_22243,
44,,44,生命_22822,
45,,45,生命_23406,
46,,46,生命_23995,
47,,47,生命_24588,
48,,48,生命_25185,
49,,49,生命_25786,
50,,50,生命_26392,
51,,51,生命_27002,
52,,52,生命_27616,
53,,53,生命_28235,
54,,54,生命_28858,
55,,55,生命_29485,
56,,56,生命_30117,
57,,57,生命_30753,
58,,58,生命_31393,
59,,59,生命_32038,
60,,60,生命_32687,
61,,61,生命_33341,
62,,62,生命_33998,
63,,63,生命_34660,
64,,64,生命_35327,
65,,65,生命_35997,
66,,66,生命_36672,
67,,67,生命_37352,
68,,68,生命_38035,
69,,69,生命_38723,
70,,70,生命_39416,
71,,71,生命_40112,
72,,72,生命_40813,
73,,73,生命_41519,
74,,74,生命_42228,
75,,75,生命_42942,
76,,76,生命_43661,
77,,77,生命_44383,
78,,78,生命_45110,
79,,79,生命_45842,
80,,80,生命_46577,
81,,81,生命_47317,
82,,82,生命_48062,
83,,83,生命_48810,
84,,84,生命_49563,
85,,85,生命_50321,
86,,86,生命_51082,
87,,87,生命_51848,
88,,88,生命_52619,
89,,89,生命_53393,
90,,90,生命_54172,
