key,Remarks,id,type,lifeCycle,lifeCycleTime,triggerType,targetType,selectTargetType,selectTargetParam,arguments
100001,,100001,,,,1,1,,1,1|10000100|100001|100002
100002,,100002,1,,,0|2,,,1,5|10000500|0|1|10000502
100003,,100003,2,,,3,,,1,2|100003
100004,,100004,3,,,4,,,1,0|1|10|100004
100005,,100005,4,,,5,1,,1,3|100003
100006,,100006,5,,,1|7,1,,0,1|10000501|12|标记buffid|100004
100007,,100007,6,,,1|7,1,,0,1|10000501|12|标记buffid|100004
100008,,100008,7,,,6,,,0,0|1|100001
100009,,100009,8,,,1,1,,0,1|10000500|0|0|0|0.1
100010,,100010,9,,,6|8,,1,0,1|100004
100011,,100011,10,,,2|7,,,0,10000501|0|1|20
100012,,100012,11,,,9,,,0,0|1|0|100004
100013,,100013,12,,,10,,,0,0|0|100001
100014,,100014,13,,,1|3|6,1,2,0,0|10000501|300153|1|0|0|10|1.5
100015,,100015,13,,,3|6,1,,0,1|12|标记buffid|300153|1|0|0|10|0
100016,,100016,13,,,3|6,1,,0,2|300053|1|0|0|10|0
200001021,,200001021,,,,0,,,0,1|20000102|200001021
200001022,,200001022,7,,,6,,,0,0|0|200001021
200001031,,200001031,,,,1,1,,0,1|20000100|200001031
200001032,,200001032,6,,,1|7,1,,0,1|20000100|12|200001031|200001032
201001011,,201001011,8,,,1,1,,0,1|20100101|0|0|0|0.1
401001011,,401001011,8,,,1,1,,0,1|20100101|0|0|0|0.1
201001021,,201001021,8,,,1,1,,0,1|20100102|0|0|0|0.05
401001021,,401001021,8,,,1,1,,0,1|20100102|0|0|0|0.05
201001031,,201001031,,,,1,,,0,1|20100100|201001031
401001031,,401001031,,,,1,,,0,1|20100100|201001031
201001032,,201001032,,,,1,,,0,1|20100101|201001031
401001032,,401001032,,,,1,,,0,1|20100101|201001031
201001033,,201001033,,,,1,,,0,1|20100102|201001031
401001033,,401001033,,,,1,,,0,1|20100102|201001031
201001041,,201001041,3,,,4,,,0,0|1|10|201001041
401001041,,401001041,3,,,4,,,0,0|1|10|201001041
204001011,,204001011,,,,1,,1,0,1|20400101|204001011
404001011,,404001011,,,,1,,1,0,1|20400101|204001012
204001031,,204001031,9,,,6|8,,1,0,1|204001031
404001031,,404001031,9,,,6|8,,1,0,1|204001031
204001041,,204001041,7,,,6,,,0,1|1|204001041
404001041,,404001041,7,,,6,,,0,1|1|204001041
200003011,,200003011,,,,1,1,,0,1|20000301|200003011|201004012
200003021,,200003021,,,,1,1,,0,1|20000302|200003021
200003031,,200003031,2,,,3,1,8,4.5,1|200003031
200003032,,200003032,9,,,6|8,,,0,1|200003032
201012031,,201012031,,,,1,,,0,1|20101200|201012031
201012032,,201012032,,,,1,,,0,1|20101201|201012031
201012033,,201012033,,,,1,,,0,1|20101202|201012031
201012041,,201012041,3,,,4,,,0,0|1|10|201012041
200011011,,200011011,,,,1,1,1,0,1|20001101|200011011
200011021,,200011021,,,,0,,,0,1|20001102|200011021
200011022,,200011022,,,,0,,,0,1|20001102|200011022
200011023,,200011023,,,,1,1,,0,1|20001102|200011023
200011031,,200011031,,,,0,,,0,1|20001101|200011031
203004011,,203004011,,,,1|7,1,,0,1|20300401|203004011
203004021,,203004021,,,,1,1,,0,1|20300402|203004021
203004041,,203004041,3,,,4,,,0,0|1|5|203004041
202004031,,202004031,8,,,1,1,1,0,1|20200401|0|1|2|0.02
202004032,,202004032,8,,,1,1,,0,1|20200402|0|1|2|0.02
203013021,,203013021,,,,1,1,,0,1|20301302|203013021
203013031,,203013031,3,,,4,,,0,0|1|5|203013031
203013041,,203013041,3,,,4,,,0,2|3|80|50|20|203013041
204002021,,204002021,,,,1,1,,0,1|20400202|204002021
204002041,,204002041,9,,,6|8,,1,0,1|204002041
202001011,,202001011,,,,1,1,,0,1|20200101|202001011
402001011,,402001011,,,,1,1,,0,1|20200101|202001011
200010011,,200010011,,,,1,1,1,0,1|20001001|200010011
400010011,,400010011,,,,1,1,1,0,1|40001001|200010011
200010021,,200010021,,,,1,1,,0,1|20001002|200010021
200010031,,200010031,11,,,9,,,0,0|1|0|200010031
200010041,,200010041,4,,,5,1,,0,1|0|200010041
204006011,,204006011,,,,1,1,,0,1|20400601|204006011
204006021,,204006021,,,,1,1,,0,1|20400602|204006021
204006031,,204006031,2,,,3,,,0,10|204006031
200004011,,200004011,,,,1,1,1,0,1|20000401|200004011
200004021,,200004021,,,,1,1,,0,1|20000402|200004021
200004031,,200004031,,,,1,,,0,1|20000403|200004031
200004041,,200004041,9,,,6|8,1,1,0,1|200004041
201004011,,201004011,6,,,1|7,,,0,1|20100401|12|201004012|201004011
201004031,,201004031,8,,,1,,,0,1|20100401|1|1|0|0.5
201004041,,201004041,,,,1,1,,0,1|20100400|201004041
201004042,,201004042,,,,1,1,,0,1|20100401|201004041
201004043,,201004043,,,,1,1,,0,1|20100402|201004041
204008011,,204008011,,,,1,1,1,0,1|20400801|204008011
204008021,,204008021,,,,1,1,,0,1|20400802|204008021
204008031,,204008031,,,,1,,1,0,1|20400803|204008031
204008041,,204008041,9,,,6|8,1,1,0,1|204008041
203010031,,203010031,2,,,3,,,0,10|203010031
203010041,,203010041,,,,1,1,,0,1|20301000|203010041
203010042,,203010042,,,,1,1,,0,1|20301001|203010041
203010043,,203010043,,,,1,1,,0,1|20301002|203010041
203008011,,203008011,,,,1,1,,0,1|20300801|203008011
203008021,,203008021,,,,1,1,,0,1|20300802|203008021
203008031,,203008031,12,,,10,,,0,0|0|2030080301|203008032
203008041,,203008041,,,,1|7,1,,0,1|20300801|203008041
203007011,,203007011,,,,1,1,1,0,1|20300701|203007011
203007021,,203007021,,,,1,1,,0,1|20300702|203007021
203007031,,203007031,,,,1,1,,0,5|20300700|203007021|203007031
203007041,,203007041,6,,,1|7,,,0,1|20300700|10|203007021|203007041
203007042,,203007042,6,,,1|7,,,0,1|20300701|10|203007021|203007041
203007043,,203007043,6,,,1|7,,,0,1|20300702|10|203007021|203007041
202005021,,202005021,,,,1,1,,0,1|20200502|202005021
202005031,,202005031,,,,1|7,1,,0,1|20200500|202005031
202005032,,202005032,,,,1|7,1,,0,1|20200501|202005031
202005033,,202005033,,,,1|7,1,,0,1|20200502|202005031
203002031,,203002031,,,,1,1,,0,1|20300200|203002031
203002032,,203002032,,,,1,1,,0,1|20300201|203002031
203002033,,203002033,,,,1,1,,0,1|20300202|203002031
203002041,,203002041,,,,1,1,,0,1|20300200|203002041
203002042,,203002042,6,,,1|7,,,0,1|20300200|12|203002041|203002042|203002043
201005011,,201005011,6,,,1|7,1,,0,1|20100501|12|201005021|201005011
201005021,,201005021,,,,1,1,,0,1|20100502|201005021
201005031,,201005031,6,,,1|7,,,0,1|20100500|12|201005021|201005031
201005032,,201005032,6,,,1|7,,,0,1|20100501|12|201005021|201005031
201005033,,201005033,6,,,1|7,,,0,1|20100502|12|201005021|201005031
204004011,,204004011,,,,1,1,,0,1|20400401|204004011
204004021,,204004021,,,,1,1,4,1,1|20400402|204004021
204004022,,204004022,,,,1,1,,0,1|20400402|204004021
204004031,,204004031,9,,,6|8,,1,0,1|204004031
204004041,,204004041,,,,1,1,,0,1|20400402|204004041
204004042,,204004042,,,,1,1,4,1,1|20400402|204004041
204003011,,204003011,,,,1,,,0,1|20400301|204003011|204003012
204003021,,204003021,,,,1,1,,0,1|20400302|204003021|201004012
204003031,,204003031,,,,1,1,,0,1|20400303|204003031
204003041,,204003041,,,,1,,,0,1|20400301|204003041
500018021,,500018021,,,,1,1,,0,1|50001802|204003021
500018031,,500018031,,,,1,1,,0,1|50001803|500018031
203001011,,203001011,,,,1,1,,0,1|20300101|203001011
203001021,,203001021,,,,1,1,,0,1|20300102|203001021
203001031,,203001031,9,,,6|8,,1,0,1|203001031
