key,Remarks,Id,CopyId,Index,time,Enemy_1,Enemy_1_x,Enemy_1_z,Enemy_2,Enemy_2_x,Enemy_2_z,Enemy_3,Enemy_3_x,Enemy_3_z,Enemy_4,Enemy_4_x,Enemy_4_z,Enemy_5,Enemy_5_x,Enemy_5_z,Enemy_6,Enemy_6_x,Enemy_6_z
id_999_1,,id_999_1,id_999,1,90,m_301003,50,6,,58,3,,54,9,,,,,,,,,
id_999_2,,id_999_2,id_999,2,90,m_201002,50,6,m_101011,58,6,m_202002,54,3,,54,9,,,,,,
id_999_3,,id_999_3,id_999,3,90,m_201002,50,6,m_101011,58,6,m_202002,54,3,,54,9,,,,,,
194002_1,,194002_1,194002,1,9999,m_161004_3_2,45,5,,,,,,,,,,,,,,,
110000_1,,110000_1,110000,1,90,m_110000_1_3,62,6,m_110000_1_4,74,3,m_110000_1_5,74,9,,,,,,,,,
110000_2,,110000_2,110000,2,90,m_190001_2_1,130,6,,,,,,,,,,,,,,,
177001_1,,177001_1,177001,1,90,m_110001_1_1,35,3,m_110001_1_2,35,9,m_110001_1_3,40,3,m_110001_1_4,40,9,,,,,,
177001_2,,177001_2,177001,2,90,m_110001_2_1,75,3,m_110001_2_2,75,6,m_110001_2_3,75,9,m_110001_2_4,83,6,,,,,,
177000_1,,177000_1,177000,1,90,m_110002_1_1,60,6,,,,,,,,,,,,,,,
110101_1,,110101_1,110101,1,90,m_110101_1_1,39,6,,,,,,,,,,,,,,,
110102_1,,110102_1,110102,1,90,m_110102_1_1,39,6,,,,,,,,,,,,,,,
110201_1,,110201_1,110201,1,90,m_110201_1_1,35,6,m_110201_1_2,43,3,m_110201_1_3,43,9,,,,,,,,,
110201_2,,110201_2,110201,2,90,m_110201_2_1,75,3,m_110201_2_2,75,9,m_110201_2_3,79,6,,,,,,,,,
110201_3,,110201_3,110201,3,90,m_110201_3_1,115,6,,,,,,,,,,,,,,,
110202_1,,110202_1,110202,1,90,m_110202_1_1,35,6,m_110202_1_2,43,3,m_110202_1_3,43,9,,,,,,,,,
110202_2,,110202_2,110202,2,90,m_110202_2_1,75,6,m_110202_2_2,83,3,m_110202_2_3,83,9,,,,,,,,,
110202_3,,110202_3,110202,3,90,m_110202_3_1,115,3,m_110202_3_2,115,9,m_110202_3_3,123,3,m_110202_3_4,123,9,,,,,,
110203_1,,110203_1,110203,1,90,m_110203_1_1,60,6,,,,,,,,,,,,,,,
110301_1,,110301_1,110301,1,90,m_110301_1_1,35,6,m_110301_1_2,43,3,m_110301_1_3,43,9,,,,,,,,,
110301_2,,110301_2,110301,2,90,m_110301_2_1,75,3,m_110301_2_2,75,9,m_110301_2_3,83,6,,,,,,,,,
110301_3,,110301_3,110301,3,90,m_110301_3_1,115,3,m_110301_3_2,115,9,m_110301_3_3,123,3,m_110301_3_4,123,9,,,,,,
110302_1,,110302_1,110302,1,90,m_110302_1_1,35,3,m_110302_1_2,35,9,m_110302_1_3,43,6,,,,,,,,,
110302_2,,110302_2,110302,2,90,m_110302_2_1,75,3,m_110302_2_2,75,9,m_110302_2_3,83,6,,,,,,,,,
110302_3,,110302_3,110302,3,90,m_110302_3_1,115,3,m_110302_3_2,119,6,,,,,,,,,,,,
110303_1,,110303_1,110303,1,90,m_110303_1_1,35,3,m_110303_1_2,35,9,m_110303_1_3,43,6,,,,,,,,,
110303_2,,110303_2,110303,2,90,m_110303_2_1,75,3,m_110303_2_2,75,9,m_110303_2_3,83,6,,,,,,,,,
110303_3,,110303_3,110303,3,90,m_110303_3_1,115,3,m_110303_3_2,115,9,m_110303_3_3,123,3,m_110303_3_4,123,9,,,,,,
110304_1,,110304_1,110304,1,90,m_110304_1_1,35,3,m_110304_1_2,43,3,m_110304_1_3,43,9,,,,,,,,,
110304_2,,110304_2,110304,2,90,m_110304_2_1,75,3,m_110304_2_2,75,9,m_110304_2_3,83,6,,,,,,,,,
110304_3,,110304_3,110304,3,90,m_110304_3_1,115,3,m_110304_3_2,115,6,m_110304_3_3,115,9,m_110304_3_4,123,6,,,,,,
110305_1,,110305_1,110305,1,90,m_110305_1_1,35,3,m_110305_1_2,35,9,m_110305_1_3,43,6,,,,,,,,,
110305_2,,110305_2,110305,2,90,m_110305_2_1,75,3,m_110305_2_2,75,9,m_110305_2_3,83,6,,,,,,,,,
110305_3,,110305_3,110305,3,90,m_110305_3_1,115,3,m_110305_3_2,115,6,m_110305_3_3,115,9,m_110305_3_4,123,6,,,,,,
110306_1,,110306_1,110306,1,90,m_110306_1_1,60,6,,,,,,,,,,,,,,,
110401_1,,110401_1,110401,1,90,m_110401_1_1,35,6,m_110401_1_2,43,3,m_110401_1_3,43,9,,,,,,,,,
110401_2,,110401_2,110401,2,90,m_110401_2_1,75,3,m_110401_2_2,75,9,m_110401_2_3,83,6,,,,,,,,,
110401_3,,110401_3,110401,3,90,m_110401_3_1,115,3,m_110401_3_2,115,9,m_110401_3_3,123,3,m_110401_3_4,123,9,,,,,,
110402_1,,110402_1,110402,1,90,m_110402_1_1,35,6,m_110402_1_2,43,3,m_110402_1_3,43,9,,,,,,,,,
110402_2,,110402_2,110402,2,90,m_110402_2_1,75,3,m_110402_2_2,75,9,m_110402_2_3,83,6,,,,,,,,,
110402_3,,110402_3,110402,3,90,m_110402_3_1,115,3,m_110402_3_2,115,9,m_110402_3_3,123,6,,,,,,,,,
110403_1,,110403_1,110403,1,90,m_110403_1_1,35,6,m_110403_1_2,39,3,m_110403_1_3,39,9,,,,,,,,,
110403_2,,110403_2,110403,2,90,m_110403_2_1,75,3,m_110403_2_2,75,9,m_110403_2_3,79,6,,,,,,,,,
110403_3,,110403_3,110403,3,90,m_110403_3_1,115,3,m_110403_3_2,115,9,m_110403_3_3,119,3,m_110403_3_4,119,9,,,,,,
110404_1,,110404_1,110404,1,90,m_110404_1_1,35,6,m_110404_1_2,43,3,m_110404_1_3,43,9,,,,,,,,,
110404_2,,110404_2,110404,2,90,m_110404_2_1,75,3,m_110404_2_2,75,9,m_110404_2_3,83,6,,,,,,,,,
110404_3,,110404_3,110404,3,90,m_110404_3_1,115,6,,,,,,,,,,,,,,,
110405_1,,110405_1,110405,1,90,m_110405_1_1,35,3,m_110405_1_2,43,3,m_110405_1_3,43,9,,,,,,,,,
110405_2,,110405_2,110405,2,90,m_110405_2_1,75,3,m_110405_2_2,75,9,m_110405_2_3,83,6,,,,,,,,,
110405_3,,110405_3,110405,3,90,m_110405_3_1,115,3,m_110405_3_2,115,9,m_110405_3_3,119,3,m_110405_3_4,119,9,,,,,,
110406_1,,110406_1,110406,1,90,m_110406_1_1,35,6,m_110406_1_2,39,3,m_110406_1_3,39,9,,,,,,,,,
110406_2,,110406_2,110406,2,90,m_110406_2_1,75,3,m_110406_2_2,75,9,m_110406_2_3,79,6,,,,,,,,,
110406_3,,110406_3,110406,3,90,m_110406_3_1,115,3,m_110406_3_2,115,9,m_110406_3_3,123,3,m_110406_3_4,123,9,,,,,,
110407_1,,110407_1,110407,1,90,m_110407_1_1,35,3,m_110407_1_2,43,3,m_110407_1_3,43,9,,,,,,,,,
110407_2,,110407_2,110407,2,90,m_110407_2_1,75,3,m_110407_2_2,75,9,m_110407_2_3,83,6,,,,,,,,,
110407_3,,110407_3,110407,3,90,m_110407_3_1,115,3,m_110407_3_2,115,9,m_110407_3_3,123,3,m_110407_3_4,123,9,,,,,,
110408_1,,110408_1,110408,1,90,m_110408_1_1,35,6,m_110408_1_2,39,3,m_110408_1_3,39,9,,,,,,,,,
110408_2,,110408_2,110408,2,90,m_110408_2_1,75,3,m_110408_2_2,75,9,m_110408_2_3,79,6,,,,,,,,,
110408_3,,110408_3,110408,3,90,m_110408_3_1,115,3,m_110408_3_2,115,6,m_110408_3_3,115,9,m_110408_3_4,123,6,,,,,,
110409_1,,110409_1,110409,1,90,m_110003_1_1,35,6,m_110003_1_2,43,3,m_110003_1_3,43,9,,,,,,,,,
110409_2,,110409_2,110409,2,90,m_110003_2_1,75,3,m_110003_2_2,75,9,m_110003_2_3,83,6,,,,,,,,,
110409_3,,110409_3,110409,3,90,m_110003_3_1,115,3,m_110003_3_2,115,9,m_110003_3_3,123,3,m_110003_3_4,123,9,,,,,,
110410_1,,110410_1,110410,1,90,m_110410_1_1,60,6,,,,,,,,,,,,,,,
110501_1,,110501_1,110501,1,90,m_110501_1_1,35,6,m_110501_1_2,43,3,m_110501_1_3,43,9,,,,,,,,,
110501_2,,110501_2,110501,2,90,m_110501_2_1,75,3,m_110501_2_2,75,9,m_110501_2_3,83,6,,,,,,,,,
110501_3,,110501_3,110501,3,90,m_110501_3_1,115,3,m_110501_3_2,115,9,m_110501_3_3,123,3,m_110501_3_4,123,9,,,,,,
110502_1,,110502_1,110502,1,90,m_110502_1_1,35,6,m_110502_1_2,43,3,m_110502_1_3,43,9,,,,,,,,,
110502_2,,110502_2,110502,2,90,m_110502_2_1,75,3,m_110502_2_2,75,9,m_110502_2_3,83,3,m_110502_2_4,83,9,,,,,,
110502_3,,110502_3,110502,3,90,m_110502_3_1,115,6,m_110502_3_2,123,6,,,,,,,,,,,,
110503_1,,110503_1,110503,1,90,m_110503_1_1,35,6,m_110503_1_2,43,3,m_110503_1_3,43,9,,,,,,,,,
110503_2,,110503_2,110503,2,90,m_110503_2_1,75,3,m_110503_2_2,75,9,m_110503_2_3,83,6,,,,,,,,,
110503_3,,110503_3,110503,3,90,m_110503_3_1,115,3,m_110503_3_2,115,9,m_110503_3_3,123,3,m_110503_3_4,123,9,,,,,,
110504_1,,110504_1,110504,1,90,m_110504_1_1,35,6,m_110504_1_2,43,3,m_110504_1_3,43,9,,,,,,,,,
110504_2,,110504_2,110504,2,90,m_110504_2_1,75,3,m_110504_2_2,75,9,m_110504_2_3,83,6,,,,,,,,,
110504_3,,110504_3,110504,3,90,m_110504_3_1,115,6,m_110504_3_2,123,3,m_110504_3_3,123,9,,,,,,,,,
110505_1,,110505_1,110505,1,90,m_110505_1_1,35,6,m_110505_1_2,43,3,m_110505_1_3,43,9,,,,,,,,,
110505_2,,110505_2,110505,2,90,m_110505_2_1,75,3,m_110505_2_2,75,9,m_110505_2_3,83,6,,,,,,,,,
110505_3,,110505_3,110505,3,90,m_110505_3_1,115,3,m_110505_3_2,115,9,m_110505_3_3,123,3,m_110505_3_4,123,9,,,,,,
110506_1,,110506_1,110506,1,90,m_110506_1_1,60,6,,,,,,,,,,,,,,,
110507_1,,110507_1,110507,1,90,m_110507_1_1,35,6,m_110507_1_2,39,3,m_110507_1_3,39,9,,,,,,,,,
110507_2,,110507_2,110507,2,90,m_110507_2_1,75,3,m_110507_2_2,75,9,m_110507_2_3,79,6,,,,,,,,,
110507_3,,110507_3,110507,3,90,m_110507_3_1,115,3,m_110507_3_2,115,9,m_110507_3_3,119,3,m_110507_3_4,119,9,,,,,,
110508_1,,110508_1,110508,1,90,m_110508_1_1,35,6,m_110508_1_2,39,3,m_110508_1_3,39,9,,,,,,,,,
110508_2,,110508_2,110508,2,90,m_110508_2_1,75,3,m_110508_2_2,75,9,m_110508_2_3,79,6,,,,,,,,,
110508_3,,110508_3,110508,3,90,m_110508_3_1,123,6,,,,,,,,,,,,,,,
110509_1,,110509_1,110509,1,90,m_110509_1_1,35,6,m_110509_1_2,43,3,m_110509_1_3,43,9,,,,,,,,,
110509_2,,110509_2,110509,2,90,m_110509_2_1,75,3,m_110509_2_2,75,9,m_110509_2_3,83,6,,,,,,,,,
110509_3,,110509_3,110509,3,90,m_110509_3_1,115,3,m_110509_3_2,115,9,m_110509_3_3,119,3,m_110509_3_4,119,9,,,,,,
110510_1,,110510_1,110510,1,90,m_110510_1_1,35,6,m_110510_1_2,39,3,m_110510_1_3,39,9,,,,,,,,,
110510_2,,110510_2,110510,2,90,m_110510_2_1,75,3,m_110510_2_2,75,9,m_110510_2_3,79,6,,,,,,,,,
110510_3,,110510_3,110510,3,90,m_110510_3_1,115,3,m_110510_3_2,115,6,m_110510_3_3,115,9,m_110510_3_4,123,6,,,,,,
110511_1,,110511_1,110511,1,90,m_110511_1_1,35,6,m_110511_1_2,39,3,m_110511_1_3,39,9,,,,,,,,,
110511_2,,110511_2,110511,2,90,m_110511_2_1,75,3,m_110511_2_2,75,9,m_110511_2_3,79,6,,,,,,,,,
110511_3,,110511_3,110511,3,90,m_110511_3_1,115,3,m_110511_3_2,115,9,m_110511_3_3,119,3,m_110511_3_4,119,9,,,,,,
110512_1,,110512_1,110512,1,90,m_110512_1_1,60,6,,,,,,,,,,,,,,,
110601_1,,110601_1,110601,1,90,m_110601_1_1,35,6,m_110601_1_2,43,3,m_110601_1_3,43,9,,,,,,,,,
110601_2,,110601_2,110601,2,90,m_110601_2_1,75,3,m_110601_2_2,75,9,m_110601_2_3,83,6,,,,,,,,,
110601_3,,110601_3,110601,3,90,m_110601_3_1,115,3,m_110601_3_2,115,9,m_110601_3_3,123,3,m_110601_3_4,123,9,,,,,,
110602_1,,110602_1,110602,1,90,m_110602_1_1,35,6,m_110602_1_2,43,3,m_110602_1_3,43,9,,,,,,,,,
110602_2,,110602_2,110602,2,90,m_110602_2_1,75,3,m_110602_2_2,75,9,m_110602_2_3,83,6,,,,,,,,,
110602_3,,110602_3,110602,3,90,m_110602_3_1,115,6,,,,,,,,,,,,,,,
110603_1,,110603_1,110603,1,90,m_110603_1_1,35,6,m_110603_1_2,43,3,m_110603_1_3,43,9,,,,,,,,,
110603_2,,110603_2,110603,2,90,m_110603_2_1,75,3,m_110603_2_2,75,9,m_110603_2_3,83,6,,,,,,,,,
110603_3,,110603_3,110603,3,90,m_110603_3_1,115,3,m_110603_3_2,115,9,m_110603_3_3,123,3,m_110603_3_4,123,9,,,,,,
