key,mark,lv,commonAttack,careerAttack,critical,criticalHurt,commonDPS,firstSkillDPS,secSkillDPS,thirdSkillDPS,forthSkillDPS,_3SDefDamage,_3SNoDefDamage,singleRoleMaxHurt,teamMaxHurt,singleHitMaxHurt
1,,1,2267,3401,94,94,,,,,,6210,9315,279450,1397250,41452
2,,2,2704,4056,107,107,,,,,,7469,11203,336090,1680450,49540
3,,3,3141,4712,120,120,,,,,,8749,13124,393720,1968600,57675
4,,4,3582,5373,133,133,,,,,,10060,15090,452700,2263500,65906
5,,5,4127,6191,158,158,,,,,,11777,17666,529980,2649900,76249
6,,6,4566,6849,171,171,,,,,,13136,19704,591120,2955600,84531
7,,7,5013,7520,185,185,,,,,,14551,21826,654780,3273900,93023
8,,8,5454,8181,198,198,,,,,,15960,23939,718170,3590850,101412
9,,9,5896,8844,212,212,,,,,,17404,26106,783180,3915900,109878
10,,10,6681,10022,236,236,,,,,,20018,30027,900810,4504050,124995
11,,11,7124,10686,249,249,,,,,,21516,32274,968220,4841100,133554
12,,12,7569,11354,262,262,,,,,,23045,34567,1037010,5185050,142198
13,,13,8027,12041,277,277,,,,,,24664,36996,1109880,5549400,151163
14,,14,8474,12711,291,291,,,,,,26260,39389,1181670,5908350,159930
15,,15,8921,13382,304,304,,,,,,27865,41797,1253910,6269550,168721
16,,16,9386,14079,319,319,,,,,,29583,44374,1331220,6656100,177931
17,,17,9835,14753,332,332,,,,,,31242,46863,1405890,7029450,186832
18,,18,10335,15503,347,347,,,,,,33127,49690,1490700,7453500,196796
19,,19,10805,16208,361,361,,,,,,34923,52385,1571550,7857750,206199
20,,20,11922,17883,424,424,,,,,,39990,59985,1799550,8997750,229761
21,,21,12378,18567,437,437,,,,,,41836,62754,1882620,9413100,239032
22,,22,12857,19286,453,453,,,,,,43862,65792,1973760,9868800,248906
23,,23,13315,19973,467,467,,,,,,45793,68689,2060670,10303350,258331
24,,24,13803,20705,481,481,,,,,,47855,71783,2153490,10767450,268379
25,,25,14639,21959,524,524,,,,,,52015,78023,2340690,11703450,286522
26,,26,15104,22656,537,537,,,,,,54063,81094,2432820,12164100,296205
27,,27,16871,25307,552,552,,,,,,60902,91353,2740590,13702950,331623
28,,28,17388,26082,567,567,,,,,,63299,94948,2848440,14242200,342561
29,,29,17858,26787,581,581,,,,,,65521,98281,2948430,14742150,352571
30,,30,18912,28368,645,645,,,,,,71890,107835,3235050,16175250,377011
31,,31,19417,29126,661,661,,,,,,74461,111691,3350730,16753650,388017
32,,32,19891,29837,676,676,,,,,,76905,115357,3460710,17303550,398384
33,,33,20396,30594,690,690,,,,,,79458,119186,3575580,17877900,409348
34,,34,20905,31358,707,707,,,,,,82194,123291,3698730,18493650,420637
35,,35,21753,32630,749,749,,,,,,87477,131215,3936450,19682250,440440
36,,36,22231,33347,764,764,,,,,,90116,135174,4055220,20276100,451119
37,,37,22747,34121,780,780,,,,,,92993,139490,4184700,20923500,462681
38,,38,23369,35054,811,811,,,,,,97109,145664,4369920,21849600,477506
39,,39,23879,35819,825,825,,,,,,99959,149938,4498140,22490700,488930
40,,40,24866,37299,875,875,,,,,,106828,160242,4807260,24036300,512862
41,,41,25352,38028,890,890,,,,,,109761,164641,4939230,24696150,524026
42,,42,25839,38759,904,904,,,,,,112678,169016,5070480,25352400,535185
43,,43,26395,39593,923,923,,,,,,116225,174338,5230140,26150700,548205
44,,44,26881,40322,937,937,,,,,,119212,178817,5364510,26822550,559428
45,,45,27758,41637,980,980,,,,,,125803,188704,5661120,28305600,581253
46,,46,28315,42473,997,997,,,,,,129427,194141,5824230,29121150,594368
47,,47,30399,45599,1012,1012,,,,,,139998,209997,6299910,31499550,639481
48,,48,30908,46362,1026,1026,,,,,,143336,215003,6450090,32250450,651479
49,,49,31458,47187,1044,1044,,,,,,147194,220790,6623700,33118500,664771
50,,50,32604,48906,1110,1110,,,,,,157576,236364,7090920,35454600,695444
51,,51,33104,49656,1124,1124,,,,,,161085,241627,7248810,36244050,707499
52,,52,33661,50492,1144,1144,,,,,,165389,248083,7442490,37212450,721430
53,,53,34182,51273,1158,1158,,,,,,169084,253626,7608780,38043900,734025
54,,54,34821,52232,1174,1174,,,,,,173575,260362,7810860,39054300,749425
55,,55,35386,53079,1192,1192,,,,,,177914,266871,8006130,40030650,763489
56,,56,37589,56384,1206,1206,,,,,,190256,285384,8561520,42807600,812607
57,,57,38103,57155,1221,1221,,,,,,194236,291354,8740620,43703100,825433
58,,58,39281,58922,1286,1286,,,,,,206455,309683,9290490,46452450,858612
59,,59,39805,59708,1301,1301,,,,,,210676,316014,9480420,47402100,871857
60,,60,40582,60873,1338,1338,,,,,,218498,327747,9832410,49162050,893373
61,,61,41172,61758,1359,1359,,,,,,223826,335739,10072170,50360850,908955
62,,62,41846,62769,1373,1373,,,,,,228954,343431,10302930,51514650,925592
63,,63,42371,63557,1389,1389,,,,,,233528,350292,10508760,52543800,939246
64,,64,42969,64454,1408,1408,,,,,,238879,358318,10749540,53747700,954951
65,,65,43525,65288,1423,1423,,,,,,243619,365429,10962870,54814350,969266
66,,66,44207,66311,1438,1438,,,,,,249118,373676,11210280,56051400,986443
67,,67,46617,69926,1459,1459,,,,,,265190,397785,11933550,59667750,1043157
68,,68,47822,71733,1530,1530,,,,,,280776,421163,12634890,63174450,1080299
69,,69,48366,72549,1545,1545,,,,,,285853,428780,12863400,64317000,1094765
70,,70,49425,74138,1589,1589,,,,,,297798,446696,13400880,67004400,1125267
71,,71,49973,74960,1604,1604,,,,,,303071,454606,13638180,68190900,1139992
72,,72,50521,75782,1620,1620,,,,,,308528,462791,13883730,69418650,1154918
73,,73,51153,76730,1640,1640,,,,,,315098,472646,14179380,70896900,1172435
74,,74,51872,77808,1655,1655,,,,,,321594,482391,14471730,72358650,1191241
75,,75,52942,79413,1709,1709,,,,,,335887,503830,15114900,75574500,1224390
76,,76,53587,80381,1731,1731,,,,,,343165,514748,15442440,77212200,1242852
77,,77,54145,81218,1747,1747,,,,,,349088,523632,15708960,78544800,1258392
78,,78,54878,82317,1762,1762,,,,,,356051,534076,16022280,80111400,1277890
79,,79,55531,83297,1785,1785,,,,,,363779,545668,16370040,81850200,1296935
80,,80,56735,85103,1851,1851,,,,,,381990,572984,17189520,85947600,1336288
81,,81,57301,85952,1867,1867,,,,,,388349,582524,17475720,87378600,1352369
82,,82,58143,87215,1889,1889,,,,,,397626,596439,17893170,89465850,1376079
83,,83,58712,88068,1904,1904,,,,,,403983,605974,18179220,90896100,1392179
84,,84,59281,88922,1919,1919,,,,,,410400,615599,18467970,92339850,1408347
