key,Remarks,id,magicType,relatedEffectId,summonId,effectName,duration
10200100,,10200100,1,,,,
10200101,,10200101,1,,,,
10200301,,10200301,1,,,,
10200401,,10200401,1,,,,
10200501,,10200501,1,,,,
10201501,,10201501,1,,,,
10201601,,10201601,1,,,,
10200201,,10200201,2,,500005,,
10200207,,10200207,2,,500005,,
10202201,,10202201,2,,500025,,
10202203,,10202203,2,,500025,,
10202301,,10202301,2,,500035,,
10202303,,10202303,2,,500035,,
10202401,,10202401,2,,500045,,
10202403,,10202403,2,,500045,,
10202501,,10202501,2,,500004,,
10202503,,10202503,2,,500004,,
10202601,,10202601,2,,500015,,
10202603,,10202603,2,,500015,,
10202701,,10202701,2,,500016,,
10202703,,10202703,2,,500016,,
10202801,,10202801,2,,500017,,
10202803,,10202803,2,,500017,,
10200307,,10200307,1,,,,
10200407,,10200407,1,,,,
10300101,,10300101,1,,,,
10300107,,10300107,1,,,,
10300201,,10300201,1,,,,
10300207,,10300207,1,,,,
10300301,,10300301,1,,,,
10300307,,10300307,1,,,,
10300401,,10300401,1,,,,
10300407,,10300407,1,,,,
10310101,,10310101,1,,,,
10310107,,10310107,1,,,,
10310201,,10310201,1,,,,
10310207,,10310207,1,,,,
10310301,,10310301,1,,,,
10310307,,10310307,1,,,,
10310401,,10310401,1,,,,
10310407,,10310407,1,,,,
10300501,,10300501,3,,,Common/fx_601005_skill01,10
10300601,,10300601,3,,,Common/fx_601006_skill01,10
10300701,,10300701,3,,,Common/fx_601007_skill01,10
10300801,,10300801,3,,,Common/fx_601008_skill01,10
10310501,,10310501,3,,,Common/fx_601105_skill01,10
10310601,,10310601,3,,,Common/fx_601106_skill01,10
10310701,,10310701,3,,,Common/fx_601107_skill01,10
10310801,,10310801,3,,,Common/fx_601108_skill01,10
