key,Remarks,ModelActionName,Id,SkillName,ReleaseType,EffectBeginName,EffectBeginBindPoint,EffectBeginDelay,EffectBeginDuration,LoopModelAction,EffectLoopName,EffectLoopBindPoint,EffectLoopTime,LoopReleaseModelAction,EffectLoopReleaseName,EffectLoopReleaseBindPoint,EffectFlyName,EffectFlyStartPoint,EffectFlySpeed,EffectFlyTime,EffectFlyDelay,EffectFlyCombo,EffectFlyEndPoint,EffectEndName,EffectEndPoint,EffectEndDelay,EffectEndDuration,HitEffectName,HitEffectPoint,HiteffectDuration,Type,EffectFlyType,EffectFlyAngle,EffectTargetType,EffectTargetNumber,BulletTargetType,BulletTargetParam,AoeType,TargetType,RandomLimit,CD,StartCDTime,TotalTime,Priority,Distance,FindTargetDistance,HitType,Buff,Vampire,EnergyRecovery,MagicEnergyRecovery,HideHeros,MarkTimeDuration,Description,Icon,Atlas,Voice,BeginEffectSound,EffectSound,EndEffectSound,HitSound
10000100,,attack,10000100,初始男普攻,,fx_100001_attack,,,2,,,,,,,,Common/Cube,,,0.2,0.1,,1,,,,,Common/Hit,hit,0.8,1,5,,1,,1,,1,1,5,3,0.1,2.2,5,4,6,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_10000501_01.mp3|0
10000107,,skill01,10000107,初始男必杀,,"fx_100001_skill01,fx_100001_jian_01",",fx_02,hit",,6,,,,,,,,Common/Cube,,,0.1,2.4,,1,,,,,fx_100001_skill01_Hit,hit,0.8,2,5,,3,,2,2.5,,1,5,11.6,10,5,1,6,6,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10000101_1.mp3|0,Skill/sound_10000101_1.mp3|0,,,
10000102,,skill02,10000102,初始男技能1,,fx_100001_skill02,,,2,,,,,,,,Common/Cube,,,0.2,,"0.1,0.48",1,,,,,fx_100001_skill02_Hit,hit,0.8,3,5,,3,,2,4,,1,5,6.6,,3,2,4,6,,500001,,,,1,1,自动技能，范围攻击,Skill/skill_006,Icon,,Skill/sound_10000102_1.mp3|0,,,
10000101,,skill01,10000101,初始男必杀,,"fx_100001_skill07,fx_100001_jian_01",",fx_02,hit",,6,,,,,,,,Common/Cube,,,0.1,2.4,,1,,,,,fx_100001_skill01_Hit,hit,0.8,2,5,,3,,2,3,,1,5,3,,5,1,6,6,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10000101_1.mp3|0,Skill/sound_10000101_1.mp3|0,,,
10000200,,attack,10000200,行者女普攻,,fx_100002_attack,,,3,,,,,,,,Common/Cube,,,0.1,,"0.35,0.15",,,,1.2,4,Common/Hit,hit,0.8,1,5,,1,,1,,1,1,5,3,0.2,2,5,4,6,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_30000101_01.mp3|0
10000207,,skill01,10000207,行者女必杀,,"fx_100002_skill01,fx_100002_skill01_01",,,4,,,,,,,,Common/Cube,,,0.1,,"0.8,0.15,0.15,0.3",1,,,,,fx_100002_hit,hit,0.8,2,5,,6,,1,,1,1,5,11.6,,5,1,6,12,,,,,,,1,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10000201_1.mp3|0,Skill/sound_10000201_1.mp3|0,,,
10000202,,skill02,10000202,行者女技能1,,"fx_100002_skill02_pre,fx_100002_skill02",fx_righthand,,3,,,,,,,,Common/Cube,,,0.2,1.8,,,,,1.2,4,fx_100002_hit,hit,0.8,3,5,,3,,2,2.5,,1,5,12,3,3,2,6,6,,,,,,1,1,自动技能，范围攻击,Skill/skill_006,Icon,,Skill/sound_10000202_1.mp3|0,,,
10000203,,,10000203,行者女被动技能1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,行者女被动技能1,Skill/skill_005,Icon,,,,,
10000204,,,10000204,行者女被动技能2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,1,,5,,,,,,1,,,,,,1,1,行者女被动技能2,Skill/skill_005,Icon,,,,,
10000201,,skill01,10000201,行者女必杀,,"fx_100002_skill07,fx_100002_skill01_01",,,4,,,,,,,,Common/Cube,,,0.1,,"0.8,0.15,0.15,0.3",1,,,,,fx_100002_hit,hit,0.8,2,5,,6,,1,,1,1,5,11.6,,5,1,6,12,,,,,,,0.7,必杀，前方范围攻击,Skill/skill_002,Icon,Role/voice_10000201_1.mp3|0,Skill/sound_10000201_1.mp3|0,,,
10000500,,attack,10000500,主角普攻,,100005_attack,,,2,,,,,,,,Common/Cube,,,0.1,0.15,,1,,,,,Common/Hit,hit,0.8,1,5,,1,,1,,1,1,5,3.6,0.1,2.5,5,4,6,,,,,,1,1,普通攻击，近战,,,,,,,Skill/sound_10000501_01.mp3|0
10000507,,skill01,10000507,主角必杀,,100005_skill01,,,5.5,,,,,,,,Common/Cube,,,0.2,2.2,,1,,,,,fx_100005_hit,hit,0.8,2,5,,3,,2,2.5,,1,5,11.42,,5.6,1,5,6,,,,,,,1,必杀攻击，远程,Skill/skill_002,Icon,Role/voice_10000501_1.mp3|0,Skill/sound_10000501_1.mp3|0,,,
