key,Remarks,bossId,pro,levelLimit,rewardInfo,dropIds,bossName,bossIcon,bossDesc
161001,,161001,10,1,"602001:1,1:20000","37101,37101,37102,37102",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161002,,161002,10,40,"602001:1,1:20000","37113,37113,37114,37114",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161003,,161003,10,45,"602001:1,1:20000","37113,37113,37114,37114",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161004,,161004,10,50,"602001:1,1:20000","37113,37113,37114,37114",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161005,,161005,10,55,"602001:1,1:20000","37125,37125,37126,37126",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161006,,161006,10,60,"602001:1,1:20000","37125,37125,37126,37126",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161007,,161007,10,65,"602001:1,1:20000","37137,37137,37138,37138",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161008,,161008,10,70,"602001:1,1:20000","37137,37137,37138,37138",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161009,,161009,10,75,"602001:1,1:20000","37137,37137,37138,37138",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161010,,161010,10,80,"602001:1,1:20000","37149,37149,37150,37150",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161011,,161011,10,85,"602001:1,1:20000","37149,37149,37150,37150",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
161012,,161012,10,90,"602001:1,1:20000","37149,37149,37150,37150",苍穹守卫,Hero_head/head_CangQiongShouWei,BOSS，守护九龙岛禁地的远古守卫
162001,,162001,10,1,"602001:1,1:20000","37103,37103,37104,37104",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162002,,162002,10,40,"602001:1,1:20000","37115,37115,37116,37116",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162003,,162003,10,45,"602001:1,1:20000","37115,37115,37116,37116",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162004,,162004,10,50,"602001:1,1:20000","37115,37115,37116,37116",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162005,,162005,10,55,"602001:1,1:20000","37127,37127,37128,37128",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162006,,162006,10,60,"602001:1,1:20000","37127,37127,37128,37128",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162007,,162007,10,65,"602001:1,1:20000","37139,37139,37140,37140",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162008,,162008,10,70,"602001:1,1:20000","37139,37139,37140,37140",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162009,,162009,10,75,"602001:1,1:20000","37139,37139,37140,37140",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162010,,162010,10,80,"602001:1,1:20000","37151,37151,37152,37152",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162011,,162011,10,85,"602001:1,1:20000","37151,37151,37152,37152",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
162012,,162012,10,90,"602001:1,1:20000","37151,37151,37152,37152",风雪女神,Hero_head/head_FengXueNvShen,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163001,,163001,10,1,"602001:1,1:20000","37105,37105,37106,37106",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163002,,163002,10,40,"602001:1,1:20000","37117,37117,37118,37118",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163003,,163003,10,45,"602001:1,1:20000","37117,37117,37118,37118",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163004,,163004,10,50,"602001:1,1:20000","37117,37117,37118,37118",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163005,,163005,10,55,"602001:1,1:20000","37129,37129,37130,37130",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163006,,163006,10,60,"602001:1,1:20000","37129,37129,37130,37130",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163007,,163007,10,65,"602001:1,1:20000","37141,37141,37142,37142",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163008,,163008,10,70,"602001:1,1:20000","37141,37141,37142,37142",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163009,,163009,10,75,"602001:1,1:20000","37141,37141,37142,37142",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163010,,163010,10,80,"602001:1,1:20000","37153,37153,37154,37154",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163011,,163011,10,85,"602001:1,1:20000","37153,37153,37154,37154",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
163012,,163012,10,90,"602001:1,1:20000","37153,37153,37154,37154",深渊统帅,Hero_head/head_ShenYuanTongShuai,BOSS，拥有邪恶强大的魔力，世间魔物的首领
164001,,164001,10,1,"602001:1,1:20000","37107,37107,37108,37108",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164002,,164002,10,40,"602001:1,1:20000","37119,37119,37120,37120",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164003,,164003,10,45,"602001:1,1:20000","37119,37119,37120,37120",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164004,,164004,10,50,"602001:1,1:20000","37119,37119,37120,37120",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164005,,164005,10,55,"602001:1,1:20000","37131,37131,37132,37132",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164006,,164006,10,60,"602001:1,1:20000","37131,37131,37132,37132",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164007,,164007,10,65,"602001:1,1:20000","37143,37143,37144,37144",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164008,,164008,10,70,"602001:1,1:20000","37143,37143,37144,37144",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164009,,164009,10,75,"602001:1,1:20000","37143,37143,37144,37144",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164010,,164010,10,80,"602001:1,1:20000","37155,37155,37156,37156",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164011,,164011,10,85,"602001:1,1:20000","37155,37155,37156,37156",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
164012,,164012,10,90,"602001:1,1:20000","37155,37155,37156,37156",暗蚀魔神,Hero_head/head_AnShiMoShen,BOSS，异族的最强巫师，运用未知的邪恶力量
165001,,165001,10,1,"602001:1,1:20000","37109,37109,37110,37110",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165002,,165002,10,40,"602001:1,1:20000","37121,37121,37122,37122",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165003,,165003,10,45,"602001:1,1:20000","37121,37121,37122,37122",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165004,,165004,10,50,"602001:1,1:20000","37121,37121,37122,37122",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165005,,165005,10,55,"602001:1,1:20000","37133,37133,37134,37134",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165006,,165006,10,60,"602001:1,1:20000","37133,37133,37134,37134",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165007,,165007,10,65,"602001:1,1:20000","37145,37145,37146,37146",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165008,,165008,10,70,"602001:1,1:20000","37145,37145,37146,37146",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165009,,165009,10,75,"602001:1,1:20000","37145,37145,37146,37146",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165010,,165010,10,80,"602001:1,1:20000","37157,37157,37158,37158",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165011,,165011,10,85,"602001:1,1:20000","37157,37157,37158,37158",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
165012,,165012,10,90,"602001:1,1:20000","37157,37157,37158,37158",三头龙魇,Hero_head/head_SanTouLongYan,BOSS，九龙岛上沉睡万年的魔物
166001,,166001,10,1,"602001:1,1:20000","37111,37111,37112,37112",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166002,,166002,10,40,"602001:1,1:20000","37123,37123,37124,37124",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166003,,166003,10,45,"602001:1,1:20000","37123,37123,37124,37124",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166004,,166004,10,50,"602001:1,1:20000","37123,37123,37124,37124",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166005,,166005,10,55,"602001:1,1:20000","37135,37135,37136,37136",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166006,,166006,10,60,"602001:1,1:20000","37135,37135,37136,37136",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166007,,166007,10,65,"602001:1,1:20000","37147,37147,37148,37148",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166008,,166008,10,70,"602001:1,1:20000","37147,37147,37148,37148",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166009,,166009,10,75,"602001:1,1:20000","37147,37147,37148,37148",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166010,,166010,10,80,"602001:1,1:20000","37159,37159,37160,37160",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166011,,166011,10,85,"602001:1,1:20000","37159,37159,37160,37160",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
166012,,166012,10,90,"602001:1,1:20000","37159,37159,37160,37160",地宫禁卫,Hero_head/head_YiGuangMiXie,BOSS，地宫遗迹中镇守宝物的守卫
