key,Remarks,floor,groupId,bossPro,markId,bossBreakEvenNum,enemyies
1,,1,1,10,1,,m_160001_1_1;m_160001_1_2;m_160001_1_3;m_160001_1_4
2,,2,1,10,1,,m_160001_2_1;m_160001_2_2;m_160001_2_3;m_160001_2_4
3,,3,1,10,1,,m_160001_3_1;m_160001_3_2;m_160001_3_3;m_160001_3_4
4,,4,2,10,1,,m_160002_1_1;m_160002_1_2;m_160002_1_3;m_160002_1_4
5,,5,2,10,1,,m_160002_2_1;m_160002_2_2;m_160002_2_3;m_160002_2_4
6,,6,2,10,1,,m_160002_3_1;m_160002_3_2;m_160002_3_3;m_160002_3_4
7,,7,3,10,1,,m_160003_1_1;m_160003_1_2;m_160003_1_3;m_160003_1_4
8,,8,3,10,1,,m_160003_2_1;m_160003_2_2;m_160003_2_3;m_160003_2_4
9,,9,3,10,1,,m_160003_3_1;m_160003_3_2;m_160003_3_3;m_160003_3_4
10,,10,4,10,1,,m_160004_1_1;m_160004_1_2;m_160004_1_3;m_160004_1_4
11,,11,4,10,1,,m_160004_2_1;m_160004_2_2;m_160004_2_3;m_160004_2_4
12,,12,4,10,1,,m_160004_3_1;m_160004_3_2;m_160004_3_3;m_160004_3_4
13,,13,5,10,1,,m_160101_1_1;m_160101_1_2;m_160101_1_3;m_160101_1_4
14,,14,5,10,1,,m_160101_2_1;m_160101_2_2;m_160101_2_3;m_160101_2_4
15,,15,5,10,1,,m_160101_3_1;m_160101_3_2;m_160101_3_3;m_160101_3_4
16,,16,6,10,1,,m_160102_1_1;m_160102_1_2;m_160102_1_3;m_160102_1_4
17,,17,6,10,1,,m_160102_2_1;m_160102_2_2;m_160102_2_3;m_160102_2_4
18,,18,6,10,1,,m_160102_3_1;m_160102_3_2;m_160102_3_3;m_160102_3_4
19,,19,7,10,1,,m_160103_1_1;m_160103_1_2;m_160103_1_3;m_160103_1_4
20,,20,7,10,1,,m_160103_2_1;m_160103_2_2;m_160103_2_3;m_160103_2_4
21,,21,7,10,1,,m_160103_3_1;m_160103_3_2;m_160103_3_3;m_160103_3_4
22,,22,8,10,1,,m_160104_1_1;m_160104_1_2;m_160104_1_3;m_160104_1_4
23,,23,8,10,1,,m_160104_2_1;m_160104_2_2;m_160104_2_3;m_160104_2_4
24,,24,8,10,1,,m_160104_3_1;m_160104_3_2;m_160104_3_3;m_160104_3_4
25,,25,9,10,1,1,m_160201_1_1;m_160201_1_2;m_160201_1_3;m_160201_1_4
26,,26,9,10,2,,m_160201_2_1;m_160201_2_2;m_160201_2_3;m_160201_2_4
27,,27,9,10,2,,m_160201_3_1;m_160201_3_2;m_160201_3_3;m_160201_3_4
28,,28,10,10,2,,m_160202_1_1;m_160202_1_2;m_160202_1_3;m_160202_1_4
29,,29,10,10,2,,m_160202_2_1;m_160202_2_2;m_160202_2_3;m_160202_2_4
30,,30,10,10,2,,m_160202_3_1;m_160202_3_2;m_160202_3_3;m_160202_3_4
31,,31,11,10,2,,m_160203_1_1;m_160203_1_2;m_160203_1_3;m_160203_1_4
32,,32,11,10,2,,m_160203_2_1;m_160203_2_2;m_160203_2_3;m_160203_2_4
33,,33,11,10,2,,m_160203_3_1;m_160203_3_2;m_160203_3_3;m_160203_3_4
34,,34,12,10,2,,m_160204_1_1;m_160204_1_2;m_160204_1_3;m_160204_1_4
35,,35,12,10,2,,m_160204_2_1;m_160204_2_2;m_160204_2_3;m_160204_2_4
36,,36,12,10,2,,m_160204_3_1;m_160204_3_2;m_160204_3_3;m_160204_3_4
37,,37,13,10,2,,m_160301_1_1;m_160301_1_2;m_160301_1_3;m_160301_1_4
38,,38,13,10,2,,m_160301_2_1;m_160301_2_2;m_160301_2_3;m_160301_2_4
39,,39,13,10,2,,m_160301_3_1;m_160301_3_2;m_160301_3_3;m_160301_3_4
40,,40,14,10,2,,m_160302_1_1;m_160302_1_2;m_160302_1_3;m_160302_1_4
41,,41,14,10,2,,m_160302_2_1;m_160302_2_2;m_160302_2_3;m_160302_2_4
42,,42,14,10,2,,m_160302_3_1;m_160302_3_2;m_160302_3_3;m_160302_3_4
43,,43,15,10,2,,m_160303_1_1;m_160303_1_2;m_160303_1_3;m_160303_1_4
44,,44,15,10,2,,m_160303_2_1;m_160303_2_2;m_160303_2_3;m_160303_2_4
45,,45,15,10,2,,m_160303_3_1;m_160303_3_2;m_160303_3_3;m_160303_3_4
46,,46,16,10,4,,m_160304_1_1;m_160304_1_2;m_160304_1_3;m_160304_1_4
47,,47,16,10,4,,m_160304_2_1;m_160304_2_2;m_160304_2_3;m_160304_2_4
48,,48,16,10,4,,m_160304_3_1;m_160304_3_2;m_160304_3_3;m_160304_3_4
