id,Remarks,cnKey,value
NET_ERROR,,NET_ERROR,"网络错误,请重新注册"
LOGIN_ERROR,,LOGIN_ERROR,登录失败
EQUIP,,EQUIP,装备
DETAIL,,DETAIL,详情
USE,,USE,使用
COMPOSE,,COMPOSE,合成
BATCH_COMPOSE,,BATCH_COMPOSE,批量合成
HP_MAX,,HP_MAX,最大生命值提升
MAGIC_ENHANCE_ADD_EXP,,MAGIC_ENHANCE_ADD_EXP,法宝锻造提供经验
LESS_ITEM_NUM_CANNOT_COMPOSE,,LESS_ITEM_NUM_CANNOT_COMPOSE,合成材料不足
LESS_COIN_USE_GOLDHAND,,LESS_COIN_USE_GOLDHAND,"金币不足,是否使用点金手"
SELL_ITEM_SUCCESS,,SELL_ITEM_SUCCESS,出售成功
COMPOSE_ITEM_SUCCESS,,COMPOSE_ITEM_SUCCESS,合成成功
CHANGE_INLAY_GEM,,CHANGE_INLAY_GEM,更换宝石会摧毁已镶嵌宝石，你确定要这么做吗？
INLAY_GEM_SUCCESS,,INLAY_GEM_SUCCESS,镶嵌成功
ENHANCE_SUCCESS,,ENHANCE_SUCCESS,强化成功
COMPOSE_NEED_PIECE,,COMPOSE_NEED_PIECE,合成需要碎片
COMPOSE_ERROR,,COMPOSE_ERROR,该物品不能合成新物品
FUNCTION_NOT_OPEN,,FUNCTION_NOT_OPEN,技术玩命开发中
NOT_EQUIP,,NOT_EQUIP,主角等级{0}开启该装备
MESSAGE_TITLE,,MESSAGE_TITLE,提示
CHAT_COST_TIPS,,CHAT_COST_TIPS,在世界频道发言将花费{1}钻石，是否继续
CHAT_FREE,,CHAT_FREE,免费
CHAT_SELECT_PERSON,,CHAT_SELECT_PERSON,请先选择私聊对象
CHAT_SPEAK_FAST,,CHAT_SPEAK_FAST,发言太快
CHAT_NO_MESSAGE,,CHAT_NO_MESSAGE,请输入内容
CHAT_NOT_ENOURGH_CRYSTAL,,CHAT_NOT_ENOURGH_CRYSTAL,钻石不足
MAGIC_LESS_ITEM,,MAGIC_LESS_ITEM,材料不足
MAGIC_ENOURGH_ITEM,,MAGIC_ENOURGH_ITEM,材料已够，请熔炼
MAGIC_SMELT_NEED,,MAGIC_SMELT_NEED,还需要{1}个{2}级法宝熔炼
MAGIC_SMELT_GET,,MAGIC_SMELT_GET,熔炼获得{1}级法宝
LACK_OF_ITEM,,LACK_OF_ITEM,配置表没有此物品
FREE_TIME,,FREE_TIME,免费
CHANGE_INFO_SUCCEED,,CHANGE_INFO_SUCCEED,变更成功
48,,48,拥有{1}件
49,,49,放入材料熔炼得{1}级法宝
50,,50,50~60PVE活动
51,,51,主角{1}级开启
52,,52,"重置关卡进入次数需要花费{1}钻石
是否继续？（今日已重置{2}次）"
53,,53,今日已重置{1}次，重置次数不足，提升贵族等级可获得更多次数
54,,54,今日次数耗尽
61,,61,61~70邮件相关
62,,62,关闭
63,,63,领取成功
VIP_DESC,,VIP_DESC,累计充值[1]钻石即可享受该级特权。包含[2]等级所有特权。
VIP_DESC_ONE,,VIP_DESC_ONE,累计充值[1]钻石即可享受该级特权。
CHOOSE_FULIN_MATERIAL,,CHOOSE_FULIN_MATERIAL,请选择附灵材料
FULIN_LEVEL_UPMAX,,FULIN_LEVEL_UPMAX,已附灵至顶级
WHITE_EQUIP_CANNOT_FULIN,,WHITE_EQUIP_CANNOT_FULIN,白色品质装备不能附灵
CHOOSE_EQUIP_TIPS,,CHOOSE_EQUIP_TIPS,请选择装备
HAS_NOT_MATERIAL,,HAS_NOT_MATERIAL,此材料已用完
GOLD_NOT_ENOUGH,,GOLD_NOT_ENOUGH,金币不足
NOT_CHOOSE_MAT,,NOT_CHOOSE_MAT,未添加材料
SKILL_POINT_FULL,,SKILL_POINT_FULL,（点数已满）
JINHUA_LIFE_ADD,,JINHUA_LIFE_ADD,（生命+
JINHUA_ATTACK_ADD,,JINHUA_ATTACK_ADD,（攻击+
JINHUA_TIPO_ADD,,JINHUA_TIPO_ADD,（物理+
JINHUA_JINGSHEN_ADD,,JINHUA_JINGSHEN_ADD,（法术+
FAN_KUO_HAO,,FAN_KUO_HAO,）
VIP_NOT_ENOUGH,,VIP_NOT_ENOUGH,贵族等级不足
CAN_EQUIP,,CAN_EQUIP,可装备
CAN_COMPOSE,,CAN_COMPOSE,可合成
CANNOT_EQUIP,,CANNOT_EQUIP,未装备
HAS_NOT_EQUIP,,HAS_NOT_EQUIP,无装备
BUY_HERO_SKILL,,BUY_HERO_SKILL,购买{1}技能点需花费{2}钻石，是否继续
WORSHIP_RULE,,WORSHIP_RULE,"1、膜拜者列表显示膜拜者信息，有膜拜者才有奖励
2、一个膜拜者对应一份奖励，领取的奖励有上限值
3、奖励跟随论道场排名的刷新时间，每天下午5点重置奖励
4、每隔一段时间会更换奖励类型"
WORSHIP_INTRO,,WORSHIP_INTRO,成为论道场排名第一就可让全服玩家膜拜，被膜拜的玩家收到来自膜拜者的奖励。
SECRET_INTRODUCE,,SECRET_INTRODUCE,"1，在帮派秘境，你可以选择探索多个秘境，也能搜索并掠夺被人的秘境。
2，你需要派遣英雄防守自己的秘境，主角等级越高，探索资源的越多
3，秘境可以探索到帮派物资，用于帮派技能升级，该资源的获取与主角等级无关
4，每个秘境最多可以容纳3名帮派成员共同防守，你可以通过邀请来得到帮派成员的帮助，所有防御者都可以探索资源
5，主角可以同时驻守多个秘境，你可以随时更换每个秘境的驻守英雄
6，所有秘境都可以探索1至10小时，全部探索完毕后，英雄会将未被掠夺的资源运回你的仓库
7，所有秘境探索完成后，都有可能找到一些钻石宝箱，让探索者获得一些钻石
8，如果在限定时间内击败所有防守者，就可以掠夺对方已探索的部分资源
9，如果探索过程中遭到袭击并防守失败，你会损失一部分已经探索的资源，但不会失去这个秘境
10，被敌人掠夺后的秘境会得到一定保护时间，在保护时间内，其他玩家无法搜索到以及进攻这个秘境
11，你也可以搜索别人的秘境，并向这些秘境发起多次攻击。所有战斗结束之前，攻守双方的英雄与能量值不会重置
12，主角无法单独发起攻击，我方主角死亡后会在下一场战斗时恢复部分血量
13，每次攻击其他玩家的秘境都需要消耗2块秘境钥石，秘境钥石会根据时间恢复
14，每当自己的秘境被攻击，都能根据防守战斗场次数获得一定的秘境钥石。通过这种方式每天最多能获得20块秘境钥石"
SECRET_INTRODUCE_TITLE,,SECRET_INTRODUCE_TITLE,远古文明开创了这个不为人知的地下秘境，无尽的虚空入口犹如宇宙中的繁星，有人认为早在盘古开天之前，秘境世界就已经存在。当这些沉寂了亿万年的宝藏重见天日，探索者们惊奇地发现，远古人们的黄金与砖石依然历久弥新，一尘不染。但与黄金一样永恒不变的，是人的贪婪。
SECRET_RECORD_CONTENT,,SECRET_RECORD_CONTENT,你的队伍抵御了敌人{1}波攻击，为你赢得了秘境钥石的奖励
WORSHIP_REWARD_TIME,,WORSHIP_REWARD_TIME,每天晚上9点发放奖励至邮箱
WORSHIP_POWER_SPILL,,WORSHIP_POWER_SPILL,你的体力已达到上限，是否继续领取奖励
64,,64,花费[1]钻石，变更性别。是否继续？
65,,65,花费[1]钻石，变更职业。变更后返还已穿装备。是否继续？
66,,66,花费[1]钻石，变更性别与职业。变更后返还已穿装备。是否继续？
SECRET_ENTER_LIMIT,,SECRET_ENTER_LIMIT,加入帮派才能进入帮派秘境
INLAY_Level,,INLAY_Level,英雄等级不足
ARENA_MODETIMES_TIP,,ARENA_MODETIMES_TIP,"购买次数已满，请前往升级贵族等级,以获得更多次数！"
ARENA_BATTLETIMES_CONSUME_TIP,,ARENA_BATTLETIMES_CONSUME_TIP,是否花费{0}钻石购买论道场门票？
ARENA_BATTLETIMES_RESET,,ARENA_BATTLETIMES_RESET,需要贵族等级3才能重置论道场 ，是否前往充值？
BATTLETOWERDTIP,,BATTLETOWERDTIP,"1.挑战或扫荡将会有几率触发神秘首领，一天最多可出现3个神秘首领。
2.攻打神秘首领，不消耗任何资源。
3.每个神秘首领都非常特殊，需要适合的英雄去挑战。
4.神秘首领会掉落非常丰厚的奖励。
5.挑战神秘首领胜利后，首领消失。如若攻打失败，可以重整队伍继续挑战，次数不限。
6.神秘首领刷出后，会存活2小时，2小时内若未挑战胜利，首领消失。"
BATTLETOWERDREST_TIP,,BATTLETOWERDREST_TIP,你确定要重置封神台吗？
Guild_pos_1,,,帮主
Guild_pos_2,,,副帮主
Guild_pos_3,,,官员
Guild_pos_4,,,成员
Guild_online,,,[25ae00]在线[-]
Guild_offline,,,[2f2f2f]离线[-]
Consume_item_1,,,金币
Consume_item_2,,,钻石
DonateIncomeType_1,,," +帮派物资"
DonateIncomeType_2,,," +帮派经验"
DonateIncomeType_3,,," +帮派贡献"
NOT_IN_RANK,,,未上榜
GROUP_LEAVE_TIP,,,离开帮派后，帮派技能的属性加成将暂时消失，直到再次加入新的帮派。确定要进行操作吗？
GUILD_CREATE_EMPTYNAME,,,帮派名不能为空
GROUP_KICK_OFF_SURE,,,是否将该成员踢出帮派
GROUP_TRANSFER_LEADER_SURE,,,是否转让帮主
GROUP_CANCEL_NOMINATE,,,是否取消任命
GROUP_ASSISTANT_LEADER,,,是否任命副帮主
GROUP_OFFICER,,,是否任命官员
GROUP_ALL_ACCEPT,,,是否一键接收申请
GROUP_ALL_REJECT,,,是否一键拒绝申请
EMBATTLE_TIPS_DEAD_HERO,,,已阵亡英雄无法出战
EMBATTLE_TIPS_DEFEND_HERO,,,已驻守英雄无法出战
EMBATTLE_TIPS_NOT_ENOUGH_5_HERO,,,上阵未满5人，是否开始战斗？
EMBATTLE_TIPS_HERO_COUNT_BATTLE,,,主角无法单独出战
EMBATTLE_TIPS_XX_HERO_NOT_GO_TO_BATTLE,,,还有{0}人未上阵，是否开始战斗？
EMBATTLE_TIPS_ROLE_NUM_MORE_THAN_MAX,,,最多只能上阵5人
EMBATTLE_TIPS_PLAYER_MUST_BATTLE,,,主角必须上阵战斗
MAGIC_BAOJI_TIP,,,暴击*{0}
MAGIC_NO_ITEM,,,物品已耗尽
MAGIC_MAX_EXP,,,法宝等级不能超过主角等级
MAGIC_LEVELUP_TIP,,,升级了
MAGIC_MAX_ADANCED,,,跟随主角等级
N0_GOODS_TIP,,,没有物品
MAGIC_ADVANCE_TIP,,,强化满级可进阶
MAGIC_STRENGTH_TIP,,,进阶后可继续强化
MAGIC_QUALITY_S,,,仙器
MAGIC_QUALITY_A,,,珍器
MAGIC_QUALITY_B,,,名器
MAGIC_QUALITY_C,,,凡器
NewGuide_NonTargetTip,,,请按照指示操作
ArenaScoreRule_Tip,,,胜利：积分+{0}  失败：积分+{1}
ArenaScore_Tip,,,在论道场与对手战斗皆可获得积分，每天5:00重置.
PVERestTip1,,,重置次数不足，提升贵族等级可获取更多次数
PVERestTip2,,,重置次数不足，提升贵族等级可获取更多次数。（今日已重置{0}次）
PVERestTip3,,,重置关卡进入次数需要花费{0}钻石，是否重置？(今日已重置{1}次)
PVERestTip4,,,钻石不足，是否充值？
NET_WAIT_TIP,,,正在拼命加载中
NET_CHECK_UPGRADE,,,检测更新中
BATTLEMAIN_RESET,,,次数不足，无法重置
EQUIP_ATTACH_MAX_EXP,,EQUIP_ATTACH_MAX_EXP,经验已满
COPY_NOT_OPEN,,COPY_NOT_OPEN,副本章节尚未开启
EXTRACT_RESOURCE,,,解压资源中(不消耗流量)
BATTLE_RATE_TIP_1,,,主角{0}级开启{1}倍加速
BATTLE_RATE_TIP_2,,,主角{0}级或贵族{1}开启{2}倍加速
TIPS_CONNECT,,TIPS_CONNECT,网络连接中
FASHION_PAY_STR,,,{0}天
CAMERA_EFFECT_TIP,,,战斗加速开启时默认关闭特写镜头
TAOIST_LEVELUP,,,等级提升
TAOIST_LEVEL_CRITICAL,,,{0} 倍暴击
TAOIST_LEVEL_MAX,,,已经达到等级上限
HeroAdvanceMaxLevel,,,已经是最高级了
HeroAdvanceChangeCareer,,,转职后才能进阶
COMMODITY_SELL_OUT,,,已经卖完了
FEED_BACK_DEFAULT_COLLECTION,,,"此处只做建议收集,若您有其他问题,请选择""充值问题"",""游戏异常""等问题类型提交,谢谢您的配合."
INVALID_CHARGE_TIME,,,输入充值时间出错
INVALID_CHARGE_MONEY,,,输入充值金额出错
INVALID_PHONE,,,输入电话号码出错
INVALID_QUESTION,,,请输入问题描述
INVALID_COLLECTION,,,请输入建议
INVALID_REPORT_NAME,,,请输入举报的玩家昵称
INVALID_REPORT_BEHAVIOR,,,请输入举报的玩家行为
TAOIST_OPENLEVEL_TIP,,,{0}级开放{1}阶道术
FIXEQUIP_STAR_REDUCE_TIP,,,降星成功，返还的觉醒材料已通过邮件发送
FIXEQUIP_STAR_REDUCE_ASK,,,神器降星需消耗 [00ff00]{0}[-] 钻石，降星后会通过邮件返还全部觉醒材料，是否继续？
GroupSecretInDefend,,,驻守英雄无法出战
FIXEQUIP_QUICKADD_ITEMLACK,,,缺少强化材料，无法快速添加
FIXEQUIP_QUICKADD_LEVELCAP,,,神器强化等级不能超过玩家等级
FIXEQUIP_STAR_REDUCE_LOWEST,,,神器星级已经最低，无法继续降星
PEAK_NO_ENEMY,,,没有匹配到对手
PEAK_TEAM_NUM_0,,,{0}队({1}/{2})
PEAKARENA_HOUR,,,小时
PEAKARENA_LEFTTIME,,,今日剩余次数:
PEAKARENA_CDTIME,,,冷却时间:
PEAKARENA_CHALLENGE,,,挑战
PEAKARENA_RESET,,,重置
PEAKARENA_BUY,,,购买
PeakEmbattleMoveHeroTip,,,{0}已经在{1}队上阵，是否要移动到这支队伍？
PeakResult_TimeCnt,,,下一场:{0}秒
PEAK_ARENA_BUY_CHALLENGE_TIP,,,是否花费{0}钻石购买1次挑战次数？
FIXEQUIP_LEVELUP_ITEMLACK,,,请先添加神器强化材料
PEAK_TEAM_NOT_CHANGE,,,放弃了巅峰竞技场阵容调整
Peak_NextBtn_Transition,,,下一步
Peak_NextBtn_Final,,,战斗结束
CONDITION_UNREACH,,,前提条件未达到
LOW_LEVEL,,,等级不足
NO_EXCHANGE_BUFF,,,没有可以兑换的战斗属性
NO_REWARD_BOX,,,没有可以领取的宝箱
NO_REWARD_CAN_GET,,,没有可以领取的奖励
NOT_ENOUGH_GOLD,,,金币不足
NOT_ENOUGH_STAR,,,没有足够的星星
TIMES_NOT_ENOUGH,,,挑战次数不足
DATA_ERROR,,,数据异常
PEAK_LOSE_UPGRADE_TIP,,,巅峰竞技场战斗中无法进行该跳转
Recommend_Fight_Power_NotEnough,,,战斗力不足，是否继续挑战？
Recommend_Fight_Power_Less_Tip,,,提升战力
Recommend_Fight_Power_Normal_Tip,,,继续战斗
INVALID_CHARGE_REWARD,,,请输入未获得道具
