key,name,Remarks,copyID,id,enemy1,enemy2,enemy3,enemy4,enemy5,bossIndex,bossID,boss2ID,boss3ID
110000,,110000_1,110000,110000,m_190001_2_1,,,,,1,m_190001_2_1,Hero_head/head_ShangGuMoShen,
120101,,120101_1,120101,120101,m_120101_1_1,,,,,1,m_120101_1_1,Hero_head/head_DaoXingTianZun,
120201,,120201_3,120201,120201,m_120201_3_1,,,,,1,m_120201_3_1,Hero_head/head_WeiHu,
120202,,120202_1,120202,120202,m_120202_1_1,,,,,1,m_120202_1_1,Hero_head/head_ShenYuanTongShuai,
120301,,120301_3,120301,120301,m_120301_3_1,m_120301_3_2,,,,2,m_120301_3_2,Hero_head/head_ChenQi,
120302,,120302_3,120302,120302,m_120302_3_1,m_120302_3_2,m_120302_3_3,m_120302_3_4,,4,m_120302_3_4,Hero_head/head_LongJiGongZhu,
120303,,120303_1,120303,120303,m_120303_1_1,,,,,1,m_120303_1_1,Hero_head/head_CangQiongShouWei,
120401,,120401_3,120401,120401,m_120401_3_1,m_120401_3_2,m_120401_3_3,,,3,m_120401_3_3,Hero_head/head_JinZha,
120402,,120402_3,120402,120402,m_120402_3_1,,,,,1,m_120402_3_1,Hero_head/head_MuZha,
120403,,120403_3,120403,120403,m_120403_3_1,m_120403_3_2,m_120403_3_3,m_120403_3_4,,4,m_120403_3_4,Hero_head/head_LiJing,
120404,,120404_3,120404,120404,m_120404_3_1,m_120404_3_2,m_120404_3_3,m_120404_3_4,,4,m_120404_3_4,Hero_head/head_XiMeiEr,
120405,,120405_1,120405,120405,m_120405_1_1,,,,,1,m_120405_1_1,Hero_head/head_SanTouLongYan,
120501,,120501_3,120501,120501,m_120501_3_1,m_120501_3_2,,,,1,m_120501_3_1,Hero_head/head_MoLiHong,
120502,,120502_3,120502,120502,m_120502_3_1,m_120502_3_2,m_120502_3_3,,,1,m_120502_3_1,Hero_head/head_MoLiQing,
120503,,120503_1,120503,120503,m_120503_1_1,,,,,1,m_120503_1_1,Hero_head/head_LingHunLieShou,
120504,,120504_3,120504,120504,m_120504_3_1,,,,,1,m_120504_3_1,Hero_head/head_MoLiHai,
120505,,120505_3,120505,120505,m_120505_3_1,m_120505_3_2,m_120505_3_3,m_120505_3_4,,4,m_120505_3_4,Hero_head/head_XiMeiEr,
120506,,120506_1,120506,120506,m_120506_1_1,,,,,1,m_120506_1_1,Hero_head/head_LieDiZhiQuan,
120601,,120601_3,120601,120601,m_120601_3_1,,,,,1,m_120601_3_1,Hero_head/head_WuJi,
120602,,120602_3,120602,120602,m_120602_3_1,m_120602_3_2,m_120602_3_3,,,3,m_120602_3_3,Hero_head/head_LiXingBa,
120603,,120603_1,120603,120603,m_120603_1_1,,,,,1,m_120603_1_1,Hero_head/head_ShenYuanTongShuai,
120604,,120604_3,120604,120604,m_120604_3_1,m_120604_3_2,m_120604_3_3,m_120604_3_4,,4,m_120604_3_4,Hero_head/head_ZhangTianJun,
120605,,120605_3,120605,120605,m_120605_3_1,,,,,1,m_120605_3_1,Hero_head/head_ShenGongBao,
120606,,120606_1,120606,120606,m_120606_1_1,,,,,1,m_120606_1_1,Hero_head/head_AnHongMoXiang,
120701,,120701_3,120701,120701,m_120701_3_1,m_120701_3_2,m_120701_3_3,m_120701_3_4,,4,m_120701_3_4,Hero_head/head_LiXingBa,
120702,,120702_3,120702,120702,m_120702_3_1,m_120702_3_2,m_120702_3_3,,,1,m_120702_3_1,Hero_head/head_YangSen,
120703,,120703_1,120703,120703,m_120703_1_1,,,,,1,m_120703_1_1,Hero_head/head_AnShiMoShen,
120704,,120704_3,120704,120704,m_120704_3_1,m_120704_3_2,m_120704_3_3,m_120704_3_4,,4,m_120704_3_4,Hero_head/head_GaoYouGan,
120705,,120705_3,120705,120705,m_120705_3_1,m_120705_3_2,m_120705_3_3,,,1,m_120705_3_1,Hero_head/head_DongTianJun,
120706,,120706_1,120706,120706,m_120706_1_1,,,,,1,m_120706_1_1,Hero_head/head_TianLeiJinJiu,
120801,,120801_3,120801,120801,m_120801_3_1,m_120801_3_2,m_120801_3_3,m_120801_3_4,,4,m_120801_3_4,Hero_head/head_GaoYouGan,
120802,,120802_3,120802,120802,m_120802_3_1,m_120802_3_2,m_120802_3_3,,,1,m_120802_3_1,Hero_head/head_DongTianJun,
120803,,120803_1,120803,120803,m_120803_1_1,,,,,1,m_120803_1_1,Hero_head/head_SanTouLongYan,
120804,,120804_3,120804,120804,m_120804_3_1,m_120804_3_2,m_120804_3_3,,,3,m_120804_3_3,Hero_head/head_JinGuangShengMu,
120805,,120805_3,120805,120805,m_120805_3_1,m_120805_3_2,m_120805_3_3,,,3,m_120805_3_3,Hero_head/head_DaJi,
120806,,120806_1,120806,120806,m_120806_1_1,,,,,1,m_120806_1_1,Hero_head/head_EMoZhiXin,
120901,,120901_3,120901,120901,m_120901_3_1,m_120901_3_2,m_120901_3_3,m_120901_3_4,,4,m_120901_3_4,Hero_head/head_ZhangTianJun,
120902,,120902_3,120902,120902,m_120902_3_1,m_120902_3_2,m_120902_3_3,,,1,m_120902_3_1,Hero_head/head_DongTianJun,
120903,,120903_1,120903,120903,m_120903_1_1,,,,,1,m_120903_1_1,Hero_head/head_LingHunLieShou,
120904,,120904_3,120904,120904,m_120904_3_1,m_120904_3_2,m_120904_3_3,m_120904_3_4,,4,m_120904_3_4,Hero_head/head_YuanTianJun,
120905,,120905_3,120905,120905,m_120905_3_1,m_120905_3_2,m_120905_3_3,,,3,m_120905_3_3,Hero_head/head_WenZhong,
120906,,120906_1,120906,120906,m_120906_1_1,,,,,1,m_120906_1_1,Hero_head/head_YuanGuDiLing,
121001,,121001_3,121001,121001,m_121001_3_1,m_121001_3_2,m_121001_3_3,,,3,m_121001_3_3,Hero_head/head_JinGuangShengMu,
121002,,121002_3,121002,121002,m_121002_3_1,m_121002_3_2,m_121002_3_3,,,3,m_121002_3_3,Hero_head/head_YuanTianJun,
121003,,121003_1,121003,121003,m_121003_1_1,,,,,1,m_121003_1_1,Hero_head/head_ShenYuanTongShuai,
121004,,121004_3,121004,121004,m_121004_3_1,m_121004_3_2,m_121004_3_3,m_121004_3_4,,4,m_121004_3_4,Hero_head/head_ZhangTianJun,
121005,,121005_3,121005,121005,m_121005_3_1,m_121005_3_2,m_121005_3_3,,,3,m_121005_3_3,Hero_head/head_WenZhong,
121006,,121006_1,121006,121006,m_121006_1_1,,,,,1,m_121006_1_1,Hero_head/head_FengXueNvShen,
121101,,121101_3,121101,121101,m_121101_3_1,,,,,1,m_121101_3_1,Hero_head/head_YangJian,
121102,,121102_3,121102,121102,m_121102_3_1,m_121102_3_2,m_121102_3_3,,,3,m_121102_3_3,Hero_head/head_YunZhongZi,
121103,,121103_1,121103,121103,m_121103_1_1,,,,,1,m_121103_1_1,Hero_head/head_LieDiZhiQuan,
121104,,121104_3,121104,121104,m_121104_3_1,m_121104_3_2,m_121104_3_3,m_121104_3_4,,4,m_121104_3_4,Hero_head/head_GuangChengZi,
121105,,121105_3,121105,121105,m_121105_3_1,,,,,1,m_121105_3_1,Hero_head/head_DaoXingTianZun,
121106,,121106_1,121106,121106,m_121106_1_1,,,,,1,m_121106_1_1,Hero_head/head_JuDunZhanShi,
121201,,121201_3,121201,121201,m_121201_3_1,m_121201_3_2,m_121201_3_3,,,3,m_121201_3_3,Hero_head/head_LingBaoDaFaShi,
121202,,121202_3,121202,121202,m_121202_3_1,m_121202_3_2,m_121202_3_3,,,3,m_121202_3_3,Hero_head/head_LeiZhenZi,
121203,,121203_1,121203,121203,m_121203_1_1,,,,,1,m_121203_1_1,Hero_head/head_SanTouLongYan,
121204,,121204_3,121204,121204,m_121204_3_1,,,,,1,m_121204_3_1,Hero_head/head_RanDeng,
121205,,121205_3,121205,121205,m_121205_3_1,,,,,1,m_121205_3_1,Hero_head/head_ShenGongBao,
121206,,121206_1,121206,121206,m_121206_1_1,,,,,1,m_121206_1_1,Hero_head/head_LieDiZhiQuan,
121301,,121301_3,121301,121301,m_121301_3_1,m_121301_3_2,m_121301_3_3,m_121301_3_4,,3,m_121301_3_3,Hero_head/head_ShenGongBao,
121302,,121302_3,121302,121302,m_121302_3_1,m_121302_3_2,m_121302_3_3,m_121302_3_4,,4,m_121302_3_4,Hero_head/head_MoLiHai,
121303,,121303_1,121303,121303,m_121303_1_1,,,,,1,m_121303_1_1,Hero_head/head_TianLeiJinJiu,
121304,,121304_3,121304,121304,m_121304_3_1,m_121304_3_2,m_121304_3_3,m_121304_3_4,,4,m_121304_3_4,Hero_head/head_MoLiShou,
121305,,121305_3,121305,121305,m_121305_3_1,m_121305_3_2,m_121305_3_3,m_121305_3_4,,1,m_121305_3_1,Hero_head/head_YangJian,
121306,,121306_1,121306,121306,m_121306_1_1,,,,,1,m_121306_1_1,Hero_head/head_LieDiZhiQuan_Hong,
121401,,121401_3,121401,121401,m_121401_3_1,m_121401_3_2,m_121401_3_3,m_121401_3_4,,3,m_121401_3_3,Hero_head/head_ShenGongBao,
121402,,121402_3,121402,121402,m_121402_3_1,m_121402_3_2,m_121402_3_3,m_121402_3_4,,4,m_121402_3_4,Hero_head/head_MoLiHai,
121403,,121403_1,121403,121403,m_121403_1_1,,,,,1,m_121403_1_1,Hero_head/head_YuanGuDiLing,
121404,,121404_3,121404,121404,m_121404_3_1,m_121404_3_2,m_121404_3_3,m_121404_3_4,,4,m_121404_3_4,Hero_head/head_MoLiShou,
121405,,121405_3,121405,121405,m_121405_3_1,m_121405_3_2,m_121405_3_3,m_121405_3_4,,3,m_121405_3_3,Hero_head/head_ChenQi,
121406,,121406_1,121406,121406,m_121406_1_1,,,,,1,m_121406_1_1,Hero_head/head_ShenYuanTongShuai,
121501,,121501_3,121501,121501,m_121501_3_1,m_121501_3_2,m_121501_3_3,m_121501_3_4,,3,m_121501_3_3,Hero_head/head_ShenGongBao,
121502,,121502_3,121502,121502,m_121502_3_1,m_121502_3_2,m_121502_3_3,m_121502_3_4,,4,m_121502_3_4,Hero_head/head_XiMeiEr,
121503,,121503_1,121503,121503,m_121503_1_1,,,,,1,m_121503_1_1,Hero_head/head_TianLeiJinJiu,
121504,,121504_3,121504,121504,m_121504_3_1,m_121504_3_2,m_121504_3_3,m_121504_3_4,,4,m_121504_3_4,Hero_head/head_MoLiShou,
121505,,121505_3,121505,121505,m_121505_3_1,m_121505_3_2,m_121505_3_3,m_121505_3_4,,1,m_121505_3_1,Hero_head/head_ChenQi,
121506,,121506_1,121506,121506,m_121506_1_1,,,,,1,m_121506_1_1,Hero_head/head_JuDunZhanShi,
121601,,121601_3,121601,121601,m_121601_3_1,m_121601_3_2,m_121601_3_3,m_121601_3_4,,4,m_121601_3_4,Hero_head/head_ZhangTianJun,
121602,,121602_3,121602,121602,m_121602_3_1,m_121602_3_2,m_121602_3_3,m_121602_3_4,,3,m_121602_3_3,Hero_head/head_DongTianJun,
121603,,121603_1,121603,121603,m_121603_1_1,,,,,1,m_121603_1_1,Hero_head/head_LingHunLieShou,
121604,,121604_3,121604,121604,m_121604_3_1,m_121604_3_2,m_121604_3_3,m_121604_3_4,,4,m_121604_3_4,Hero_head/head_MoLiShou,
121605,,121605_3,121605,121605,m_121605_3_1,m_121605_3_2,m_121605_3_3,m_121605_3_4,,3,m_121605_3_3,Hero_head/head_WenZhong,
121606,,121606_1,121606,121606,m_121606_1_1,,,,,1,m_121606_1_1,Hero_head/head_YuanGuDiLing,
110101,,110101_1,110101,110101,m_110101_1_1,,,,,1,m_110101_1_1,Hero_head/head_ShenGongBao,
110102,,110102_1,110102,110102,m_110102_1_1,,,,,1,m_110102_1_1,Hero_head/head_DaoXingTianZun,
110201,,110201_3,110201,110201,m_110201_3_1,,,,,1,m_110201_3_1,Hero_head/head_WeiHu,
110202,,110202_3,110202,110202,m_110202_3_1,m_110202_3_2,m_110202_3_3,m_110202_3_4,,4,m_110202_3_4,Hero_head/head_300015,
110203,,110203_1,110203,110203,m_110203_1_1,,,,,1,m_110203_1_1,Hero_head/head_ShenYuanTongShuai,
110301,,110301_3,110301,110301,m_110301_3_1,m_110301_3_2,m_110301_3_3,m_110301_3_4,,4,m_110301_3_4,Hero_head/head_BiCuiXianZi,
110302,,110302_3,110302,110302,m_110302_3_1,m_110302_3_2,,,,2,m_110302_3_2,Hero_head/head_ChenQi,
110303,,110303_3,110303,110303,m_110303_3_1,m_110303_3_2,m_110303_3_3,m_110303_3_4,,4,m_110303_3_4,Hero_head/head_JiXiePaoShou,
110304,,110304_3,110304,110304,m_110304_3_1,m_110304_3_2,m_110304_3_3,m_110304_3_4,,4,m_110304_3_4,Hero_head/head_LongJiGongZhu,
110305,,110305_3,110305,110305,m_110305_3_1,m_110305_3_2,m_110305_3_3,m_110305_3_4,,4,m_110305_3_4,Hero_head/head_BiCuiXianZi,
110306,,110306_1,110306,110306,m_110306_1_1,,,,,1,m_110306_1_1,Hero_head/head_CangQiongShouWei,
110401,,110401_3,110401,110401,m_110401_3_1,m_110401_3_2,m_110401_3_3,m_110401_3_4,,4,m_110401_3_4,Hero_head/head_YiHuaHaiLing,
110402,,110402_3,110402,110402,m_110402_3_1,m_110402_3_2,m_110402_3_3,,,3,m_110402_3_3,Hero_head/head_JinZha,
110403,,110403_3,110403,110403,m_110403_3_1,m_110403_3_2,m_110403_3_3,m_110403_3_4,,4,m_110403_3_4,Hero_head/head_YingShenYaoNv,
110404,,110404_3,110404,110404,m_110404_3_1,,,,,1,m_110404_3_1,Hero_head/head_MuZha,
110405,,110405_3,110405,110405,m_110405_3_1,m_110405_3_2,m_110405_3_3,m_110405_3_4,,4,m_110405_3_4,Hero_head/head_JiXieShouWei,
110406,,110406_3,110406,110406,m_110406_3_1,m_110406_3_2,m_110406_3_3,m_110406_3_4,,4,m_110406_3_4,Hero_head/head_LiJing,
110407,,110407_3,110407,110407,m_110407_3_1,m_110407_3_2,m_110407_3_3,m_110407_3_4,,4,m_110407_3_4,Hero_head/head_JiXiePaoShou,
110408,,110408_3,110408,110408,m_110408_3_1,m_110408_3_2,m_110408_3_3,m_110408_3_4,,4,m_110408_3_4,Hero_head/head_XiMeiEr,
110409,,110409_3,110409,110409,m_110409_3_1,m_110409_3_2,m_110409_3_3,m_110409_3_4,,4,m_110409_3_4,Hero_head/head_JiXiePaoShou,
110410,,110410_1,110410,110410,m_110410_1_1,,,,,1,m_110410_1_1,Hero_head/head_SanTouLongYan,
110501,,110501_3,110501,110501,m_110501_3_1,m_110501_3_2,m_110501_3_3,m_110501_3_4,,4,m_110501_3_4,Hero_head/head_BiCuiXianZi,
110502,,110502_3,110502,110502,m_110502_3_1,m_110502_3_2,,,,1,m_110502_3_1,Hero_head/head_MoLiHong,
110503,,110503_3,110503,110503,m_110503_3_1,m_110503_3_2,m_110503_3_3,m_110503_3_4,,4,m_110503_3_4,Hero_head/head_BiCuiXianZi,
110504,,110504_3,110504,110504,m_110504_3_1,m_110504_3_2,m_110504_3_3,,,1,m_110504_3_1,Hero_head/head_MoLiQing,
110505,,110505_3,110505,110505,m_110505_3_1,m_110505_3_2,m_110505_3_3,m_110505_3_4,,4,m_110505_3_4,Hero_head/head_BiCuiXianZi,
110506,,110506_1,110506,110506,m_110506_1_1,,,,,1,m_110506_1_1,Hero_head/head_LingHunLieShou,
110507,,110507_3,110507,110507,m_110507_3_1,m_110507_3_2,m_110507_3_3,m_110507_3_4,,4,m_110507_3_4,Hero_head/head_WanGuShiLing,
110508,,110508_3,110508,110508,m_110508_3_1,,,,,1,m_110508_3_1,Hero_head/head_MoLiHai,
110509,,110509_3,110509,110509,m_110509_3_1,m_110509_3_2,m_110509_3_3,m_110509_3_4,,4,m_110509_3_4,Hero_head/head_YingShenYaoNv,
110510,,110510_3,110510,110510,m_110510_3_1,m_110510_3_2,m_110510_3_3,m_110510_3_4,,4,m_110510_3_4,Hero_head/head_XiMeiEr,
110511,,110511_3,110511,110511,m_110511_3_1,m_110511_3_2,m_110511_3_3,m_110511_3_4,,4,m_110511_3_4,Hero_head/head_YingShenYaoNv,
110512,,110512_1,110512,110512,m_110512_1_1,,,,,1,m_110512_1_1,Hero_head/head_LieDiZhiQuan,
110601,,110601_3,110601,110601,m_110601_3_1,m_110601_3_2,m_110601_3_3,m_110601_3_4,,4,m_110601_3_4,Hero_head/head_300015,
110602,,110602_3,110602,110602,m_110602_3_1,,,,,1,m_110602_3_1,Hero_head/head_WuJi,
110603,,110603_3,110603,110603,m_110603_3_1,m_110603_3_2,m_110603_3_3,m_110603_3_4,,4,m_110603_3_4,Hero_head/head_KunPeng,
110604,,110604_3,110604,110604,m_110604_3_1,m_110604_3_2,m_110604_3_3,,,3,m_110604_3_3,Hero_head/head_LiXingBa,
110605,,110605_3,110605,110605,m_110605_3_1,m_110605_3_2,m_110605_3_3,,,3,m_110605_3_3,Hero_head/head_LiXingBa,
110606,,110606_1,110606,110606,m_110606_1_1,,,,,1,m_110606_1_1,Hero_head/head_ShenYuanTongShuai,
110607,,110607_3,110607,110607,m_110607_3_1,m_110607_3_2,m_110607_3_3,m_110607_3_4,,4,m_110607_3_4,Hero_head/head_WanGuShiLing,
110608,,110608_3,110608,110608,m_110608_3_1,m_110608_3_2,m_110608_3_3,m_110608_3_4,,4,m_110608_3_4,Hero_head/head_ZhangTianJun,
