key,Remarks,itemid,probability,num,max,quality,itemsFormula
1001,,700003,8000,1,1,1,10000
1002,,700189,8000,1,1,1,10001
1003,,700166,4000,1,1,1,10001
1004,,700136,3000,1,1,1,10001
1005,,700073,8000,1,1,1,10001
1006,,700181,8000,1,1,1,10002
1007,,700157,8000,1,1,1,10002
1008,,700124,8000,1,1,1,10002
1009,,700091,8000,1,1,1,10002
1010,,700174,8000,1,1,1,10003
1011,,700148,8000,1,1,1,10003
1012,,700112,8000,1,1,1,10003
1013,,700061,8000,1,1,1,10003
1014,,700100,4000,1,1,1,10004
1015,,700113,5000,1,1,1,10004
1016,,700037,8000,1,1,1,10004
1017,,700167,5000,1,1,1,10004
1018,,700025,8000,1,1,1,10005
1019,,700190,5000,1,1,1,10005
1020,,700137,5000,1,1,1,10005
1021,,700091,8000,1,1,1,10005
1022,,700013,8000,1,1,1,10006
1023,,700125,5000,1,1,1,10006
1024,,700001,3000,1,1,1,10006
1025,,700149,5000,1,1,1,10006
1026,,700101,8000,1,1,1,10007
1027,,700038,5000,1,1,1,10007
1028,,700157,8000,1,1,1,10007
1029,,700026,5000,1,1,1,10008
1030,,700189,8000,1,1,1,10008
1031,,700061,8000,1,1,1,10008
1032,,700014,5000,1,1,1,10009
1033,,700073,8000,1,1,1,10009
1034,,700102,3000,1,1,1,10009
1035,,700002,5000,1,1,1,10010
1036,,700114,5000,1,1,1,10010
1037,,700100,4000,1,1,1,10010
1038,,700126,5000,1,1,1,10011
1039,,700013,8000,1,1,1,10011
1040,,700091,8000,1,1,1,10011
1041,,700138,3000,1,1,1,10012
1042,,700001,3000,1,1,1,10012
1043,,700075,3000,1,1,1,10012
1044,,700125,5000,1,1,1,10013
1045,,700157,8000,1,1,1,10013
1046,,700039,5000,1,1,1,10013
1047,,700167,5000,1,1,1,10014
1048,,700027,5000,1,1,1,10014
1049,,700075,3000,1,1,1,10014
1050,,700015,5000,1,1,1,10015
1051,,700149,5000,1,1,1,10015
1052,,700189,8000,1,1,1,10015
1053,,700137,5000,1,1,1,10016
1054,,700182,3000,1,1,1,10016
1055,,700003,3000,1,1,1,10016
1056,,700091,8000,1,1,1,10017
1057,,700073,8000,1,1,1,10017
1058,,700190,5000,1,1,1,10017
1059,,700175,3000,1,1,1,10018
1060,,700002,5000,1,1,1,10018
1061,,700102,3000,1,1,1,10018
1062,,700014,5000,1,1,1,10019
1063,,700138,3000,1,1,1,10019
1064,,700061,8000,1,1,1,10019
1065,,700167,5000,1,1,1,10020
1066,,700189,8000,1,1,1,10020
1067,,700003,3000,1,1,1,10020
1068,,700015,5000,1,1,1,10021
1069,,700190,5000,1,1,1,10021
1070,,700157,8000,1,1,1,10021
1071,,700182,3000,1,1,1,10022
1072,,700091,8000,1,1,1,10022
1073,,702004,2500,1,1,1,10022
1074,,700175,3000,1,1,1,10023
1075,,707016,3333,1,1,1,10023
1076,,700114,5000,1,1,1,10023
1077,,700039,5000,1,1,1,10024
1078,,707096,2500,1,1,1,10024
1079,,700027,5000,1,1,1,10024
1080,,707028,3333,1,1,1,10025
1081,,700126,5000,1,1,1,10025
1082,,702159,2500,1,1,1,10025
1083,,707040,5500,1,1,1,10026
1084,,700075,3000,1,1,1,10026
1085,,707092,2500,1,1,1,10026
1086,,700138,3000,1,1,1,10027
1087,,700037,8000,1,1,1,10027
1088,,707115,3333,1,1,1,10027
1089,,702191,2500,1,1,1,10028
1090,,700148,8000,1,1,1,10028
1091,,700113,5000,1,1,1,10028
1092,,707139,3333,1,1,1,10029
1093,,700182,3000,1,1,1,10029
1094,,700026,5000,1,1,1,10029
1095,,707127,3333,1,1,1,10030
1096,,700175,3000,1,1,1,10030
1097,,702041,3333,1,1,1,10030
1098,,707005,3333,1,1,1,10031
1099,,700174,8000,1,1,1,10031
1100,,702103,3333,1,1,1,10031
1101,,700181,8000,1,1,1,10032
1102,,707017,3333,1,1,1,10032
1103,,702065,3333,1,1,1,10032
1104,,707029,3333,1,1,1,10033
1105,,700124,8000,1,1,1,10033
1106,,702169,3333,1,1,1,10033
1107,,700166,4000,1,1,1,10034
1108,,702140,3333,1,1,1,10034
1109,,702191,2500,1,1,1,10034
1110,,702192,3333,1,1,1,10035
1111,,702169,3333,1,1,1,10035
1112,,702159,2500,1,1,1,10035
1113,,702183,3333,1,1,1,10036
1114,,707096,2500,1,1,1,10036
1115,,702004,2500,1,1,1,10036
1116,,702176,3333,1,1,1,10037
1117,,707104,6000,1,1,1,10037
1118,,702006,1000,1,1,1,10037
1119,,707128,7000,1,1,1,10038
1120,,707018,3333,1,1,1,10038
1121,,707092,2500,1,1,1,10038
1122,,707116,6000,1,1,1,10039
1123,,707030,3333,1,1,1,10039
1124,,702065,3333,1,1,1,10039
1125,,702184,1000,1,1,1,10040
1126,,707042,3333,1,1,1,10040
1127,,707139,3333,1,1,1,10040
1128,,702140,3333,1,1,1,10041
1129,,702041,3333,1,1,1,10041
1130,,702184,1000,1,1,1,10041
1131,,702141,1000,1,1,1,10042
1132,,702192,3333,1,1,1,10042
1133,,707092,2500,1,1,1,10042
1134,,707129,3333,1,1,1,10043
1135,,700182,3000,1,1,1,10043
1136,,707104,6000,1,1,1,10043
1137,,707117,7000,1,1,1,10044
1138,,702006,1000,1,1,1,10044
1139,,702176,3333,1,1,1,10044
1140,,707105,6000,1,1,1,10045
1141,,707018,3333,1,1,1,10045
1142,,707096,2500,1,1,1,10045
1143,,707042,3333,1,1,1,10046
1144,,702183,3333,1,1,1,10046
1145,,707128,7000,1,1,1,10046
1146,,707030,3333,1,1,1,10047
1147,,700075,3000,1,1,1,10047
1148,,702184,1000,1,1,1,10047
1149,,801001,3000,1,1,1,20000
1150,,801002,500,1,1,1,20000
1151,,803001,3220,1,1,1,20000
1152,,803002,772,1,1,1,20000
1154,,806001,2000,1,1,1,20000
1155,,804001,1362,1,1,1,20000
1156,,802001,784,1,1,1,20000
1157,,802002,261,1,1,1,20000
1158,,801001,3000,1,1,1,20001
1159,,801002,500,1,1,1,20001
1160,,803001,3220,1,1,1,20001
1161,,803002,772,1,1,1,20001
1163,,806001,2000,1,1,1,20001
1164,,804001,1362,1,1,1,20001
1165,,802001,784,1,1,1,20001
1166,,802002,261,1,1,1,20001
1167,,704001,2500,1,1,1,30001
1168,,704002,1923,1,1,1,30002
1169,,704003,1923,1,1,1,30003
1170,,704004,2083,1,1,1,30004
1171,,704005,1923,1,1,1,30005
