id,fk,itemTemplateId,maxMisspCount,maxDropCount
120101,,704004,3,2
120201,,704040,3,2
120202,,704041,3,2
120301,,704019,3,2
120302,,704011,3,2
120303,,704018,3,2
120401,,704009,3,2
120402,,704016,3,2
120403,,704004,3,2
120404,,704040,3,2
120405,,704041,3,2
120501,,704019,3,2
120502,,704011,3,2
120503,,704018,3,2
120504,,704009,3,2
120505,,704016,3,2
120506,,704004,3,2
120601,,704040,3,2
120602,,704041,3,2
120603,,704019,3,2
120604,,704011,3,2
120605,,704018,3,2
120606,,704009,3,2
120701,,704016,3,2
120702,,704014,3,2
120703,,704001,3,2
120704,,704013,3,2
120705,,704024,3,2
120706,,704002,3,2
120801,,704023,3,2
120802,,704003,3,2
120803,,704038,3,2
120804,,704014,3,2
120805,,704001,3,2
120806,,704013,3,2
120901,,704024,3,2
120902,,704002,3,2
120903,,704023,3,2
120904,,704003,3,2
120905,,704038,3,2
120906,,704014,3,2
121001,,704001,3,2
121002,,704013,3,2
121003,,704024,3,2
121004,,704002,3,2
121005,,704023,3,2
121006,,704003,3,2
121101,,704038,3,2
121102,,704017,3,2
121103,,704025,3,2
121104,,704027,3,2
121105,,704015,3,2
121106,,704039,3,2
121201,,704008,3,2
121202,,704017,3,2
121203,,704025,3,2
121204,,704027,3,2
121205,,704015,3,2
121206,,704039,3,2
121301,,704008,3,2
121302,,704017,3,2
121303,,704025,3,2
121304,,704027,3,2
121305,,704015,3,2
121306,,704039,3,2
121401,,704008,3,2
121402,,704035,3,2
121403,,704022,3,2
121404,,704026,3,2
121405,,704020,3,2
121406,,704010,3,2
121501,,704038,3,2
121502,,704035,3,2
121503,,704022,3,2
121504,,704026,3,2
121505,,704020,3,2
121506,,704010,3,2
121601,,704038,3,2
121602,,704035,3,2
121603,,704022,3,2
121604,,704026,3,2
121605,,704020,3,2
121606,,704010,3,2
1101012,,700091,1,3
1101022,,700091,1,3
1102012,,700148,1,3
1102022,,700157,1,3
1102032,,700157,1,3
1103012,,700174,1,3
1103022,,700174,1,3
1103032,,700181,1,3
1103042,,700181,1,3
1101010,,700001,1,3
1101020,,700001,1,3
1102010,,700013,1,3
1102020,,700037,1,3
1102030,,700037,1,3
1103010,,700025,1,3
1103020,,700025,1,3
1103030,,700061,1,3
1103040,,700061,1,3
1103050,,700002,1,3
1103060,,700002,1,3
1104010,,700014,1,3
1104020,,700014,1,3
1104030,,700026,1,3
1104040,,700026,1,3
1104050,,700038,1,3
1104060,,700038,1,3
1104070,,700062,1,3
1104080,,700062,1,3
1104090,,702092,1,3
1104100,,702092,1,3
1105010,,702149,1,3
1105020,,702149,1,3
1105030,,702004,2,2
1105040,,702004,2,2
1105050,,702056,2,2
1105060,,702056,2,2
1105070,,702052,2,2
1105080,,702052,2,2
1105090,,702041,2,2
1105100,,702041,2,2
1105110,,702093,2,2
1105120,,702093,2,2
1106010,,702150,2,2
1106020,,702150,2,2
1106030,,702176,2,2
1106040,,702176,2,2
1106050,,702005,2,2
1106060,,702005,2,2
1106070,,702017,2,2
1106080,,702017,2,2
1106090,,702029,2,2
1106100,,702029,2,2
1106110,,702040,2,2
1106120,,702040,2,2
1107010,,702065,2,2
1107020,,702065,2,2
1107030,,702153,2,2
1107040,,702153,2,2
1107050,,702177,2,2
1107060,,702177,2,2
1107070,,702005,2,2
1107080,,702005,2,2
1107090,,702017,2,2
1107100,,702017,2,2
1107110,,702029,2,2
1107120,,702029,2,2
1108010,,702040,2,2
1108020,,702040,2,2
1108030,,702065,2,2
1108040,,702065,2,2
1108050,,702153,2,2
1108060,,702153,2,2
1108070,,702177,2,2
1108080,,702177,2,2
1108090,,702006,2,2
1108100,,702006,2,2
1108110,,702058,2,2
1108120,,702058,2,2
1109010,,702031,2,2
1109020,,702031,2,2
1109030,,702049,2,2
1109040,,702049,2,2
1109050,,702066,2,2
1109060,,702066,2,2
1109070,,702006,2,2
1109080,,702006,2,2
1109090,,702058,2,2
1109100,,702058,2,2
1109110,,702031,2,2
1109120,,702031,2,2
1110010,,702049,2,2
1110020,,702049,2,2
1110030,,702066,2,2
1110040,,702066,2,2
1110050,,702007,3,2
1110060,,702007,3,2
1110070,,702019,3,2
1110080,,702019,3,2
1110090,,702030,3,2
1110100,,702030,3,2
1110110,,702043,3,2
1110120,,702043,3,2
1111010,,702067,3,2
1111020,,702067,3,2
1111030,,702178,3,2
1111040,,702178,3,2
1111050,,702173,3,2
1111060,,702173,3,2
1111070,,702094,3,2
1111080,,702094,3,2
1111090,,702007,3,2
1111100,,702007,3,2
1111110,,702019,3,2
1111120,,702019,3,2
1112010,,702030,3,2
1112020,,702030,3,2
1112030,,702043,3,2
1112040,,702043,3,2
1112050,,702067,3,2
1112060,,702067,3,2
1112070,,702178,3,2
1112080,,702178,3,2
1112090,,702173,3,2
1112100,,702173,3,2
1112110,,702094,3,2
1112120,,702094,3,2
1113010,,702008,3,2
1113020,,702008,3,2
1113030,,702020,3,2
1113040,,702020,3,2
1113050,,702032,3,2
1113060,,702032,3,2
1113070,,702044,3,2
1113080,,702044,3,2
1113090,,702068,3,2
1113100,,702068,3,2
1113110,,702008,3,2
1113120,,702008,3,2
1114010,,702020,3,2
1114020,,702020,3,2
1114030,,702032,3,2
1114040,,702032,3,2
1114050,,702044,3,2
1114060,,702044,3,2
1114070,,702068,3,2
1114080,,702068,3,2
1114090,,702179,3,2
1114100,,702179,3,2
1114110,,702054,3,2
1114120,,702054,3,2
1115010,,702009,3,2
1115020,,702009,3,2
1115030,,702021,3,2
1115040,,702021,3,2
1115050,,702033,3,2
1115060,,702033,3,2
1115070,,702045,3,2
1115080,,702045,3,2
1115090,,702069,3,2
1115100,,702069,3,2
1115110,,702010,7,1
1115120,,702010,7,1
1116010,,702022,7,1
1116020,,702022,7,1
1116030,,702034,7,1
1116040,,702034,7,1
1116050,,702046,7,1
1116060,,702046,7,1
1116070,,702070,7,1
1116080,,702070,7,1
1116090,,702155,7,1
1116100,,702155,7,1
1116110,,702193,7,1
1116120,,702193,7,1
1117010,,702095,7,1
1117020,,702095,7,1
1117030,,702010,7,1
1117040,,702010,7,1
1117050,,702022,7,1
1117060,,702022,7,1
1117070,,702034,7,1
1117080,,702034,7,1
1117090,,702046,7,1
1117100,,702046,7,1
1117110,,702070,7,1
1117120,,702070,7,1
1118010,,702155,7,1
1118020,,702155,7,1
1118030,,702193,7,1
1118040,,702193,7,1
1118050,,702095,7,1
1118060,,702095,7,1
1118070,,702011,7,1
1118080,,702011,7,1
1118090,,702023,7,1
1118100,,702023,7,1
1118110,,702035,7,1
1118120,,702035,7,1
1119010,,702047,7,1
1119020,,702047,7,1
1119030,,702071,7,1
1119040,,702071,7,1
1119050,,702011,7,1
1119060,,702011,7,1
1119070,,702023,7,1
1119080,,702023,7,1
1119090,,702035,7,1
1119100,,702035,7,1
1119110,,702047,7,1
1119120,,702047,7,1
1120010,,702071,7,1
1120020,,702071,7,1
1120030,,702156,7,1
1120040,,702156,7,1
1120050,,702180,7,1
1120060,,702180,7,1
1120070,,702156,7,1
1120080,,702156,7,1
1120090,,702180,7,1
1120100,,702180,7,1
1120110,,702012,7,1
1120120,,702012,7,1
1121010,,702024,7,1
1121020,,702024,7,1
1121030,,702036,7,1
1121040,,702036,7,1
1121050,,702048,7,1
1121060,,702048,7,1
1121070,,702072,7,1
1121080,,702072,7,1
1121090,,702012,7,1
1121100,,702012,7,1
1121110,,702024,7,1
1121120,,702024,7,1
1122010,,702036,7,1
1122020,,702036,7,1
1122030,,702048,7,1
1122040,,702048,7,1
1122050,,702072,7,1
1122060,,702072,7,1
1122070,,702012,7,1
1122080,,702012,7,1
1122090,,702024,7,1
1122100,,702024,7,1
1122110,,702036,7,1
1122120,,702036,7,1
1123010,,702048,7,1
1123020,,702048,7,1
1123030,,702072,7,1
1123040,,702072,7,1
1123050,,702012,7,1
1123060,,702012,7,1
1123070,,702024,7,1
1123080,,702024,7,1
1123090,,702036,7,1
1123100,,702036,7,1
1123110,,702048,7,1
1123120,,702048,7,1
1101011,,700100,1,3
1101021,,700100,1,3
1102011,,700112,1,3
1102021,,700136,1,3
1102031,,700136,1,3
1103011,,700124,1,3
1103021,,700124,1,3
1103031,,700073,1,3
