key,Remarks,rewardID,reward
807001,,807001,"1:18888,2:10,708001:20"
807002,,807002,"1:3000,2:5,704040:2"
807003,,807003,"1:7000,2:10,704004:2"
807004,,807004,"1:9000,2:15,704041:2"
807005,,807005,"1:2000,2:5,708001:5"
807006,,807006,"1:6000,2:10,708001:5"
807007,,807007,"1:8000,2:15"
807008,,807008,"1:4000,2:5,704008:2"
807009,,807009,"1:9000,2:10,704017:2"
807010,,807010,"1:14000,2:15,704022:2"
807011,,807011,"1:3000,2:5,708001:5"
807012,,807012,"1:8000,2:10,708001:5"
807013,,807013,"1:13000,2:15"
807014,,807014,"1:5000,2:5,704011:2"
807015,,807015,"1:11000,2:10,704018:2"
807016,,807016,"1:19000,2:15,704015:2"
807017,,807017,"1:4000,2:5,708001:5"
807018,,807018,"1:10000,2:10,708001:5"
807019,,807019,"1:18000,2:15"
807020,,807020,"1:6000,2:5,704010:2"
807021,,807021,"1:13000,2:10,704019:2"
807022,,807022,"1:24000,2:15,704027:2"
807023,,807023,"1:5000,2:5,708001:5"
807024,,807024,"1:12000,2:10,708001:5"
807025,,807025,"1:23000,2:15"
807026,,807026,"1:7000,2:5,704001:2"
807027,,807027,"1:15000,2:10,704014:2"
807028,,807028,"1:29000,2:15,704016:2"
807029,,807029,"1:6000,2:5,708001:5"
807030,,807030,"1:14000,2:10,708001:5"
807031,,807031,"1:28000,2:15"
807032,,807032,"1:8000,2:5,704025:2"
807033,,807033,"1:17000,2:10,704026:2"
807034,,807034,"1:34000,2:15,704024:2"
807035,,807035,"1:7000,2:5,708001:10"
807036,,807036,"1:16000,2:10,708001:10"
807037,,807037,"1:33000,2:15"
807038,,807038,"1:9000,2:5,704008:2"
807039,,807039,"1:19000,2:10,704012:2"
807040,,807040,"1:39000,2:15,704022:2"
807041,,807041,"1:8000,2:5,708001:10"
807042,,807042,"1:18000,2:10,708001:10"
807043,,807043,"1:38000,2:15"
807044,,807044,"1:10000,2:5,704004:2"
807045,,807045,"1:21000,2:10,704040:2"
807046,,807046,"1:44000,2:15,704015:2"
807047,,807047,"1:9000,2:5,708001:10"
807048,,807048,"1:20000,2:10,708001:10"
807049,,807049,"1:43000,2:15"
807050,,807050,"1:11000,2:5,704028:2"
807051,,807051,"1:23000,2:10,704013:2"
807052,,807052,"1:49000,2:15,704041:2"
807053,,807053,"1:10000,2:5,708001:10"
807054,,807054,"1:22000,2:10,708001:10"
807055,,807055,"1:48000,2:15"
807056,,807056,"1:12000,2:5,704014:2"
807057,,807057,"1:25000,2:10,704004:2"
807058,,807058,"1:54000,2:15,704023:2"
807059,,807059,"1:11000,2:5,708001:10"
807060,,807060,"1:24000,2:10,708001:10"
807061,,807061,"1:53000,2:15"
807062,,807062,"1:13000,2:5,704009:2"
807063,,807063,"1:27000,2:10,704034:2"
807064,,807064,"1:59000,2:15,704031:2"
807065,,807065,1:10000
807066,,807066,1:10000
807067,,807067,1:10000
807068,,807068,1:10000
807069,,807069,1:10000
807070,,807070,1:10000
807071,,807071,1:10000
807072,,807072,1:10000
