key,Remarks,id,name,levelType,level,description,startLevelId,endLevelId,levelPicture,rewardNumber,rewardGain,rewardStar,group,godBoxID,chapterRewardCfgId,desc,desc2
1001,,1001,第一章,,,封神计划,110101,110102,bg_map001,,,3,1,,,,
1002,,1002,第一章,1,22,封神计划 · [FF7200]精英[-],120101,120101,bg_map001,1,807002,3,1,,,,
1003,,1003,第二章,,3,桃花渊,110201,110203,bg_map002,,,6,2,809001,101,桃花渊内魔气四溢，你们去封印法阵处调查看看，查清魔气来源！,"完成章节即可获得英雄魂石,通关第五章可召唤【道行天尊】!"
1004,,1004,第二章,1,22,桃花渊 · [FF7200]精英[-],120201,120202,bg_map002,1,"807008,807009",6,2,,,,
1005,,1005,第三章,,6,陈塘风云,110301,110306,bg_map003,3,"807011,807012,807013","3,6,9",3,809002,101,陈塘关也有魔神出没，一定有幕后黑手在召唤魔神，找出幕后之人！,"完成章节即可获得英雄魂石,通关第五章可召唤【道行天尊】!"
1006,,1006,第三章,1,22,陈塘风云 · [FF7200]精英[-],120301,120303,bg_map003,3,"807014,807015,807016","3,6,9",3,,,,
1007,,1007,第四章,,10,海啸魔神,110401,110410,bg_map004,3,"807017,807018,807019","5,10,15",4,809003,101,能够控制大海之力的魔神出现了，小心行事！,"完成章节即可获得英雄魂石,通关第五章可召唤【道行天尊】!"
1008,,1008,第四章,1,22,海啸魔神 · [FF7200]精英[-],120401,120405,bg_map004,3,"807020,807021,807022","5,10,15",4,,,,
1009,,1009,第五章,,17,西岐沙漠,110501,110512,bg_map012,3,"807023,807024,807025","6,12,18",5,809004,101,前往西岐的路途凶险，附近还有妖仙出没，先前往沙漠中心消灭魔神吧！,"完成章节即可获得英雄魂石,通关第五章可召唤【道行天尊】!"
1010,,1010,第五章,1,22,西岐沙漠 · [FF7200]精英[-],120501,120506,bg_map012,3,"807026,807027,807028","6,12,18",5,,,,
1011,,1011,第六章,,26,九龙迷踪,110601,110612,bg_map013,3,"807029,807030,807031","6,12,18",6,809005,102,西岐城似乎在遭受天灾，需要仔细调查天灾来源！,"完成章节即可获得英雄魂石,通关第七章可将【道行天尊】升至4星!"
1012,,1012,第六章,1,26,九龙迷踪 · [FF7200]精英[-],120601,120606,bg_map013,3,"807032,807033,807034","6,12,18",6,,,,
1013,,1013,第七章,,28,九龙岛,110701,110712,bg_map005,3,"807035,807036,807037","6,12,18",7,809006,102,九龙岛四圣不好对付，先找到他们布下的天灾法阵吧。,"完成章节即可获得英雄魂石,通关第七章可将【道行天尊】升至4星!"
1014,,1014,第七章,1,28,九龙岛 ·[FF7200]精英[-],120701,120706,bg_map005,3,"807038,807039,807040","6,12,18",7,,,,
1015,,1015,第八章,,30,四圣法阵,110801,110812,bg_map006,3,"807041,807042,807043","6,12,18",8,,,,
1016,,1016,第八章,1,30,四圣法阵 · [FF7200]精英[-],120801,120806,bg_map006,3,"807044,807045,807046","6,12,18",8,,,,
1017,,1017,第九章,,32,北海雪原,110901,110912,bg_map007,3,"807047,807048,807049","6,12,18",9,,,,
