key,Remarks,id,CareerType,attrData,precentAttrData,attrDesc,attrName1,attrValue1,attrValueType1,attrName2,attrValue2,attrValueType2,attrName3,attrValue3,attrValueType3,attrName4,attrValue4,attrValueType4,attrName5,attrValue5,attrValueType5
900001_1,,900001,Warrior,生命_1728;物理攻击_135;物理防御_72;法术攻击_115;法术防御_57,物理攻击_100;法术攻击_100,生命+1728;物理攻击+135;物理防御+72;法术攻击+115;法术防御+57;物理攻击+1%;法术攻击+1%,life,100,Percentage,attack,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900001_2,,900001,SwordsMan,生命_960;物理攻击_180;物理防御_60;法术攻击_144;法术防御_48,物理攻击_100;法术攻击_100,生命+960;物理攻击+180;物理防御+60;法术攻击+144;法术防御+48;物理攻击+1%;法术攻击+1%,life,100,Percentage,attack,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900001_3,,900001,Magican,生命_924;物理攻击_172;物理防御_38;法术攻击_216;法术防御_48,物理攻击_100;法术攻击_100,生命+924;物理攻击+172;物理防御+38;法术攻击+216;法术防御+48;物理攻击+1%;法术攻击+1%,life,100,Percentage,attack,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900001_4,,900001,Priest,生命_768;物理攻击_155;物理防御_44;法术攻击_211;法术防御_55,物理攻击_100;法术攻击_100,生命+768;物理攻击+155;物理防御+44;法术攻击+211;法术防御+55;物理攻击+1%;法术攻击+1%,life,100,Percentage,attack,100,Percentage,critical,100,Percentage,,,Percentage,,,Percentage
900002_1,,900002,Warrior,生命_864;物理攻击_67;物理防御_36;法术攻击_57;法术防御_28,物理防御_100;法术防御_100,生命+864;物理攻击+67;物理防御+36;法术攻击+57;法术防御+28;物理防御+1%;法术防御+1%,attack,100,Percentage,physiqueDef,100,Percentage,spiritDef,100,Percentage,,,Percentage,,,Percentage
900002_2,,900002,SwordsMan,生命_480;物理攻击_90;物理防御_30;法术攻击_72;法术防御_24,物理防御_100;法术防御_100,生命+480;物理攻击+90;物理防御+30;法术攻击+72;法术防御+24;物理防御+1%;法术防御+1%,attack,100,Percentage,physiqueDef,100,Percentage,spiritDef,100,Percentage,,,Percentage,,,Percentage
900002_3,,900002,Magican,生命_462;物理攻击_86;物理防御_19;法术攻击_108;法术防御_24,物理防御_100;法术防御_100,生命+462;物理攻击+86;物理防御+19;法术攻击+108;法术防御+24;物理防御+1%;法术防御+1%,attack,100,Percentage,physiqueDef,100,Percentage,spiritDef,100,Percentage,,,Percentage,,,Percentage
900002_4,,900002,Priest,生命_384;物理攻击_77;物理防御_22;法术攻击_105;法术防御_27,物理防御_100;法术防御_100,生命+384;物理攻击+77;物理防御+22;法术攻击+105;法术防御+27;物理防御+1%;法术防御+1%,attack,100,Percentage,physiqueDef,100,Percentage,spiritDef,100,Percentage,,,Percentage,,,Percentage
900003_1,,900003,Warrior,生命_1152;物理攻击_90;物理防御_48;法术攻击_76;法术防御_38,物理防御_100;法术防御_100,生命+1152;物理攻击+90;物理防御+48;法术攻击+76;法术防御+38;物理防御+1%;法术防御+1%,life,100,Percentage,dodge,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
900003_2,,900003,SwordsMan,生命_640;物理攻击_120;物理防御_40;法术攻击_96;法术防御_32,物理防御_100;法术防御_100,生命+640;物理攻击+120;物理防御+40;法术攻击+96;法术防御+32;物理防御+1%;法术防御+1%,life,100,Percentage,dodge,100,Percentage,hit,100,Percentage,,,Percentage,,,Percentage
