key,Remarks,CareerType,Gender,fashionID,icon,model
1,,None,None,900001,Equipment/fashion_600020,600020
2,,Warrior,men,900002,Equipment/fasion_nanxizhuang,50002011
3,,SwordsMan,men,900002,Equipment/fasion_nanxizhuang,50002012
4,,Magican,men,900002,Equipment/fasion_nanxizhuang,50002013
5,,Priest,men,900002,Equipment/fasion_nanxizhuang,50002014
6,,Warrior,women,900002,Equipment/fasion_nvxizhuang,50002121
7,,SwordsMan,women,900002,Equipment/fasion_nvxizhuang,50002122
8,,Magican,women,900002,Equipment/fasion_nvxizhuang,50002123
9,,Priest,women,900002,Equipment/fasion_nvxizhuang,50002124
10,,Warrior,men,900003,Equipment/fashion_500030,50003011
11,,SwordsMan,men,900003,Equipment/fashion_500030,50003012
12,,Magican,men,900003,Equipment/fashion_500030,50003013
13,,Priest,men,900003,Equipment/fashion_500030,50003014
14,,Warrior,women,900003,Equipment/fashion_500031,50003111
15,,SwordsMan,women,900003,Equipment/fashion_500031,50003112
16,,Magican,women,900003,Equipment/fashion_500031,50003113
17,,Priest,women,900003,Equipment/fashion_500031,50003114
19,,None,None,900004,Equipment/fashion_501002,911002
20,,Warrior,men,900005,Equipment/fashion_500040,50004011
21,,SwordsMan,men,900005,Equipment/fashion_500040,50004012
22,,Magican,men,900005,Equipment/fashion_500040,50004013
23,,Priest,men,900005,Equipment/fashion_500040,50004014
24,,Warrior,women,900005,Equipment/fashion_500041,50004111
25,,SwordsMan,women,900005,Equipment/fashion_500041,50004112
26,,Magican,women,900005,Equipment/fashion_500041,50004113
27,,Priest,women,900005,Equipment/fashion_500041,50004114
28,,Warrior,men,900006,Equipment/fashion_500050,50005011
29,,SwordsMan,men,900006,Equipment/fashion_500050,50005012
30,,Magican,men,900006,Equipment/fashion_500050,50005013
31,,Priest,men,900006,Equipment/fashion_500050,50005014
32,,Warrior,women,900006,Equipment/fashion_500051,50005111
33,,SwordsMan,women,900006,Equipment/fashion_500051,50005112
34,,Magican,women,900006,Equipment/fashion_500051,50005113
35,,Priest,women,900006,Equipment/fashion_500051,50005114
36,,None,None,900007,Equipment/fashion_600030,600030
37,,None,None,900008,Equipment/fashion_600040,600040
38,,None,None,900009,Equipment/fashion_501001,911001
39,,None,None,900010,Equipment/fashion_600050,600050
40,,None,None,900011,Equipment/fashion_600060,600060
