key,Remarks,petID,viewId,position,rotation,scale
1,,911001,Invaild,"1,0,0","0,-20,0","1,1,1"
2,,911001,CareerArena,"1,0,0","0,-20,0","1,1,1"
3,,911001,MainView,"-1.13,-2.13,3.9","73.75,117.59,118.56","1,1,1"
4,,911001,RankingDetailInfo,"1,0,0","0,-20,0","1,1,1"
5,,911001,Role,"1,0,0","0,-20,0","1,1,1"
6,,911002,Invaild,"1,0,0","0,-20,0","1,1,1"
7,,911002,CareerArena,"1,0,0","0,-20,0","1,1,1"
8,,911002,MainView,"-1.13,-2.13,3.9","73.75,117.59,118.56","1,1,1"
9,,911002,RankingDetailInfo,"1,0,0","0,-20,0","1,1,1"
10,,911002,Role,"1,0,0","0,-20,0","1,1,1"
