key,Remarks,fettersId,heroModelId,fettersName,fettersDesc,fettersIcon,fettersConditions,fettersHeroId
20200101,,20200101,202001,昆仑翘楚,昆仑山实力拔尖的弟子,fetters/fetters_01,20200101,"202001,202006,202004,202002"
20200102,,20200102,202001,昆仑好友,修行于昆仑的好友,fetters/fetters_01,20200102,"202001,200003,202005"
20200103,,20200103,202001,御水,御水之力,fetters/fetters_01,20200103,"202001,204005,203007"
20200104,,20200104,202001,道法,道法出众,fetters/fetters_01,20200104,"202001,201001,202010,203013"
20200105,,20200105,202001,睿智,足智多谋,fetters/fetters_01,20200105,"202001,200001,203004,200004"
20200201,,20200201,202002,陈塘父子,陈塘关一家父子4人,fetters/fetters_01,20200201,"202002,204004,200001,201004"
20200202,,20200202,202002,昆仑翘楚,昆仑山实力拔尖的弟子,fetters/fetters_01,20200202,"202002,202006,202004,202001"
20200203,,20200203,202002,法宝人,法宝众多,fetters/fetters_01,20200203,"202002,202010,203004"
20200204,,20200204,202002,枪火,枪法,fetters/fetters_01,20200204,"202002,201001,200003,201012"
20200401,,20200401,202004,昆仑翘楚,昆仑山实力拔尖的弟子,fetters/fetters_01,20200401,"202004,202006,202001,202002"
20200402,,20200402,202004,雷元,奔雷之力,fetters/fetters_01,20200402,"202004,203013,200011,202003"
20200403,,20200403,202004,飞影,飞行,fetters/fetters_01,20200403,"202004,201007,203004,202010"
20200404,,20200404,202004,生灵,可与生灵为伴,fetters/fetters_01,20200404,"202004,203003,203011,204001"
20200405,,20200405,202004,三代弟子,三代弟子,fetters/fetters_01,20200405,"202004,204003,201001"
20000101,,20000101,200001,陈塘父子,陈塘关一家父子4人,fetters/fetters_01,20000101,"200001,204004,201004,202002"
20000102,,20000102,200001,神力,天生神力,fetters/fetters_01,20000102,"200001,204003,200011,200009"
20000103,,20000103,200001,奇宝,法宝武器奇特,fetters/fetters_01,20000103,"200001,204008,203002,203010,202005"
20000104,,20000104,200001,睿智,足智多谋,fetters/fetters_01,20000104,"200001,202001,203004,200004"
20200501,,20200501,202005,昆仑好友,修行于昆仑的好友,fetters/fetters_01,20200501,"202005,202001,200003"
20200502,,20200502,202005,改造,酷爱改造,fetters/fetters_01,20200502,"202005,204008"
20200503,,20200503,202005,乘风,乘风之力,fetters/fetters_01,20200503,"202005,201005,201004,203002"
