key,comment,fightingTitle,fightingIcon,fightingRequired,itemRequired,rewards,emailCfgIdOfReward,privilege,frameIconId,privilegeDec,nextTitleKey,isFirst,heroFighting,skillFighting,fixEquipLevelFighting,fixEquipQualityFighting,fixEquipStarFighting,taoistFighting,magicLevelFighting,magicQualityFighting,groupSkillFighting,gemFighting,heroFetterFighting,magicFetterFighting,fixEquipFetterFighting,fashionFighting,spriteAttachFighting
1,,见习战神,SmallTex\TitleLead\honour_101,50000,"1,5000","1,50000;2,50",14001,1_0.05_0,26,"1、副本金币掉落数量提高1.05倍;
2、解锁<见习战神>头像框",2,true,25241,13937,,,,,6258,2737,2090,,,221,,,
2,,初级战神,SmallTex\TitleLead\honour_102,130000,"1,10000","1,50000;2,50",14002,1_0.1_0,27,"1、副本金币掉落数量提高1.1倍;
2、解锁<初级战神>头像框",3,false,42762,19247,10453,10453,,33185,8835,3865,2090,,,221,,,
3,,高级战神,SmallTex\TitleLead\honour_103,170000,"1,15000","1,100000;2,100",14003,1_0.2_0,28,"1、副本金币掉落数量提高1.2倍;
2、解锁<高级战神>头像框",4,false,57426,23229,12278,12278,,33185,10307,4509,2090,21238,,221,,,
4,,黑铁战神,SmallTex\TitleLead\honour_104,255000,"1,20000","1,100000;2,100",14004,1_0.3_0,29,"1、副本金币掉落数量提高1.3倍;
2、解锁<黑铁战神>头像框",5,false,75634,28539,16592,16592,,37167,12884,11274,2090,55751,,221,,,15099
5,,青铜战神,SmallTex\TitleLead\honour_105,295000,"1,25000","1,200000;2,150",14005,1_0.4_0,30,"1、副本金币掉落数量提高1.4倍;
2、解锁<青铜战神>头像框",6,false,78765,29866,19081,19081,,43804,13252,11596,2090,55751,,221,,,30198
6,,白银战神,SmallTex\TitleLead\honour_106,355000,"1,30000","1,200000;2,150",14006,1_0.5_0,31,"1、副本金币掉落数量提高1.5倍;
2、解锁<白银战神>头像框",7,false,90981,32521,25552,25552,,53096,14725,12884,4181,63715,,221,,,40767
7,,黄金战神,SmallTex\TitleLead\honour_107,420000,"1,35000","1,300000;2,200",14007,1_0.65_0,32,"1、副本金币掉落数量提高1.65倍;
2、解锁<黄金战神>头像框",8,false,96039,33185,27045,27045,,69024,14725,12884,4181,84953,,221,,,56370
8,,铂金战神,SmallTex\TitleLead\honour_108,475000,"1,40000","1,300000;2,200",14008,1_0.8_0,33,"1、副本金币掉落数量提高1.8倍;
2、解锁<铂金战神>头像框",9,false,118926,35176,29368,29368,,74334,15829,20776,4181,95573,,221,,,64423
9,,水晶战神,SmallTex\TitleLead\honour_109,580000,"1,45000","1,400000;2,200",14009,1_1_0,34,"1、副本金币掉落数量提高2倍;
2、解锁<水晶战神>头像框",10,false,136043,38494,32520,32520,,80971,17302,22709,4181,119466,,331,,,98144
10,,钻石战神,SmallTex\TitleLead\honour_110,660000,"1,50000","1,400000;2,200",14010,1_1.2_0,35,"1、副本金币掉落数量提高2.2倍;
2、解锁<钻石战神>头像框",11,false,146849,40485,34179,34179,,85617,18038,23675,4181,159288,,331,,,129853
11,,先锋战神,SmallTex\TitleLead\honour_111,720000,"1,55000","1,500000;2,200",14011,1_1.4_0,36,"1、副本金币掉落数量提高2.4倍;
2、解锁<先锋战神>头像框",12,false,172628,43140,37000,37000,,89599,19142,25125,4181,159288,,331,,,138912
12,,荣耀战神,SmallTex\TitleLead\honour_112,795000,0,"1,500000;2,200",14012,1_1.6_0,37,"1、副本金币掉落数量提高2.6倍;
2、解锁<荣耀战神>头像框",,false,192703,47122,40319,40319,,96236,20983,27540,4181,175217,,331,,,150992
