key,remarks,id,planId,quality,levelNeed,costType,costCount,itemsNeedStr,attrData,precentAttrData
10001_0,,10001_0,10001,,10,,1000,806511:1,,
10001_1,,10001_1,10001,1,20,,1200,806512:1,物理攻击_150;法术攻击_120,
10001_2,,10001_2,10001,2,30,,3000,806513:1;806514:1,物理攻击_300;法术攻击_240,
10001_3,,10001_3,10001,3,40,,3700,806515:1;806516:2,物理攻击_450;法术攻击_360,
10001_4,,10001_4,10001,4,50,,24000,806517:3;806518:4,物理攻击_600;法术攻击_480,
10001_5,,10001_5,10001,5,60,,43000,806519:5;806520:6,物理攻击_750;法术攻击_600,
10001_6,,10001_6,10001,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_900;法术攻击_720,
10001_7,,10001_7,10001,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_1050;法术攻击_840,
10001_8,,10001_8,10001,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_1200;法术攻击_960,
10002_0,,10002_0,10002,,10,,1000,806511:1,,
10002_1,,10002_1,10002,1,20,,1200,806512:1,生命_400,
10002_2,,10002_2,10002,2,30,,3000,806513:1;806514:1,生命_800,
10002_3,,10002_3,10002,3,40,,3700,806515:1;806516:2,生命_1200,
10002_4,,10002_4,10002,4,50,,24000,806517:3;806518:4,生命_1600,
10002_5,,10002_5,10002,5,60,,43000,806519:5;806520:6,生命_2000,
10002_6,,10002_6,10002,6,70,,64500,806521:8;806522:10;806523:12,生命_2400,
10002_7,,10002_7,10002,7,80,,64500,806523:12;806524:14;806525:16,生命_2800,
10002_8,,10002_8,10002,8,90,,64500,806526:18;806527:20;806528:22,生命_3200,
10003_0,,10003_0,10003,,10,,1000,806511:1,,
10003_1,,10003_1,10003,1,20,,1200,806512:1,物理防御_50;生命_200,
10003_2,,10003_2,10003,2,30,,3000,806513:1;806514:1,物理防御_100;生命_400,
10003_3,,10003_3,10003,3,40,,3700,806515:1;806516:2,物理防御_150;生命_600,
10003_4,,10003_4,10003,4,50,,24000,806517:3;806518:4,物理防御_200;生命_800,
10003_5,,10003_5,10003,5,60,,43000,806519:5;806520:6,物理防御_250;生命_1000,
10003_6,,10003_6,10003,6,70,,64500,806521:8;806522:10;806523:12,物理防御_300;生命_1200,
10003_7,,10003_7,10003,7,80,,64500,806523:12;806524:14;806525:16,物理防御_350;生命_1400,
10003_8,,10003_8,10003,8,90,,64500,806526:18;806527:20;806528:22,物理防御_400;生命_1600,
10004_0,,10004_0,10004,,10,,1000,806511:1,,
10004_1,,10004_1,10004,1,20,,1200,806512:1,法术防御_40;生命_200,
10004_2,,10004_2,10004,2,30,,3000,806513:1;806514:1,法术防御_80;生命_400,
10004_3,,10004_3,10004,3,40,,3700,806515:1;806516:2,法术防御_120;生命_600,
10004_4,,10004_4,10004,4,50,,24000,806517:3;806518:4,法术防御_160;生命_800,
10004_5,,10004_5,10004,5,60,,43000,806519:5;806520:6,法术防御_200;生命_1000,
10004_6,,10004_6,10004,6,70,,64500,806521:8;806522:10;806523:12,法术防御_240;生命_1200,
10004_7,,10004_7,10004,7,80,,64500,806523:12;806524:14;806525:16,法术防御_280;生命_1400,
10004_8,,10004_8,10004,8,90,,64500,806526:18;806527:20;806528:22,法术防御_320;生命_1600,
10005_0,,10005_0,10005,,10,,1000,806511:1,,
10005_1,,10005_1,10005,1,20,,1200,806512:1,物理攻击_112;法术攻击_96,
10005_2,,10005_2,10005,2,30,,3000,806513:1;806514:1,物理攻击_225;法术攻击_192,
10005_3,,10005_3,10005,3,40,,3700,806515:1;806516:2,物理攻击_337;法术攻击_288,
10005_4,,10005_4,10005,4,50,,24000,806517:3;806518:4,物理攻击_450;法术攻击_384,
10005_5,,10005_5,10005,5,60,,43000,806519:5;806520:6,物理攻击_562;法术攻击_480,
10005_6,,10005_6,10005,6,70,,64500,806521:8;806522:10;806523:12,物理攻击_675;法术攻击_576,
10005_7,,10005_7,10005,7,80,,64500,806523:12;806524:14;806525:16,物理攻击_787;法术攻击_672,
10005_8,,10005_8,10005,8,90,,64500,806526:18;806527:20;806528:22,物理攻击_900;法术攻击_768,
10006_0,,10006_0,10006,,10,,1000,806511:1,,
10006_1,,10006_1,10006,1,20,,1200,806512:1,生命_720,
10006_2,,10006_2,10006,2,30,,3000,806513:1;806514:1,生命_1440,
