key,remarks,id,planId,star,upCostType,upCount,itemsNeedStr,downCostType,downCount,attrData,precentAttrData,wf1,wf2,wf3,wf4,wf5,wf6,wf7,wf8,wf9
1,,1,10001,,,,806553:1,1,30,,,40,,,,,,,,
2,,2,10001,1,,,806553:3,1,60,物理攻击_225;法术攻击_180,,50,物理攻击,225,法术攻击,180,,,,
3,,3,10001,2,,,806553:6,1,90,物理攻击_450;法术攻击_360,,60,物理攻击,450,法术攻击,360,,,,
4,,4,10001,3,,,806553:9,1,120,物理攻击_750;法术攻击_600,,70,物理攻击,750,法术攻击,600,,,,
5,,5,10001,4,,,806553:12,1,120,物理攻击_1050;法术攻击_840,,80,物理攻击,1050,法术攻击,840,,,,
6,,6,10001,5,,,,1,120,物理攻击_1350;法术攻击_1080,,90,物理攻击,1350,法术攻击,1080,,,,
7,,7,10002,,,,806553:1,1,30,,,40,,,,,,,,
8,,8,10002,1,,,806553:3,1,60,生命_600,,50,生命,600,,,,,,
9,,9,10002,2,,,806553:6,1,90,生命_1200,,60,生命,1200,,,,,,
10,,10,10002,3,,,806553:9,1,120,生命_2000,,70,生命,2000,,,,,,
11,,11,10002,4,,,806553:12,1,120,生命_2800,,80,生命,2800,,,,,,
12,,12,10002,5,,,,1,120,生命_3600,,90,生命,3600,,,,,,
13,,13,10003,,,,806553:1,1,30,,,40,,,,,,,,
14,,14,10003,1,,,806553:3,1,60,物理防御_75;生命_300,,50,物理防御,75,生命,300,,,,
15,,15,10003,2,,,806553:6,1,90,物理防御_150;生命_600,,60,物理防御,150,生命,600,,,,
16,,16,10003,3,,,806553:9,1,120,物理防御_250;生命_1000,,70,物理防御,250,生命,1000,,,,
17,,17,10003,4,,,806553:12,1,120,物理防御_350;生命_1400,,80,物理防御,350,生命,1400,,,,
18,,18,10003,5,,,,1,120,物理防御_450;生命_1800,,90,物理防御,450,生命,1800,,,,
19,,19,10004,,,,806553:1,1,30,,,40,,,,,,,,
20,,20,10004,1,,,806553:3,1,60,法术防御_60;生命_300,,50,法术防御,60,生命,300,,,,
