Key,Remarks,cfgId,activityType,typeDesc,tabType,startTime,endTime,condition,reward,activityDesc,gotoEnum,maxValue,startTimeType,activityCode
101,,101,11,终极奖励,6,0,7,,911002,终极奖励,,,2,101
1001,,1001,,等级目标,,0,7,15,1:1000;2:15,升级到15级,MainCopyView,15,2,102
1002,,1002,,等级目标,,0,7,20,1:1500;2:20,升级到20级,MainCopyView,20,2,103
1003,,1003,,等级目标,,0,7,25,1:2000;2:25,升级到25级,MainCopyView,25,2,104
1004,,1004,,等级目标,,0,7,30,1:2500;2:30,升级到30级,MainCopyView,30,2,105
1005,,1005,,等级目标,,0,7,35,1:3000;2:35,升级到35级,MainCopyView,35,2,106
1006,,1006,,等级目标,,0,7,40,1:3500;2:40,升级到40级,MainCopyView,40,2,107
1007,,1007,,等级目标,,0,7,43,1:4000;2:50,升级到43级,MainCopyView,43,2,108
1008,,1008,,等级目标,,0,7,45,1:4500;2:60,升级到45级,MainCopyView,45,2,109
2001,,2001,1,普通副本,,0,7,110306,1:500;2:10,通关普通副本第3章,MainCopyView,,2,110
2002,,2002,1,普通副本,,0,7,110410,1:800;2:15,通关普通副本第4章,MainCopyView,,2,111
2003,,2003,1,普通副本,,0,7,110512,1:1000;2:20,通关普通副本第5章,MainCopyView,,2,112
2004,,2004,1,普通副本,,0,7,110612,1:1200;2:25,通关普通副本第6章,MainCopyView,,2,113
2005,,2005,1,普通副本,,0,7,110712,1:1500;2:30,通关普通副本第7章,MainCopyView,,2,114
2006,,2006,1,普通副本,,0,7,110812,1:1500;2:30,通关普通副本第8章,MainCopyView,,2,115
2007,,2007,1,普通副本,,0,7,110912,1:1500;2:30,通关普通副本第9章,MainCopyView,,2,116
2008,,2008,2,精英副本,,0,7,120202,1:800;2:20,通关精英副本第2章,MainCopyView,,2,117
2009,,2009,2,精英副本,,0,7,120303,1:1000;2:30,通关精英副本第3章,MainCopyView,,2,118
2010,,2010,2,精英副本,,0,7,120405,1:1600;2:40,通关精英副本第4章,MainCopyView,,2,119
2011,,2011,2,精英副本,,0,7,120506,1:2400;2:50,通关精英副本第5章,MainCopyView,,2,120
2012,,2012,2,精英副本,,0,7,120606,1:3000;2:60,通关精英副本第6章,MainCopyView,,2,121
3001,,3001,5,英雄收集,1,1,6,4,1:5000;803001:25,收集4个英雄,UIGamble,4,2,122
3002,,3002,5,英雄收集,1,1,6,5,1:7500;803001:25,收集5个英雄,UIGamble,5,2,123
3003,,3003,5,英雄收集,1,1,6,6,1:10000;803001:25,收集6个英雄,UIGamble,6,2,124
3004,,3004,5,英雄收集,1,1,6,7,1:12500;803001:25,收集7个英雄,UIGamble,7,2,125
3005,,3005,5,英雄收集,1,1,6,8,1:15000;803001:25,收集8个英雄,UIGamble,8,2,126
3006,,3006,5,英雄收集,1,1,6,9,1:17500;803001:25,收集9个英雄,UIGamble,9,2,127
