Key,Remarks,id,nextId,activityCode,progress,reward,desc
0,,,1,250,,806555:1,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
1,,1,2,251,10,806555:2,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
2,,2,3,252,20,806555:4,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
3,,3,4,253,30,806555:6,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
4,,4,5,254,40,806555:8,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
5,,5,6,255,50,806555:11,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
6,,6,7,256,60,806555:14,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
7,,7,8,257,70,806555:17,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
8,,8,9,258,80,806555:21,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
9,,9,10,259,85,806555:25,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
10,,10,11,260,90,806555:29,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
11,,11,12,261,95,806555:34,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
12,,12,13,262,100,806555:40,1.最终奖励根据完成进度领取_2.完成每一项开放活动内容进度+1_3.终极奖励的内容领取时间为开服活动结束后。
